,city,country,emissions,inventory_type,year
0,"Autonomous City of Buenos Aires, Argentina",Argentina,10454026.0,Community inventories,2000.0
1,"Autonomous City of Buenos Aires, Argentina",Argentina,10178714.0,Community inventories,2001.0
2,"Autonomous City of Buenos Aires, Argentina",Argentina,9757411.0,Community inventories,2002.0
3,"Autonomous City of Buenos Aires, Argentina",Argentina,9969971.0,Community inventories,2003.0
4,"Autonomous City of Buenos Aires, Argentina",Argentina,9951382.0,Community inventories,2004.0
5,"Autonomous City of Buenos Aires, Argentina",Argentina,9917962.0,Community inventories,2005.0
6,"Autonomous City of Buenos Aires, Argentina",Argentina,9758063.0,Community inventories,2006.0
7,"Autonomous City of Buenos Aires, Argentina",Argentina,10697979.0,Community inventories,2007.0
8,"Autonomous City of Buenos Aires, Argentina",Argentina,10465723.0,Community inventories,2008.0
9,"Autonomous City of Buenos Aires, Argentina",Argentina,10509649.0,Community inventories,2009.0
10,"Autonomous City of Buenos Aires, Argentina",Argentina,10865523.0,Community inventories,2010.0
11,"Autonomous City of Buenos Aires, Argentina",Argentina,11072034.0,Community inventories,2011.0
12,"Autonomous City of Buenos Aires, Argentina",Argentina,11157086.0,Community inventories,2012.0
13,"Autonomous City of Buenos Aires, Argentina",Argentina,12171780.0,Community inventories,2013.0
14,"Autonomous City of Buenos Aires, Argentina",Argentina,5998.0,Government operations inventory,2000.0
15,"Autonomous City of Buenos Aires, Argentina",Argentina,7320.0,Government operations inventory,2001.0
16,"Autonomous City of Buenos Aires, Argentina",Argentina,7394.0,Government operations inventory,2002.0
17,"Autonomous City of Buenos Aires, Argentina",Argentina,6569.0,Government operations inventory,2003.0
18,"Autonomous City of Buenos Aires, Argentina",Argentina,5279.0,Government operations inventory,2004.0
19,"Autonomous City of Buenos Aires, Argentina",Argentina,5279.0,Government operations inventory,2005.0
20,"Autonomous City of Buenos Aires, Argentina",Argentina,6441.0,Government operations inventory,2006.0
21,"Autonomous City of Buenos Aires, Argentina",Argentina,6893.0,Government operations inventory,2007.0
22,"Autonomous City of Buenos Aires, Argentina",Argentina,6689.0,Government operations inventory,2008.0
23,"Autonomous City of Buenos Aires, Argentina",Argentina,6678.0,Government operations inventory,2009.0
24,"Autonomous City of Buenos Aires, Argentina",Argentina,6623.0,Government operations inventory,2010.0
25,"Autonomous City of Buenos Aires, Argentina",Argentina,6464.0,Government operations inventory,2011.0
26,"Autonomous City of Buenos Aires, Argentina",Argentina,5788.0,Government operations inventory,2012.0
27,"Municipality of Arias, Argentina",Argentina,95956.95566,Community inventories,2014.0
28,"Municipality of Arias, Argentina",Argentina,2121.11,Government operations inventory,2014.0
29,"Municipality of Armstrong, Argentina",Argentina,53699.23595,Community inventories,2014.0
30,"Municipality of Armstrong, Argentina",Argentina,6040.7,Government operations inventory,2014.0
31,"Municipality of Arteaga, Argentina",Argentina,28271.05234,Community inventories,2014.0
32,"Municipality of Arteaga, Argentina",Argentina,1345.87,Government operations inventory,2014.0
33,"Municipality of Bariloche, Argentina",Argentina,913661.7177,Community inventories,2014.0
34,"Municipality of Bariloche, Argentina",Argentina,79318.47,Government operations inventory,2014.0
35,"Municipality of Bell Ville, Argentina",Argentina,100445.5534,Community inventories,2014.0
36,"Municipality of Bell Ville, Argentina",Argentina,6815.360000000001,Government operations inventory,2014.0
37,"Municipality of Bragado, Argentina",Argentina,580160.2594,Community inventories,2014.0
38,"Municipality of Bragado, Argentina",Argentina,17090.44,Government operations inventory,2014.0
39,"Municipality of Camilo Aldao, Argentina",Argentina,51221.0,Community inventories,2014.0
40,"Municipality of Camilo Aldao, Argentina",Argentina,2787.7599999999998,Government operations inventory,2014.0
41,"Municipality of Carcarañá, Argentina",Argentina,96298.0,Community inventories,2014.0
42,"Municipality of Carcarañá, Argentina",Argentina,7567.82,Government operations inventory,2014.0
43,"Municipality of Carlos Tejedor, Argentina",Argentina,681927.0,Community inventories,2014.0
