,city,url
0,"City of Santa Rosa, Laguna, Philippines","https://carbonn.org/city_profiles/City_of_Santa_Rosa,_Laguna"
1,"Municipality of Donostia/San Sebastián, Spain",https://carbonn.org/city_profiles/Municipality_of_Donostia%2FSan_Sebasti%C3%A1n
