,"Agriculture, forest and other land use",Industrial process and product use,Other,Stationary energy,Transport,Unnamed: 0,Waste management,city,country,inventory_type
428,0.0,0.0,0.0,0.0,7293.0,428.0,134145.0,"Kitakyushu City, Japan",Japan,Government operations inventory
429,0.0,0.0,0.0,0.0,53.0,429.0,0.0,"Kitamoto City, Japan",Japan,Government operations inventory
430,0.0,0.0,,8708000.0,1995000.0,430.0,264000.0,"Kobe City, Japan",Japan,Community inventories
431,325.0,0.0,0.0,0.0,29275.0,431.0,208647.0,"Kobe City, Japan",Japan,Government operations inventory
432,0.0,0.0,,6561000.0,1519000.0,432.0,96000.0,"Kochi Prefecture, Japan",Japan,Community inventories
433,0.0,0.0,,558100.0,71300.0,433.0,2900.0,"Kochi-konan City, Japan",Japan,Community inventories
434,0.0,0.0,0.0,0.0,203.0,434.0,43.0,"Kochi-konan City, Japan",Japan,Government operations inventory
435,0.0,0.0,,0.0,0.0,435.0,0.0,"Kofu City, Japan",Japan,Community inventories
436,0.0,0.0,0.0,0.0,876.0,436.0,41826.0,"Kofu City, Japan",Japan,Government operations inventory
437,0.0,0.0,,218000.0,63500.0,437.0,2760.0,"Komoro City, Japan",Japan,Community inventories
438,0.0,0.0,0.0,0.0,252.0,438.0,2.0,"Komoro City, Japan",Japan,Government operations inventory
439,0.0,0.0,,1832000.0,698000.0,439.0,49500.0,"Koriyama City, Japan",Japan,Community inventories
440,0.0,0.0,,2515248.0,444553.0,440.0,43273.0,"Koto City, Japan",Japan,Community inventories
441,0.0,0.0,0.0,0.0,158.3,441.0,0.0,"Koto City, Japan",Japan,Government operations inventory
442,0.0,0.0,,3903000.0,981000.0,442.0,82000.0,"Kumamoto City, Japan",Japan,Community inventories
443,0.0,0.0,0.0,0.0,4277.0,443.0,71993.0,"Kumamoto City, Japan",Japan,Government operations inventory
444,0.0,1026000.0,,29326000.0,1743000.0,444.0,99000.0,"Kurashiki City, Japan",Japan,Community inventories
445,0.0,0.0,1679.0,0.0,1939.0,445.0,29693.0,"Kurashiki City, Japan",Japan,Government operations inventory
446,0.0,0.0,,1502000.0,457000.0,446.0,47000.0,"Kurume City, Japan",Japan,Community inventories
447,0.0,0.0,40202.0,0.0,0.0,447.0,0.0,"Kurume City, Japan",Japan,Government operations inventory
448,0.0,0.0,,1739000.0,407000.0,448.0,21000.0,"Kushiro City, Japan",Japan,Community inventories
449,0.0,0.0,,5498000.0,1584000.0,449.0,217000.0,"Kyoto City, Japan",Japan,Community inventories
450,0.0,0.0,0.0,0.0,75000.0,450.0,187000.0,"Kyoto City, Japan",Japan,Government operations inventory
451,0.0,0.0,,8225177.0,3109753.0,451.0,288639.0,"Kyoto Prefecture, Japan",Japan,Community inventories
452,0.0,0.0,12480.0,0.0,9044.0,452.0,0.0,"Kyoto Prefecture, Japan",Japan,Government operations inventory
453,0.0,0.0,1.0,0.0,1563.0,453.0,50091.0,"Maebashi City, Japan",Japan,Government operations inventory
454,85439.0,0.0,,2218154.0,871996.0,454.0,42355.0,"Matsuyama City, Japan",Japan,Community inventories
455,0.0,0.0,111532.0,0.0,0.0,455.0,0.0,"Matsuyama City, Japan",Japan,Government operations inventory
456,0.0,0.0,,904000.0,256000.0,456.0,22000.0,"Meguro City, Japan",Japan,Community inventories
457,0.0,0.0,,21918.0,4182.0,457.0,642.0,"Mie Prefecture, Japan",Japan,Community inventories
458,0.0,0.0,0.0,0.0,6159.0,458.0,0.0,"Mie Prefecture, Japan",Japan,Government operations inventory
459,0.0,0.0,,3570000.0,664000.0,459.0,48000.0,"Minato City, Japan",Japan,Community inventories
460,0.0,0.0,0.0,0.0,206.0,460.0,0.0,"Minato City, Japan",Japan,Government operations inventory
461,0.0,0.0,,873000.0,543000.0,461.0,47000.0,"Mito City, Japan",Japan,Community inventories
462,0.0,0.0,0.0,0.0,666.0,462.0,35290.0,"Mito City, Japan",Japan,Government operations inventory
463,0.0,0.0,,13653.0,5213.0,463.0,618.0,"Miyagi Prefecture, Japan",Japan,Community inventories
464,0.0,0.0,,923000.0,864000.0,464.0,14000.0,"Miyazaki City, Japan",Japan,Community inventories
465,0.0,0.0,0.0,0.0,1230.0,465.0,0.0,"Miyazaki City, Japan",Japan,Government operations inventory
466,0.0,0.0,,686927.0,169803.0,466.0,3900.0,"Miyoshi City, Japan",Japan,Community inventories
467,1000.0,0.0,,524000.0,82000.0,467.0,9000.0,"Musashino City, Japan",Japan,Community inventories
468,0.0,0.0,2.0,0.0,522.0,468.0,13601.0,"Musashino City, Japan",Japan,Government operations inventory
469,0.0,0.0,,729900.0,194300.0,469.0,16300.0,"Nagahama City, Japan",Japan,Community inventories
470,0.0,0.0,0.0,0.0,1222.0,470.0,0.0,"Nagahama City, Japan",Japan,Government operations inventory
471,0.0,0.0,,437068.0,178219.0,471.0,14209.0,"Nagareyama City, Japan",Japan,Community inventories
472,0.0,0.0,3.0,0.0,8.0,472.0,31654.0,"Nagareyama City, Japan",Japan,Government operations inventory
473,0.0,0.0,,4247000.0,2520000.0,473.0,278000.0,"Nagasaki Prefecture, Japan",Japan,Community inventories
474,0.0,0.0,0.0,0.0,25233.0,474.0,0.0,"Nagasaki Prefecture, Japan",Japan,Government operations inventory
475,9000.0,0.0,,10675000.0,4557000.0,475.0,265000.0,"Nagoya City, Japan",Japan,Community inventories
476,98.0,0.0,308.0,0.0,46560.0,476.0,266320.0,"Nagoya City, Japan",Japan,Government operations inventory
477,0.0,0.0,,1862000.0,357000.0,477.0,39000.0,"Naha City, Japan",Japan,Community inventories
478,0.0,0.0,25198.0,0.0,0.0,478.0,0.0,"Naha City, Japan",Japan,Government operations inventory
479,0.0,0.0,,783000.0,174000.0,479.0,24000.0,"Nakano City, Japan",Japan,Community inventories
480,13741.0,0.0,,946677.0,340494.0,480.0,41583.0,"Nara City, Japan",Japan,Community inventories
481,0.0,0.0,13533.0,0.0,0.0,481.0,21938.0,"Nara City, Japan",Japan,Government operations inventory
482,0.0,0.0,,1492000.0,522000.0,482.0,50000.0,"Nerima City, Japan",Japan,Community inventories
483,0.0,0.0,0.0,0.0,578.0,483.0,0.0,"Nerima City, Japan",Japan,Government operations inventory
484,0.0,0.0,,675000.0,263000.0,484.0,21000.0,"Neyagawa City, Japan",Japan,Community inventories
485,0.0,0.0,24476.0,0.0,0.0,485.0,0.0,"Neyagawa City, Japan",Japan,Government operations inventory
486,0.0,0.0,,4647853.0,1896115.0,486.0,343902.0,"Niigata City, Japan",Japan,Community inventories
487,0.0,0.0,141.0,0.0,2549.0,487.0,72116.0,"Niigata City, Japan",Japan,Government operations inventory
488,0.0,0.0,,15170000.0,5170000.0,488.0,1480000.0,"Niigata Prefecture, Japan",Japan,Community inventories
489,0.0,0.0,,1296818.0,374141.0,489.0,62675.0,"Nishinomiya, Japan",Japan,Community inventories
490,0.0,0.0,,763076.0,275107.0,490.0,11151.0,"Odawara City, Japan",Japan,Community inventories
491,0.0,0.0,0.0,0.0,684.0,491.0,14951.0,"Odawara City, Japan",Japan,Government operations inventory
492,0.0,0.0,,27507000.0,2818000.0,492.0,239000.0,"Oita Prefecture, Japan",Japan,Community inventories
493,0.0,0.0,2945.0,0.0,4789.0,493.0,0.0,"Oita Prefecture, Japan",Japan,Government operations inventory
494,0.0,0.0,,4921000.0,1415000.0,494.0,175000.0,"Okayama City, Japan",Japan,Community inventories
495,0.0,0.0,0.0,0.0,2000.0,495.0,71422.0,"Okayama City, Japan",Japan,Government operations inventory
496,0.0,0.0,,2202000.0,591000.0,496.0,59000.0,"Okazaki City, Japan",Japan,Community inventories
497,0.0,0.0,32.0,0.0,0.0,497.0,58564.0,"Okazaki City, Japan",Japan,Government operations inventory
498,0.0,258000.0,,8454000.0,3857000.0,498.0,133000.0,"Okinawa Prefecture, Japan",Japan,Community inventories
499,0.0,0.0,169360.0,0.0,0.0,499.0,0.0,"Okinawa Prefecture, Japan",Japan,Government operations inventory
500,0.0,0.0,,40270000.0,7640000.0,500.0,1220000.0,"Osaka Prefecture, Japan",Japan,Community inventories
501,0.0,0.0,0.0,0.0,0.0,501.0,0.0,"Osaka Prefecture, Japan",Japan,Government operations inventory
502,0.0,0.0,,2423000.0,623000.0,502.0,35000.0,"Ota City, Japan",Japan,Community inventories
503,0.0,0.0,0.0,0.0,1206.0,503.0,0.0,"Ota City, Japan",Japan,Government operations inventory
504,0.0,0.0,,1318483.0,451573.0,504.0,91239.0,"Otsu City, Japan",Japan,Community inventories
505,8.0,0.0,0.0,0.0,1238.0,505.0,30099.0,"Otsu City, Japan",Japan,Government operations inventory
506,0.0,0.0,,3243485.0,1077944.0,506.0,58474.0,"Sagamihara City, Japan",Japan,Community inventories
507,0.0,0.0,0.0,0.0,2218.0,507.0,56437.0,"Sagamihara City, Japan",Japan,Government operations inventory
508,0.0,0.0,,3728000.0,1406000.0,508.0,262000.0,"Saitama City, Japan",Japan,Community inventories
509,0.0,0.0,91259.0,0.0,0.0,509.0,0.0,"Saitama City, Japan",Japan,Government operations inventory
510,0.0,0.0,,24350244.0,10092367.0,510.0,1419080.0,"Saitama Prefecture, Japan",Japan,Community inventories
511,0.0,0.0,,5907024.0,1085878.0,511.0,204313.0,"Sakai City, Japan",Japan,Community inventories
512,0.0,0.0,16523.0,0.0,1550.0,512.0,113000.0,"Sakai City, Japan",Japan,Government operations inventory
513,0.0,0.0,,0.0,0.0,513.0,0.0,"Sapporo City, Japan",Japan,Community inventories
514,4.7,0.0,0.0,0.0,0.0,514.0,222047.15,"Sapporo City, Japan",Japan,Government operations inventory
515,27000.0,6000.0,,1121000.0,528000.0,515.0,41000.0,"Sasebo City, Japan",Japan,Community inventories
516,0.0,0.0,85187.0,0.0,0.0,516.0,0.0,"Sasebo City, Japan",Japan,Government operations inventory
517,0.0,0.0,,0.0,0.0,517.0,0.0,"Sendai City, Japan",Japan,Community inventories
518,0.0,0.0,19.0,0.0,35715.0,518.0,136376.0,"Sendai City, Japan",Japan,Government operations inventory
519,0.0,0.0,,2177000.0,752000.0,519.0,67000.0,"Setagaya City, Japan",Japan,Community inventories
520,0.0,0.0,0.0,0.0,20.0,520.0,0.0,"Setagaya City, Japan",Japan,Government operations inventory
521,0.0,0.0,0.0,0.0,355.0,521.0,12954.0,"Settsu City, Japan",Japan,Government operations inventory
522,0.0,0.0,,1805000.0,484000.0,522.0,37000.0,"Shibuya City, Japan",Japan,Community inventories
