,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
0,0.0,0.0,8176887.0,3994893.0,0.0,"Autonomous City of Buenos Aires, Argentina",Argentina,Community inventories,
1,0.0,0.0,0.0,5788.0,0.0,"Autonomous City of Buenos Aires, Argentina",Argentina,Government operations inventory,0.0
2,76772.64485,0.0,10079.4812,6983.649296,2121.180308,"Municipality of Arias, Argentina",Argentina,Community inventories,
3,0.0,0.0,0.0,0.0,2121.11,"Municipality of Arias, Argentina",Argentina,Government operations inventory,0.0
4,13000.16376,0.0,23899.92521,10758.44698,6040.699995,"Municipality of Armstrong, Argentina",Argentina,Community inventories,
5,0.0,0.0,0.0,0.0,6040.7,"Municipality of Armstrong, Argentina",Argentina,Government operations inventory,0.0
6,14804.0,0.0,9203.0,24425.0,2789.0,"Municipality of Camilo Aldao, Argentina",Argentina,Community inventories,
7,0.0,0.0,0.0,0.0,2787.7599999999998,"Municipality of Camilo Aldao, Argentina",Argentina,Government operations inventory,0.0
8,6386.0,0.0,32398.0,49946.0,7568.0,"Municipality of Carcarañá, Argentina",Argentina,Community inventories,
9,0.0,0.0,0.0,0.0,7567.82,"Municipality of Carcarañá, Argentina",Argentina,Government operations inventory,0.0
10,643373.0,0.0,20119.0,17499.0,936.0,"Municipality of Carlos Tejedor, Argentina",Argentina,Community inventories,
11,0.0,0.0,0.0,0.0,935.81,"Municipality of Carlos Tejedor, Argentina",Argentina,Government operations inventory,0.0
12,11622.52844,0.0,2971.477078,6171.974633,477.6848155,"Municipality of Caseros, Argentina",Argentina,Community inventories,
13,0.0,0.0,0.0,0.0,477.69,"Municipality of Caseros, Argentina",Argentina,Government operations inventory,0.0
14,328054.3974,0.0,217614.2836,70990.22393,15779.11823,"Municipality of Chacabuco, Argentina",Argentina,Community inventories,
15,0.0,0.0,0.0,0.0,15779.119999999999,"Municipality of Chacabuco, Argentina",Argentina,Government operations inventory,0.0
16,20957.0,0.0,6646.0,15632.0,1103.0,"Municipality of Chañar Ladeado, Argentina",Argentina,Community inventories,
17,0.0,0.0,0.0,0.0,1102.55,"Municipality of Chañar Ladeado, Argentina",Argentina,Government operations inventory,0.0
18,276657.0,0.0,31963.0,19614.0,5561.0,"Municipality of General Viamonte, Argentina",Argentina,Community inventories,
19,0.0,0.0,0.0,0.0,5560.67,"Municipality of General Viamonte, Argentina",Argentina,Government operations inventory,0.0
20,1238.0,0.0,311344.0,142017.0,79396.0,"Municipality of Godoy Cruz, Argentina",Argentina,Community inventories,
21,0.0,0.0,0.0,0.0,79396.8,"Municipality of Godoy Cruz, Argentina",Argentina,Government operations inventory,0.0
22,746559.0,0.0,15630.0,16494.0,4289.0,"Municipality of Guaminí, Argentina",Argentina,Community inventories,
23,0.0,0.0,0.0,0.0,4289.38,"Municipality of Guaminí, Argentina",Argentina,Government operations inventory,0.0
24,312129.6657,0.0,74853.64961,62406.45474,11521.28932,"Municipality of Lobos, Argentina",Argentina,Community inventories,
25,0.0,0.0,0.0,0.0,11521.29,"Municipality of Lobos, Argentina",Argentina,Government operations inventory,0.0
26,26370.88958,0.0,6665.578908,3017.63829,545.5761111,"Municipality of Los Surgentes, Argentina",Argentina,Community inventories,
27,0.0,0.0,0.0,0.0,545.5699999999999,"Municipality of Los Surgentes, Argentina",Argentina,Government operations inventory,0.0
28,34781.0,0.0,6217.0,9734.0,3047.0,"Municipality of Malabrigo, Argentina",Argentina,Community inventories,
29,0.0,0.0,0.0,0.0,3046.75,"Municipality of Malabrigo, Argentina",Argentina,Government operations inventory,0.0
30,1387.123214,0.0,67790.00237,49730.20012,9365.366473,"Municipality of Nogoyá, Argentina",Argentina,Community inventories,
31,0.0,0.0,0.0,0.0,9365.369999999999,"Municipality of Nogoyá, Argentina",Argentina,Government operations inventory,0.0
32,0.0,0.0,407330.7314,292492.6217,128429.593,"Municipality of Paraná, Argentina",Argentina,Community inventories,
33,0.0,0.0,0.0,0.0,128429.59,"Municipality of Paraná, Argentina",Argentina,Government operations inventory,0.0
34,1384.0,0.0,6881.0,2218.0,3940.0,"Municipality of Potrero de los Funes, Argentina",Argentina,Community inventories,
35,0.0,0.0,0.0,0.0,3941.12,"Municipality of Potrero de los Funes, Argentina",Argentina,Government operations inventory,0.0
