,actions_nr,city,city_profile_url,commitments_nr,country,performance_nr,state
32,6,City of Subiaco,http://carbonn.org/city_profiles/City_of_Subiaco&text=City%20of%20Subiaco%20on%20Carbonn%20Climate%20Registry,0,Australia,0,
33,8,City of Sydney,http://carbonn.org/city_profiles/City_of_Sydney&text=City%20of%20Sydney%20on%20Carbonn%20Climate%20Registry,6,Australia,2,
34,5,Melbourne City Council,http://carbonn.org/city_profiles/Melbourne_City_Council&text=Melbourne%20City%20Council%20on%20Carbonn%20Climate%20Registry,0,Australia,0,
35,3,Mornington Peninsula Shire Council,http://carbonn.org/city_profiles/Mornington_Peninsula_Shire_Council&text=Mornington%20Peninsula%20Shire%20Council%20on%20Carbonn%20Climate%20Registry,0,Australia,2,
36,5,Port Phillip City Council,http://carbonn.org/city_profiles/Port_Phillip_City_Council&text=Port%20Phillip%20City%20Council%20on%20Carbonn%20Climate%20Registry,2,Australia,1,
37,0,Tweed Shire Council,http://carbonn.org/city_profiles/Tweed_Shire_Council&text=Tweed%20Shire%20Council%20on%20Carbonn%20Climate%20Registry,8,Australia,1,
38,0,Yarra City Council,http://carbonn.org/city_profiles/Yarra_City_Council&text=Yarra%20City%20Council%20on%20Carbonn%20Climate%20Registry,5,Australia,2,
39,20,City of Graz,http://carbonn.org/city_profiles/City_of_Graz&text=City%20of%20Graz%20on%20Carbonn%20Climate%20Registry,5,Austria,1,
40,58,Brussels Capital Region,http://carbonn.org/city_profiles/Brussels_Capital_Region&text=Brussels%20Capital%20Region%20on%20Carbonn%20Climate%20Registry,1,Belgium,9,
41,31,City of Antwerp,http://carbonn.org/city_profiles/City_of_Antwerp&text=City%20of%20Antwerp%20on%20Carbonn%20Climate%20Registry,6,Belgium,2,
42,58,City of Ghent,http://carbonn.org/city_profiles/City_of_Ghent&text=City%20of%20Ghent%20on%20Carbonn%20Climate%20Registry,6,Belgium,4,
43,11,City of Mechelen,http://carbonn.org/city_profiles/City_of_Mechelen&text=City%20of%20Mechelen%20on%20Carbonn%20Climate%20Registry,0,Belgium,1,
44,10,City of Mouscron,http://carbonn.org/city_profiles/City_of_Mouscron&text=City%20of%20Mouscron%20on%20Carbonn%20Climate%20Registry,4,Belgium,2,
45,18,City of Namur,http://carbonn.org/city_profiles/City_of_Namur&text=City%20of%20Namur%20on%20Carbonn%20Climate%20Registry,1,Belgium,0,
46,3,City of Belmopan,http://carbonn.org/city_profiles/City_of_Belmopan&text=City%20of%20Belmopan%20on%20Carbonn%20Climate%20Registry,0,Belize,0,
47,6,City of Thimphu,http://carbonn.org/city_profiles/City_of_Thimphu&text=City%20of%20Thimphu%20on%20Carbonn%20Climate%20Registry,0,Bhutan,0,
48,5,Autonomous Municipal Government of La Paz,http://carbonn.org/city_profiles/Autonomous_Municipal_Government_of_La_Paz&text=Autonomous%20Municipal%20Government%20of%20La%20Paz%20on%20Carbonn%20Climate%20Registry,0,Bolivia,0,
49,1,Municipality of Aracaju,http://carbonn.org/city_profiles/Municipality_of_Aracaju&text=Municipality%20of%20Aracaju%20on%20Carbonn%20Climate%20Registry,4,Brazil,0,
50,40,Municipality of Belo Horizonte,http://carbonn.org/city_profiles/Municipality_of_Belo_Horizonte&text=Municipality%20of%20Belo%20Horizonte%20on%20Carbonn%20Climate%20Registry,11,Brazil,6,
51,39,Municipality of Betim,http://carbonn.org/city_profiles/Municipality_of_Betim&text=Municipality%20of%20Betim%20on%20Carbonn%20Climate%20Registry,0,Brazil,2,
52,0,Municipality of Brasília,http://carbonn.org/city_profiles/Municipality_of_Bras%C3%ADlia&text=Municipality%20of%20Bras%C3%ADlia%20on%20Carbonn%20Climate%20Registry,1,Brazil,0,
53,9,Municipality of Campinas,http://carbonn.org/city_profiles/Municipality_of_Campinas&text=Municipality%20of%20Campinas%20on%20Carbonn%20Climate%20Registry,4,Brazil,0,
54,2,Municipality of Contagem,http://carbonn.org/city_profiles/Municipality_of_Contagem&text=Municipality%20of%20Contagem%20on%20Carbonn%20Climate%20Registry,0,Brazil,0,
55,6,Municipality of Curitiba,http://carbonn.org/city_profiles/Municipality_of_Curitiba&text=Municipality%20of%20Curitiba%20on%20Carbonn%20Climate%20Registry,0,Brazil,1,
56,7,Municipality of Diadema,http://carbonn.org/city_profiles/Municipality_of_Diadema&text=Municipality%20of%20Diadema%20on%20Carbonn%20Climate%20Registry,0,Brazil,0,
57,0,Municipality of Duque de Caxias,http://carbonn.org/city_profiles/Municipality_of_Duque_de_Caxias&text=Municipality%20of%20Duque%20de%20Caxias%20on%20Carbonn%20Climate%20Registry,0,Brazil,1,
58,0,Municipality of Florianópolis,http://carbonn.org/city_profiles/Municipality_of_Florian%C3%B3polis&text=Municipality%20of%20Florian%C3%B3polis%20on%20Carbonn%20Climate%20Registry,1,Brazil,0,
59,20,Municipality of Fortaleza,http://carbonn.org/city_profiles/Municipality_of_Fortaleza&text=Municipality%20of%20Fortaleza%20on%20Carbonn%20Climate%20Registry,21,Brazil,4,
60,32,Municipality of Joinville,http://carbonn.org/city_profiles/Municipality_of_Joinville&text=Municipality%20of%20Joinville%20on%20Carbonn%20Climate%20Registry,1,Brazil,1,
61,1,Municipality of Londrina,http://carbonn.org/city_profiles/Municipality_of_Londrina&text=Municipality%20of%20Londrina%20on%20Carbonn%20Climate%20Registry,0,Brazil,3,
62,6,Municipality of Maceió,http://carbonn.org/city_profiles/Municipality_of_Macei%C3%B3&text=Municipality%20of%20Macei%C3%B3%20on%20Carbonn%20Climate%20Registry,0,Brazil,0,
63,9,Municipality of Manaus,http://carbonn.org/city_profiles/Municipality_of_Manaus&text=Municipality%20of%20Manaus%20on%20Carbonn%20Climate%20Registry,0,Brazil,0,
64,12,Municipality of Niterói,http://carbonn.org/city_profiles/Municipality_of_Niter%C3%B3i&text=Municipality%20of%20Niter%C3%B3i%20on%20Carbonn%20Climate%20Registry,0,Brazil,1,
65,7,Municipality of Porto Alegre,http://carbonn.org/city_profiles/Municipality_of_Porto_Alegre&text=Municipality%20of%20Porto%20Alegre%20on%20Carbonn%20Climate%20Registry,10,Brazil,2,
66,13,Municipality of Recife,http://carbonn.org/city_profiles/Municipality_of_Recife&text=Municipality%20of%20Recife%20on%20Carbonn%20Climate%20Registry,15,Brazil,4,
67,22,Municipality of Rio de Janeiro,http://carbonn.org/city_profiles/Municipality_of_Rio_de_Janeiro&text=Municipality%20of%20Rio%20de%20Janeiro%20on%20Carbonn%20Climate%20Registry,3,Brazil,3,
68,10,Municipality of Sorocaba,http://carbonn.org/city_profiles/Municipality_of_Sorocaba&text=Municipality%20of%20Sorocaba%20on%20Carbonn%20Climate%20Registry,3,Brazil,4,
69,5,Municipality of São Carlos,http://carbonn.org/city_profiles/Municipality_of_S%C3%A3o_Carlos&text=Municipality%20of%20S%C3%A3o%20Carlos%20on%20Carbonn%20Climate%20Registry,0,Brazil,0,
70,33,Municipality of São José dos Campos,http://carbonn.org/city_profiles/Municipality_of_S%C3%A3o_Jos%C3%A9_dos_Campos&text=Municipality%20of%20S%C3%A3o%20Jos%C3%A9%20dos%20Campos%20on%20Carbonn%20Climate%20Registry,0,Brazil,0,
71,15,Municipality of São Paulo,http://carbonn.org/city_profiles/Municipality_of_S%C3%A3o_Paulo&text=Municipality%20of%20S%C3%A3o%20Paulo%20on%20Carbonn%20Climate%20Registry,2,Brazil,3,
72,1,Municipality of Bafut,http://carbonn.org/city_profiles/Municipality_of_Bafut&text=Municipality%20of%20Bafut%20on%20Carbonn%20Climate%20Registry,0,Cameroon,0,
73,5,City of Calgary,http://carbonn.org/city_profiles/City_of_Calgary&text=City%20of%20Calgary%20on%20Carbonn%20Climate%20Registry,3,Canada,2,
74,23,City of Colwood,http://carbonn.org/city_profiles/City_of_Colwood&text=City%20of%20Colwood%20on%20Carbonn%20Climate%20Registry,8,Canada,6,
75,85,City of Edmonton,http://carbonn.org/city_profiles/City_of_Edmonton&text=City%20of%20Edmonton%20on%20Carbonn%20Climate%20Registry,8,Canada,9,
76,2,City of Fredericton,http://carbonn.org/city_profiles/City_of_Fredericton&text=City%20of%20Fredericton%20on%20Carbonn%20Climate%20Registry,2,Canada,5,
77,20,City of Greater Sudbury,http://carbonn.org/city_profiles/City_of_Greater_Sudbury&text=City%20of%20Greater%20Sudbury%20on%20Carbonn%20Climate%20Registry,3,Canada,2,
78,9,City of Maple Ridge,http://carbonn.org/city_profiles/City_of_Maple_Ridge&text=City%20of%20Maple%20Ridge%20on%20Carbonn%20Climate%20Registry,4,Canada,10,
79,26,City of Montréal,http://carbonn.org/city_profiles/City_of_Montr%C3%A9al&text=City%20of%20Montr%C3%A9al%20on%20Carbonn%20Climate%20Registry,2,Canada,2,
80,79,City of North Vancouver,http://carbonn.org/city_profiles/City_of_North_Vancouver&text=City%20of%20North%20Vancouver%20on%20Carbonn%20Climate%20Registry,6,Canada,17,
81,10,City of Richmond,"http://carbonn.org/city_profiles/City_of_Richmond,_BC&text=City%20of%20Richmond,%20BC%20on%20Carbonn%20Climate%20Registry",2,Canada,6,BC
82,69,City of Surrey,http://carbonn.org/city_profiles/City_of_Surrey&text=City%20of%20Surrey%20on%20Carbonn%20Climate%20Registry,4,Canada,7,
83,0,City of Thunder Bay,http://carbonn.org/city_profiles/City_of_Thunder_Bay&text=City%20of%20Thunder%20Bay%20on%20Carbonn%20Climate%20Registry,0,Canada,1,
84,120,City of Vancouver,http://carbonn.org/city_profiles/City_of_Vancouver&text=City%20of%20Vancouver%20on%20Carbonn%20Climate%20Registry,14,Canada,10,
85,0,City of Victoria,http://carbonn.org/city_profiles/City_of_Victoria&text=City%20of%20Victoria%20on%20Carbonn%20Climate%20Registry,2,Canada,0,
86,6,City of Yellowknife,http://carbonn.org/city_profiles/City_of_Yellowknife&text=City%20of%20Yellowknife%20on%20Carbonn%20Climate%20Registry,2,Canada,2,
87,32,District of Delta,http://carbonn.org/city_profiles/District_of_Delta&text=District%20of%20Delta%20on%20Carbonn%20Climate%20Registry,2,Canada,9,
88,2,District of North Cowichan,http://carbonn.org/city_profiles/District_of_North_Cowichan&text=District%20of%20North%20Cowichan%20on%20Carbonn%20Climate%20Registry,8,Canada,2,
89,19,District of Saanich,http://carbonn.org/city_profiles/District_of_Saanich&text=District%20of%20Saanich%20on%20Carbonn%20Climate%20Registry,2,Canada,10,
90,0,District of West Vancouver,http://carbonn.org/city_profiles/District_of_West_Vancouver&text=District%20of%20West%20Vancouver%20on%20Carbonn%20Climate%20Registry,4,Canada,3,
91,8,Metro Vancouver,http://carbonn.org/city_profiles/Metro_Vancouver&text=Metro%20Vancouver%20on%20Carbonn%20Climate%20Registry,3,Canada,3,
92,1,Regional Municipality of Waterloo,http://carbonn.org/city_profiles/Regional_Municipality_of_Waterloo&text=Regional%20Municipality%20of%20Waterloo%20on%20Carbonn%20Climate%20Registry,2,Canada,2,
93,4,Town of Ajax,http://carbonn.org/city_profiles/Town_of_Ajax&text=Town%20of%20Ajax%20on%20Carbonn%20Climate%20Registry,2,Canada,2,
94,16,Town of Caledon,http://carbonn.org/city_profiles/Town_of_Caledon&text=Town%20of%20Caledon%20on%20Carbonn%20Climate%20Registry,3,Canada,1,
95,0,Town of Halton Hills,http://carbonn.org/city_profiles/Town_of_Halton_Hills&text=Town%20of%20Halton%20Hills%20on%20Carbonn%20Climate%20Registry,2,Canada,2,
96,0,Town of Oakville,http://carbonn.org/city_profiles/Town_of_Oakville&text=Town%20of%20Oakville%20on%20Carbonn%20Climate%20Registry,0,Canada,1,
97,1,Municipality of Independencia,http://carbonn.org/city_profiles/Municipality_of_Independencia&text=Municipality%20of%20Independencia%20on%20Carbonn%20Climate%20Registry,5,Chile,0,
98,11,Municipality of Lautaro,http://carbonn.org/city_profiles/Municipality_of_Lautaro&text=Municipality%20of%20Lautaro%20on%20Carbonn%20Climate%20Registry,3,Chile,0,
99,1,Municipality of Providencia,http://carbonn.org/city_profiles/Municipality_of_Providencia&text=Municipality%20of%20Providencia%20on%20Carbonn%20Climate%20Registry,3,Chile,1,
100,5,Municipality of Quilpue,http://carbonn.org/city_profiles/Municipality_of_Quilpue&text=Municipality%20of%20Quilpue%20on%20Carbonn%20Climate%20Registry,0,Chile,0,
101,4,Municipality of Santiago,http://carbonn.org/city_profiles/Municipality_of_Santiago&text=Municipality%20of%20Santiago%20on%20Carbonn%20Climate%20Registry,5,Chile,1,
102,1,Municipality of Valdivia,http://carbonn.org/city_profiles/Municipality_of_Valdivia&text=Municipality%20of%20Valdivia%20on%20Carbonn%20Climate%20Registry,5,Chile,1,
