,city,country,plan_name,plan_type,start year
272,"Kalangnakorn Town Municipality, Thailand",Thailand,"Kalangnakorn Town Municipality, Thailand",Climate mitigation plan,2012
273,"Kalangnakorn Town Municipality, Thailand",Thailand,"Kalangnakorn Town Municipality, Thailand",Climate mitigation plan,2017
274,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2016
275,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2013
276,"Map Ammarit Municipality, Thailand",Thailand,"Map Ammarit Municipality, Thailand",,2015
277,"Patong Municipality, Thailand",Thailand,"Patong Municipality, Thailand",Climate adaptation /resilience plan,2017
278,"Prix Municipality, Thailand",Thailand,"Prix Municipality, Thailand",Integrated climate plan,2017
279,"Ranong Town Municipality, Thailand",Thailand,"Ranong Town Municipality, Thailand",Integrated climate plan,2017
280,"Ranong Town Municipality, Thailand",Thailand,"Ranong Town Municipality, Thailand",Integrated climate plan,2016
281,"Ubonratchathani Municipality, Thailand",Thailand,"Ubonratchathani Municipality, Thailand",Climate mitigation plan,2017
282,"Yasothon Town Municipality, Thailand",Thailand,"Yasothon Town Municipality, Thailand",Climate mitigation plan,2017
283,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
284,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
285,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
286,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
287,"City of Gaziantep, Turkey",Turkey,"City of Gaziantep, Turkey",,2016
288,"Izmir Metropolitan Municipality, Turkey",Turkey,"Izmir Metropolitan Municipality, Turkey",Climate mitigation plan,2016
289,"Kampala Capital City Authority, Uganda",Uganda,"Kampala Capital City Authority, Uganda",Integrated climate plan,2015
290,"Kampala Capital City Authority, Uganda",Uganda,"Kampala Capital City Authority, Uganda",Climate mitigation plan,2015
291,"Bristol City Council, United Kingdom",United Kingdom,"Bristol City Council, United Kingdom",Climate mitigation plan,2019
292,"Bristol City Council, United Kingdom",United Kingdom,"Bristol City Council, United Kingdom",Climate adaptation /resilience plan,2019
293,"Greater Manchester Combined Authority, United Kingdom",United Kingdom,"Greater Manchester Combined Authority, United Kingdom",Climate mitigation plan,2019
294,"City and County of San Francisco, CA, United States",United States,"City and County of San Francisco, CA, United States",Climate mitigation plan,2013
295,"City of Alton, IL, United States",United States,"City of Alton, IL, United States",,2011
296,"City of Atlanta, GA, United States",United States,"City of Atlanta, GA, United States",,
297,"City of Boston, MA, United States",United States,"City of Boston, MA, United States",Climate adaptation /resilience plan,2014
298,"City of Boston, MA, United States",United States,"City of Boston, MA, United States",Climate mitigation plan,2013
299,"City of Chicago, IL, United States",United States,"City of Chicago, IL, United States",Integrated climate plan,2019
300,"City of Fort Collins, CO, United States",United States,"City of Fort Collins, CO, United States",,2015
301,"City of Minneapolis, MN, United States",United States,"City of Minneapolis, MN, United States",,2013
302,"City of New York, NY, United States",United States,"City of New York, NY, United States",Climate adaptation /resilience plan,2013
303,"City of New York, NY, United States",United States,"City of New York, NY, United States",Climate mitigation plan,2019
304,"City of Oakland, CA, United States",United States,"City of Oakland, CA, United States",Climate mitigation plan,2019
305,"City of Oakland, CA, United States",United States,"City of Oakland, CA, United States",Climate adaptation /resilience plan,2019
306,"City of Olympia, WA, United States",United States,"City of Olympia, WA, United States",,2014
307,"City of Philadelphia, PA, United States",United States,"City of Philadelphia, PA, United States",Integrated climate plan,2019
308,"City of Portland, OR, United States",United States,"City of Portland, OR, United States",Climate mitigation plan,2019
309,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
310,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
311,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
312,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
313,"City of San Antonio, TX, United States",United States,"City of San Antonio, TX, United States",,
314,"City of Santa Barbara, CA, United States",United States,"City of Santa Barbara, CA, United States",Integrated climate plan,2012
315,"City of Santa Cruz, CA, United States",United States,"City of Santa Cruz, CA, United States",,2012
316,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2013
317,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2011
318,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2016
319,"City of Santa Monica, CA, United States",United States,"City of Santa Monica, CA, United States",,2013
320,"City of Seattle, WA, United States",United States,"City of Seattle, WA, United States",Integrated climate plan,2013
321,"City of Tacoma, WA, United States",United States,"City of Tacoma, WA, United States",,2008
322,"City of Tacoma, WA, United States",United States,"City of Tacoma, WA, United States",,2016
323,"City of Urbana, IL, United States",United States,"City of Urbana, IL, United States",Climate mitigation plan,2015
324,"Miami-Dade County, FL, United States",United States,"Miami-Dade County, FL, United States",,2017
325,"Miami-Dade County, FL, United States",United States,"Miami-Dade County, FL, United States",,2010
326,"Da Nang Municipal People's Government, Vietnam",Vietnam,"Da Nang Municipal People's Government, Vietnam",Climate mitigation plan,2017
327,"Dong Ha City, Vietnam",Vietnam,"Dong Ha City, Vietnam",Integrated climate plan,2014
