,city,country,plan_name,plan_type,start year
75,"Municipality of Guatemala, Guatemala",Guatemala,"Municipality of Guatemala, Guatemala",,2007
76,"Municipality of Guatemala, Guatemala",Guatemala,"Municipality of Guatemala, Guatemala",,2008
77,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2016
78,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2011
79,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2008
80,"Municipality of La Antigua Guatemala, Guatemala",Guatemala,"Municipality of La Antigua Guatemala, Guatemala",,2016
81,"Municipality of Pachalum, Guatemala",Guatemala,"Municipality of Pachalum, Guatemala",,2016
82,"Municipality of Pachalum, Guatemala",Guatemala,"Municipality of Pachalum, Guatemala",,2017
83,"Municipality of Villa Nueva, Guatemala",Guatemala,"Municipality of Villa Nueva, Guatemala",,2014
84,"Bengaluru Municipal Corporation, India",India,"Bengaluru Municipal Corporation, India",Climate adaptation /resilience plan,2014
85,"Coimbatore City Municipal Corporation, India",India,"Coimbatore City Municipal Corporation, India",Integrated climate plan,2013
86,"Corporation of the City of Panaji, India",India,"Corporation of the City of Panaji, India",,2015
87,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2017
88,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2012
89,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2017
90,"Greater Hyderabad Municipal Corporation, India",India,"Greater Hyderabad Municipal Corporation, India",,2017
91,"Kochi Municipal Corporation, India",India,"Kochi Municipal Corporation, India",Integrated climate plan,2016
92,"Rajkot Municipal Corporation, India",India,"Rajkot Municipal Corporation, India",Climate mitigation plan,2016
93,"Surat Municipal Corporation, India",India,"Surat Municipal Corporation, India",Climate mitigation plan,2011
94,"Surat Municipal Corporation, India",India,"Surat Municipal Corporation, India",Climate adaptation /resilience plan,2016
95,"City of Balikpapan, Indonesia",Indonesia,"City of Balikpapan, Indonesia",Climate adaptation /resilience plan,2016
