,"Agriculture, forest and other land use",Industrial process and product use,Stationary energy,Transport,Waste management,city,country,inventory_type,Other
46,1238.0,0.0,311344.0,142017.0,79396.0,"Municipality of Godoy Cruz, Argentina",Argentina,Community inventories,
47,0.0,0.0,0.0,0.0,79396.8,"Municipality of Godoy Cruz, Argentina",Argentina,Government operations inventory,0.0
48,746559.0,0.0,15630.0,16494.0,4289.0,"Municipality of Guaminí, Argentina",Argentina,Community inventories,
49,0.0,0.0,0.0,0.0,4289.38,"Municipality of Guaminí, Argentina",Argentina,Government operations inventory,0.0
50,492.2089877,0.0,531234.9775,266365.1575,28881.09511,"Municipality of Guaymallén, Argentina",Argentina,Community inventories,
51,0.0,0.0,0.0,0.0,5257.26,"Municipality of Guaymallén, Argentina",Argentina,Government operations inventory,0.0
52,27892.63658,0.0,2319.924026,7266.477103,428.7489414,"Municipality of Herrera, Argentina",Argentina,Community inventories,
53,0.0,0.0,0.0,0.0,428.76,"Municipality of Herrera, Argentina",Argentina,Government operations inventory,0.0
54,34366.8798,0.0,7476.08306,9508.504356,1703.192958,"Municipality of Inriville, Argentina",Argentina,Community inventories,
55,0.0,0.0,0.0,0.0,1703.19,"Municipality of Inriville, Argentina",Argentina,Government operations inventory,0.0
56,6484.698153,0.0,32380.75302,23095.83575,9615.003178,"Municipality of Juana Koslay, Argentina",Argentina,Community inventories,
57,0.0,0.0,0.0,0.0,15255.83,"Municipality of Juana Koslay, Argentina",Argentina,Government operations inventory,0.0
58,0.0,0.0,0.0,0.0,0.0,"Municipality of Las Flores, Argentina",Argentina,Community inventories,
59,0.0,0.0,0.0,0.0,7739.04,"Municipality of Las Flores, Argentina",Argentina,Government operations inventory,0.0
60,312129.6657,0.0,74853.64961,62406.45474,11521.28932,"Municipality of Lobos, Argentina",Argentina,Community inventories,
61,0.0,0.0,0.0,0.0,11521.29,"Municipality of Lobos, Argentina",Argentina,Government operations inventory,0.0
62,5254.743607,0.0,3506.893145,6750.377122,275.1757477,"Municipality of Los Molinos, Argentina",Argentina,Community inventories,
63,0.0,0.0,0.0,0.0,275.18,"Municipality of Los Molinos, Argentina",Argentina,Government operations inventory,0.0
64,3258.051367,0.0,2108.550541,1870.959004,853.5268513,"Municipality of Los Reartes, Argentina",Argentina,Community inventories,
65,0.0,0.0,0.0,0.0,853.53,"Municipality of Los Reartes, Argentina",Argentina,Government operations inventory,0.0
66,26370.88958,0.0,6665.578908,3017.63829,545.5761111,"Municipality of Los Surgentes, Argentina",Argentina,Community inventories,
67,0.0,0.0,0.0,0.0,545.5699999999999,"Municipality of Los Surgentes, Argentina",Argentina,Government operations inventory,0.0
68,34781.0,0.0,6217.0,9734.0,3047.0,"Municipality of Malabrigo, Argentina",Argentina,Community inventories,
69,0.0,0.0,0.0,0.0,3046.75,"Municipality of Malabrigo, Argentina",Argentina,Government operations inventory,0.0
70,0.0,0.0,291806.0001,328698.0881,79388.87054,"Municipality of Mendoza, Argentina",Argentina,Community inventories,
71,0.0,0.0,0.0,0.0,56151.5,"Municipality of Mendoza, Argentina",Argentina,Government operations inventory,0.0
72,6034.863708,0.0,15157.71858,27019.59807,1226.680928,"Municipality of Monte Buey, Argentina",Argentina,Community inventories,
73,0.0,0.0,0.0,0.0,1226.6799999999998,"Municipality of Monte Buey, Argentina",Argentina,Government operations inventory,0.0
74,6943.677933,0.0,6952.938315,10118.01675,2717.251385,"Municipality of Monte Vera, Argentina",Argentina,Community inventories,
75,0.0,0.0,0.0,0.0,2717.25,"Municipality of Monte Vera, Argentina",Argentina,Government operations inventory,0.0
