"adhesion_date","country","latitude","longitude","name","population","url"
"05/03/2011","Italy",42.176410675049,13.716910362244,"Acciano",339,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=4043"
"02/03/2014","Spain",41.171138763428,-1.6038500070572,"ACERED",243,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8137"
"29/04/2013","Italy",40.795581817627,15.941639900207,"Acerenza",2623,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6971"
"10/06/2013","Italy",37.553749084473,15.147839546204,"Aci Castello",18080,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7208"
"15/02/2017","Italy",37.602699279785,15.142009735107,"Aci Catena",29662,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10416"
"28/03/2013","Italy",37.60625076294,15.12596988678,"Aci Sant'Antonio",17479,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6725"
"24/04/2013","Italy",37.612339019775,15.166219711304,"Acireale",53122,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6853"
"18/02/2014","Italy",45.163581848145,10.432769775391,"Acquanegra sul Chiese",3016,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7964"
"06/10/2014","Italy",39.497119903565,15.953310012817,"Acquappesa",1882,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8601"
"01/12/2010","Italy",41.86780166626,14.746700286865,"Acquaviva Collecroce",674,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=3881"
"29/10/2014","Italy",40.896770477295,16.842479705811,"Acquaviva delle Fonti",21000,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8660"
"20/11/2013","Italy",37.525470733643,13.731510162353,"Acquaviva Platani",1033,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7751"
"27/09/2011","Italy",38.011558532715,14.598649978638,"Acquedolci ",5500,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=5077"
"23/07/2009","Spain",38.027400970459,-4.5248699188232,"Adamuz",4476,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2271"
"29/04/2016","Spain",28.122060775757,-16.733819961548,"Adeje",46667,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9723"
"12/12/2016","Spain",40.061340332031,-1.2869999408722,"ADEMUZ",1092,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10022"
"13/02/2017","Belgium",50.529640197754,4.2569799423218,"Administration commmunale de Seneffe",11161,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10255"
"19/12/2016","Belgium",50.397041320801,4.0977897644043,"Administration communale d'Estinnes",7734,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10284"
"24/11/2015","Belgium",50.081630706787,5.2162899971008,"Administration Communale de Tellin",2475,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9302"
"27/10/2016","Spain",38.918308258057,-0.22563999891281,"ADOR",1374,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=9953"
"30/09/2013","Italy",37.661880493164,14.832799911499,"Adrano",35519,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7440"
"01/04/2009","Spain",36.748100280762,-3.0225200653076,"Adra",23195,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=2329"
"20/03/2013","Denmark",54.889499664307,10.406169891357,"Ærø (Municipality of Aeroe)",6500,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=6640"
"15/01/2009","Italy",45.551601409912,10.773200035095,"Affi",1942,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=1818"
"27/02/2014","Morocco",30.427759170532,-9.5981101989746,"Agadir",450000,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=8105"
"28/11/2017","Spain",28.099069595337,-15.698829650879,"Agaete",5558,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=10423"
"08/03/2013","Portugal",39.605381011963,-8.4043102264404,"Agência de energia MédioTejo21",219465,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=7005"
"26/03/2011","Italy",40.638931274414,14.540579795837,"Agerola",7500,"https://www.covenantofmayors.eu/about/covenant-community/signatories/overview.html?scity_id=4996"
