country,latitude,longitude,name,population
Italy,37.60625076,15.12596989,Aci Sant'Antonio,17479
Italy,37.61233902,15.16621971,Acireale,53122
Italy,45.16358185,10.43276978,Acquanegra sul Chiese,3016
Italy,39.4971199,15.95331001,Acquappesa,1882
Italy,41.86780167,14.74670029,Acquaviva Collecroce,674
Italy,37.52547073,13.73151016,Acquaviva Platani,1033
Italy,40.89677048,16.84247971,Acquaviva delle Fonti,21000
Italy,38.01155853,14.59864998,Acquedolci ,5500
Spain,38.02740097,-4.524869919,Adamuz,4476
Spain,28.12206078,-16.73381996,Adeje,46667
Belgium,50.08163071,5.216289997,Administration Communale de Tellin,2475
Belgium,50.5296402,4.256979942,Administration commmunale de Seneffe,11161
Belgium,50.39704132,4.097789764,Administration communale d'Estinnes,7734
Spain,36.74810028,-3.022520065,Adra,23195
Italy,37.66188049,14.83279991,Adrano,35519
Italy,45.55160141,10.77320004,Affi,1942
Morocco,30.42775917,-9.598110199,Agadir,450000
Spain,28.0990696,-15.69882965,Agaete,5558
Italy,40.63893127,14.5405798,Agerola,7500
Italy,44.3885994,7.435400009,Aggregazione BERNEZZO,5631
Italy,44.38587189,8.035420418,Aggregazione Ceva,6678
Italy,44.46720886,7.363049984,Aggregazione Dro-Roc-Vil,10349
Italy,44.12139893,8.112999916,Aggregazione Garessio,5155
Italy,44.39410019,7.434500217,Aggregazione MARENE,5359
Italy,44.30490112,7.403299809,Aggregazione Niella Belbo ,7835
Italy,44.29452896,7.511390209,Aggregazione Robilante-Roccavione,5203
Italy,44.46160126,7.470200062,Aggregazione Sommariva del Bosco,21367
Greece,35.18798828,25.71557999,Aghios Nikolaos,27074
Greece,39.71929932,22.75919914,Agia,14121
Greece,37.98942184,23.65995026,Agia Varvara,26490
Greece,38.02909851,23.71780014,Agioi Anargyroi-Kamatero,55191
Cyprus,34.72320175,33.05080032,Agios Athanasios,15500
Greece,37.93669891,23.73320007,Agios Dimitrios,70000
Italy,45.16999817,11.95678997,Agna,3405
Italy,41.81047821,14.37860966,Agnone,5253
Italy,45.6507988,10.35210037,Agnosine,1875
Spain,38.43920898,-0.638490021,Agost,4752
Greece,39.63000107,21.42370033,Agrafa,14365
Spain,41.78718948,1.097980022,Agramunt,5735
Italy,45.57550049,9.351070404,Agrate Brianza,15035
Spain,38.77999878,-0.51552999,Agres ,583
Italy,40.34867859,14.99122047,Agropoli,35823
Cyprus,34.54589844,33.18000031,Agros,806
Spain,37.0306015,-3.82972002,Agrón,342
Spain,37.25350189,-4.915100098,Aguadulce,2169
Spain,41.7397995,1.628280044,Aguilar de Segarra,257
Spain,42.39258957,2.846489906,Agullana,900
Portugal,39.60538101,-8.404310226,Agência de energia MédioTejo21,219465
Italy,45.639431,9.413820267,Aicurzio,2087
Italy,42.08189011,13.5915699,Aielli,1448
Italy,39,16,Aiello Calabro,2017
Greece,37.99039841,23.68350029,Aigaleo,120000
Spain,41.76338959,2.250910044,Aiguafreda,2505
Spain,41.32983017,1.358649969,Aiguamúrcia,909
Spain,41.9382515,2.76196003,Aiguaviva,765
Spain,38.40110016,-0.436120003,Aigües,984
Italy,41.05960083,14.55560017,Airola,8140
Italy,45.7537384,9.425209999,Airuno,2994
Spain,41.29359818,0.273400009,Aitona,2456
Romania,46.30979919,23.71570015,Aiud,28934
Spain,41.86896896,2.417140007,Ajuntament d'Espinelves,201
Spain,41.44697952,41.44697952,Ajuntament de Torrelavit,1414
Spain,41.39027023,1.663589954,Ajuntament de Vilobí del Penedès,1103
Georgia,41.63851929,42.98760986,Akhaltsikhe,19200
Armenia,40.969841,44.49000931,Akhtala,2753
Lithuania,56.32229996,22.87859917,Akmene district municipality,25729
Bulgaria,43.24634171,27.81188965,Aksakovo,8600
Spain,37.20780182,-4.658070087,Alameda,5426
Spain,38.03770065,-5.715159893,Alanis de la Sierra,1900
Italy,42.29489899,13.97169971,Alanno,3679
Italy,45.90327072,11.90513992,Alano di Piave,2881
Italy,44,8.166669846,Alassio,12000
Armenia,41.09114838,44.65903854,Alaverdi,16400
Italy,44.7009201,8.035690308,Alba,31531
Italy,42.83179855,13.92599964,Alba Adriatica,12522
Romania,46.08089828,23.5625,Alba Iulia,66369
Spain,41.44886017,0.743780017,Albagés,425
Italy,45.41889954,8.935529709,Albairate,4148
Spain,39.39741898,-0.413219988,Albal,16029
Spain,39.20106125,-0.386680007,Albalat de la Ribera,3485
Italy,41.72850037,12.66079998,Albano Laziale,38997
Italy,45.6875,9.771710396,Albano Sant'Alessandro,8075
Italy,40.58409882,16.03722,Albano di Lucania,1502
Spain,42.30572891,2.721620083,Albanyà,150
Italy,45.31700134,11.27616024,Albaredo d'Adige ,5179
Spain,38.17823029,-0.868929982,Albatera,11767
Spain,41.5725708,0.605270028,Albatàrrec,2090
Italy,44.02560043,8.12460041,Albenga,25000
Portugal,40,8,Albergaria-a-Velha,25252
Spain,39.11677933,-0.517509997,Alberic,10826
Italy,41.43370056,15.12390041,Alberona,1010
Denmark,55.6568985,12.35779953,Albertslund,27000
Spain,41.7686615,0.667819977,Albesa,1652
Italy,45.65819931,9.26031971,Albiate,5216
Italy,44.62020111,10.60264015,Albinea,8755
Italy,45.75830078,9.796850204,Albino,17807
Spain,41.24496841,1.486240029,Albinyana,2354
Italy,45.80688858,8.937339783,Albiolo,2739
Italy,44.26881027,8.486940384,Albisola Superiore,10485
Spain,37.03319931,-2.621750116,Alboloduy,745
Spain,37.23089981,-3.657409906,Albolote,18088
Italy,45.17350006,8.422699928,Albonese,559
Spain,42.10522842,3.083549976,Albons,740
Italy,46.14844131,9.85517025,Albosaggia,3188
Spain,37.38980103,-2.147480011,Albox,11271
Spain,36.79130173,-3.203480005,Albuñol,6270
Spain,37.79159927,-3.468290091,Albánchez de Mágina,1326
Spain,38.81959915,-0.034329999,Alcalalí,1350
Spain,37.33359909,-5.849790096,Alcalá de Guadaíra,72100
Spain,36.46210098,-5.721280098,Alcalá de los Gazules,5619
Spain,37.5182991,-5.978240013,Alcalá del Río,9317
Spain,36.9048996,-5.17317009,Alcalá del Valle,5300
Spain,37.46350098,-3.924720049,Alcalá la Real,22129
Italy,37.95286179,12.9748497,Alcamo,46238
Italy,38.02157974,14.70116997,Alcara li Fusi,2473
Spain,137,41.56285858,Alcarràs,9100
Spain,37.59090042,-4.08630991,Alcaudete,11164
Spain,38.79460144,-0.402709991,Alcocer de Planes,238
Portugal,38.75611877,-8.961190224,Alcochete,17569
Spain,38.77299881,-0.555700004,Alcoi,59675
Spain,41.00165939,-5.693789959,Alcolea,966
Spain,37.61410141,-5.668719769,Alcolea del Río,3331
Spain,38.67539978,-0.332320005,Alcoleja,191
Spain,41.38489914,0.413899988,Alcoletge,3285
Spain,40.34909821,-3.828660011,Alcorcón,167997
Spain,41.26195908,1.171139956,Alcover ,5131
Spain,39.06917953,-0.560000002,Alcàntera de Xúquer,1350
Spain,39.39030075,-3.214190006,Alcázar de San Juan,31992
Spain,37.33589935,-2.596940041,Alcóntar,647
Spain,41.06407928,-1.69975996,Aldehuela de Liestos ,51
Spain,37,-3,Aldeire,696
Italy,45.98067093,11.09138012,Aldeno,3053
Spain,40.87979889,0.499350011,Aldover,918
Spain,41.49399948,2.295459986,Alella,9397
Italy,40.18909836,15.10949993,Alento Montestella,15104
Italy,44.88010025,8.720760345,Alessandria,85438
Italy,37.56961823,13.45347023,Alessandria della Rocca,3082
Italy,39.88967896,18.33205986,Alessano,6552
Greece,40.84540176,25.8745594,Alexandroupolis,72750
Italy,40.04000092,18.03000069,Alezio,5547
Spain,37.2359314,-3.569890022,Alfacar,5508
Spain,38.77270126,-0.555209994,Alfafara,418
Spain,41.61275101,-0.704590023,Alfajarín,2215
Spain,36.99509811,-4.260660172,Alfarnate,1362
Spain,36.97940063,-4.272530079,Alfarnatejo,404
Spain,39.27711105,-0.560649991,Alfarp,1553
Spain,41.82955933,0.569739997,Alfarràs,2923
Italy,41.73424149,14.03252983,Alfedena,791
Italy,45.26789856,10.14920044,Alfianello,2445
Italy,44.50516891,12.04121017,Alfonsine,12411
Spain,41.21081161,0.975459993,Alforja,1857
Portugal,41.34537125,-6.960869789,Alfândega da Fé,4922
Spain,39.55970001,2.892570019,Algaida,5367
Spain,36.65539932,-5.657569885,Algar,1540
Spain,37.32490158,-4.158850193,Algarinejo,4184
Spain,36.77220154,-4.039199829,Algarrobo,6144
Spain,36.57289886,-5.27655983,Algatocín,951
Spain,36.13579941,-5.439780235,Algeciras,115333
Spain,39.1888504,-0.436749995,Algemesí,27808
Italy,40.54719925,8.326789856,"Alghero	 				",43945
Spain,39.26198959,-0.469720006,Alginet,13068
Italy,45.82630157,9.722579956,Algua,722
Spain,38.33890152,-1.003229976,Algueña,1457
Spain,37.01459885,-5.149750233,Algámitas,1330
Spain,36.95740128,-2.570070028,Alhama de Almería,3587
Spain,41.29861069,-1.89222002,Alhama de Aragón,1146
Spain,37.00249863,-3.988389969,Alhama de Granada,6214
Spain,37.85100937,-1.424669981,Alhama de Murcia,20915
Spain,36.64189911,-4.691450119,Alhaurin el Grande,21776
Spain,36.66839981,-4.552969933,Alhaurín de la Torre,37446
Spain,37.10760117,-3.645580053,Alhendín,5200
Italy,37.77848053,13.71317005,Alia,3806
Italy,40.31163025,16.2318306,Aliano,1110
Greece,38.37187958,23.1040802,Aliartou - Thespieon,10754
Spain,38.34519958,-0.481599987,Alicante,334678
Italy,41.19375992,14.20563984,Alife,7613
Portugal,41.2772789,-7.4770298,Alijó,11840
Italy,37.69491959,14.1136198,Alimena,2087
Italy,37.51539993,13.46549988,Aliminusa,1269
Greece,37.91088867,23.71141052,Alimos,42000
Spain,41.29504013,1.306769967,Alió ,432
Spain,37.27119827,-7.021689892,Aljaraque,17960
Belgium,50.876091,5.307670116,Alken,11242
Italy,42.15739822,11.90499973,Allumiere,4293
Spain,41.73374176,0.43592,Almacelles,6961
Portugal,38.65589905,-9.152039528,Almada,165991
Spain,37.87350082,-6.079770088,Almadén de la Plata,1696
Spain,37.00389862,-5.021190166,Almargen,2106
Spain,39.94390106,-0.062919997,Almassora,24963
Spain,36.90240097,-3.299799919,Almegíjar,435
Italy,45.74869919,9.57970047,Almenno San Bartolomeo,5388
Italy,45.75128174,9.597350121,Almenno San Salvatore,5789
Spain,37.30899811,-6.113870144,Almensilla,5096
Netherlands,52.37176895,5.221449852,Almere,193156
Spain,36.84019852,-2.467710018,Almería,175000
Italy,45.1169014,7.395390034,Almese,6378
Spain,38.91588974,-0.285780013,Almiserà,276
Spain,37.87179947,-6.787740231,Almonaster la Real,1848
Spain,37.26210022,-6.517960072,Almonte,21782
Spain,38.10979843,-0.791909993,Almoradí,19601
Spain,41.19807816,1.112849951,Almoster,1396
Spain,38.76110077,-0.353859991,Almudaina,112
Spain,36.80860138,-4.217410088,Almáchar,1898
Italy,45.73706055,9.615329742,Almè,5631
Spain,37.00239944,-2.790070057,Almócita,158
Spain,37.54909897,-7.114389896,Alosno,4381
Spain,36.72769928,-4.856460094,Alozaina,2236
Italy,46.13983917,12.36079025,Alpago,7299
Spain,36.6332016,-5.20223999,Alpandeire,271
Spain,42.11940002,2.101109982,Alpens,311
Spain,41.66587067,0.555610001,Alpicat,6203
Italy,45.09294891,7.523700237,Alpignano,16993
Spain,38.77230072,-0.424870014,Alquería de Aznar,527
Italy,44.5345993,9.583000183,Alseno,4977
Spain,41.14231873,1.376739979,Altafulla,4928
Italy,44.33602142,8.341629982,Altare-Cosseria,3249
Italy,38.04272842,13.5509901,Altavilla Milicia,7791
Italy,40.53332901,15.13333035,Altavilla Silentina,7029
Italy,45.51301956,11.46450043,Altavilla Vicentina,12084
Spain,38.60029984,-0.049169999,Altea,21739
Portugal,39.20101166,-7.660329819,Alter do Chão,3591
Italy,39.12860107,16.25320053,Altilia,779
Italy,42.10110092,14.33129978,Altino,2823
Italy,45.75407028,11.95664024,Altivole,6828
Italy,46.45148087,12.03514004,Alto Agordino,3869
Italy,43.66833115,12.52416992,Alto e Medio Metauro,8337
Germany,48.22689819,12.67689991,Altötting,13000
Portugal,39.82513046,-8.382369995,Alvaiázere,8112
Sweden,56.8993988,14.5557003,Alvesta,18757
Italy,41.14440155,14.20110035,Alvignano,4885
Italy,45.73709869,9.737190247,Alzano Lombardo,13757
Spain,37.87450027,-6.665790081,Alájar,802
Italy,38.00379181,15.42261028,Alì Terme,2483
Portugal,41.63077164,-8.356360435,Amares,19000
Greece,38.05157089,23.79904938,Amaroussion,72480
Italy,38.56340027,16.27459908,Amato,861
Belgium,50.55089951,5.324639797,Amay,14145
Italy,45.72069931,9.550970078,Ambivere,2371
Italy,44.06700134,9.964719772,Ameglia,4520
Belgium,50.35419083,6.169439793,Amel,5500
Italy,39.95293045,16.58238983,Amendolara,3107
Italy,45.80324173,8.428720474,Ameno,878
Spain,42.01028824,2.603199959,Amer,2300
Spain,43.04880142,-2.0880301,Amezketa,994
France,49.89329147,2.295550108,Amiens,132727
Greece,40.66508102,22.89266968,Ampelokipi - Menemeni,52127
Spain,40.71334076,0.581019998,Amposta,21197
Spain,43.34199905,-3.417000055,Ampuero,4228
Netherlands,52.37310028,4.89222002,Amsterdam,731289
Spain,43.05265045,3.001019955,Amurrio,10121
Greece,40.69010162,21.67889977,Amynteo,16890
Italy,40.55598831,14.22124004,Anacapri,6684
Portugal,40.44095993,-8.435429573,Anadia ,29150
Italy,42.8370018,13.74069977,Ancarano,1921
Italy,43.61629868,13.51860046,Ancona,100507
Italy,46.16413879,11.00240993,Andalo,1042
Italy,43.95830154,8.139519691,Andora,6767
Italy,39.98688889,18.38196945,Andrano,5027
Spain,39.57080078,2.421370029,Andratx,12149
Greece,37.56169891,21.1548996,Andravida - Killini,21581
Italy,41.22742081,16.2953701,Andria,100217
Spain,38.04059982,-4.0553298,Andújar,38769
Italy,796.5100098,690.3900146,Anela,699
"Moldova, Republic Of",46.82987976,29.48706055,Anenii Noi,13856
Spain,41.0698204,-1.333969951,Anento,133
