"action_co2_reduction","action_cost","action_description","action_end_year","action_start_year","action_website","country","language","name"
1,1000,"Acciones de sensibilización ciudadana, reducción de presión en la red general de distribución de agua, utilización de agua potable procedente de la desalinización.",2020,2014,"","Spain","es","Águilas"
423,617000,"sustitución progresiva de lámparas en hogares residenciales",2020,2014,"","Spain","es","Águilas"
30,114000,"Sustitución de ventanas con mejor cierre y doble acristalamiento, consiguiendo un mejor aislamiento térmico y acústico globales.",2020,2014,"","Spain","es","Águilas"
12,25000,"Implantación de dos calderas de biomasa en las dos piscinas municipales, Polideportivo Municipal e instalaciones deportivas del Huerto de Don Jorge",2020,2014,"","Spain","es","Águilas"
7,28000,"El presente Acuerdo tiene por objeto regular las condiciones técnicas, económicas, administrativas que han de regir el suministro de electricidad en alta y baja tensión para la Central de Contratación de la FEMP, así como las condiciones que regirán los contratos basado que realicen las Entidades Locales interesadas.",2020,2014,"","Spain","es","Águilas"
26,111000,"Implantación de energía solar térmica para calentamiento de agua potable de uso sanitario",2020,2014,"","Spain","es","Águilas"
280,539000,"Creación de un servicio público externalizado de mantenimiento del alumbrado público",2020,2014,"","Spain","es","Águilas"
67,257000,"Cambio de ventana y escaparates consistente en láminas de mayor grosor y mayor aislamiento térmico y acústico",2020,2014,"","Spain","es","Águilas"
200,154000,"Mejora del consumo eléctrico por parte del alumbrado público basado en la optimización del encendido y apagado de éste, en base a las horas de luz natural disponibles.",2020,2014,"","Spain","es","Águilas"
NA,NA,"Centralización del control de consumos de energía municipales por un mismo técnico municipal",2020,2014,"","Spain","es","Águilas"
160,617000,"Sustitución de electrodomésticos por más eficientes con cargo a campañas llevadas a cabo por el gobierno central de España.",2020,2014,"","Spain","es","Águilas"
80,154000,"Sustitución de luminarias por mejoras en tecnología y reducción del consumo eléctrico.",2020,2014,"","Spain","es","Águilas"
120,139000,"Instalación de reductores de flujo lumínico en determinados sectores de alumbrado público municipal.",2020,2014,"","Spain","es","Águilas"
1.48,50000,"Sostituzione di vecchi infissi in legno con altri ad elevata prestazione energetica, in PVC",2020,2013,"","Italy","it","Aielli"
16.95,64350,"Installazione di impianti fotovoltaici da 1 kWpicco per n°29 unità abitative",2020,2013,"","Italy","it","Aielli"
759.86,817549,"Sostituzione di generatori di calore a combustibili fossili con caldaie a biomasse per il riscaldamento di n°263 unità abitative",2020,2013,"","Italy","it","Aielli"
1,3598,"S'han instal·lat captadors solars per a aigua calenta sanitària al casal Sant Jordi",2012,2011,"","Spain","ca","Aiguafreda"
64,600,"Des del Consell Comarcal del Vallès Oriental s'ha creat un servei de comptabilitat energètica per als ajuntaments. Aiguafreda paga una quota anual a canvi dels serveis de comptabilitat, que utilitzen un programari específic (GEMWEB)",2016,2015,"","Spain","ca","Aiguafreda"
39.09,476000,"S'ha instal·lat una xarxa de calor amb biomassa forestal de proximitat amb la triple finalitat de reduir les emissions de gasos d'efecte hivernacle de les instal·lacions, reduir el risc d'incendi dels boscos locals i promoure l'activitat econòmica local.",2015,2014,"","Spain","ca","Aiguafreda"
NA,NA,"Al fine di informare i cittadini e sensibilizzare verso la cultura del risparmio energetico,l’Amministrazione comunale ha avviato lo “Sportello Energia” a disposizione dei cittadini. Tale ufficio è in grado di fornire indicazioni su:
-certificazione energetica degli edifici
- consulenza sulle nuove tecnologie disponibili per il risparmio energetico
- consulenza sugli incentivi statali e regionali disponibili sul tema energia.
",2020,2013,"","Italy","it","Airuno"
5.74,NA,"Dall’analisi dei dati riportati nella Baseline, risulta, al 2005, un parco lampade composto da 203 corpi illuminanti; di questi, circa il 44% risultano essere lampade a vapori di mercurio, quindi a bassa efficienza di proprietà di Enel Sole.
Nel corso degli anni è avvenuta una riqualificazione importante, tanto che nel 2012 sono solo 14 le lampade a vapori di mercurio (189 in meno rispetto al 2005).",2020,2013,"","Italy","it","Airuno"
19.25,NA,"Da anni il Comune di Airuno sta utilizzato energia verde per alimentare i propri edifici Comunali.",2020,2011,"","Italy","it","Airuno"
15,62500,"Rehabilitation of thermal canal, 183 glazed, 19 door - PVC aluminium",2009,2008," https://ro-ro.facebook.com/.../Colegiul-Tehnic-Aiud/213484612019862 ","Romania","en","Aiud"
2,1136,"Modernizing the interior illumination installations with energetically efficient equipments",2011,2010," www.aiud.ro ","Romania","en","Aiud"
13,148751,"Objective achieved as a result of the partnership between the municipality of Aiud, MESEMROM-Geneva Association and Ariton jud. Alba County Office-Roma;

Through the project have been achieved:

rehabilitation of the building of a former thermal power stations;
indoor recompartimenterea;
electrical and sanitary installations;
redoing the interior finishes and floor coverings.

To reduce expenditure on utilities have been used alternative energy sources, solar panels for domestic hot water production.",2011,2010," www.aiud.ro ","Romania","en","Aiud"
21,269476,"Rehabilitation of the City Hall building in Aiud",2011,2010," www.aiud.ro ","Romania","en","Aiud"
11,7600,"Purchase equipment that has efficient energy consumption in all modes, including in ""waiting""- 38 LCD monitors",2008,2008," www.aiud.ro ","Romania","en","Aiud"
9,80827,"Efficient heating system Middle School ""Axente Sever"", kindergartens with extended hours no.2, Aiud",2012,2010," www.aiud.ro ","Romania","en","Aiud"
12.44,NA,"Selective collection of the organic fraction of households and commerce.",2012,2005,"","Spain","en","Ajuntament d'Espinelves"
9.41,24522.63,"Decrease of power installed.",2015,2013,"","Spain","en","Ajuntament d'Espinelves"
0.49,430,"Control of energy billing, monitoring reports, energy advice in the city council.",2012,2005,"","Spain","en","Ajuntament d'Espinelves"
9.569,231696,"During the Project the whole building was fully renovated. ",2015,2013," www.akmene.lt ","Lithuania","en","Akmene district municipality"
600,7380966,"During the Project a number of residential houses was renovated - as a result, the whole block of house is renovated.",2015,2011,"","Lithuania","en","Akmene district municipality"
7.148,231696,"During the Project the whole building was renovated.",2015,2013," www.akmene.lt ","Lithuania","en","Akmene district municipality"
14.67,19901.39,"Action 1.1.1 Energy efficiency resulting from the implementation of a POE public buildings",2015,2007,"","Spain","en","Alanis de la Sierra"
1228.93,16500,"Efficient use of fertilizers. Reduction of 275 kg of inorganic fertilizers repliced by organic fertilizers",2020,2012,"","Spain","en","Alanis de la Sierra"
65.25,650000,"Action 3.3.3 Install solar panels on warehouses ( 100 kw in project)",2015,2007,"","Spain","en","Alanis de la Sierra"
210,170000,"Proiect de mobilitate urbana pentu biciclete în zona istorica a ceta<U+021B>ii",2013,2011,"","Romania","ro","Alba Iulia"
215,2100000,"Asigurarea sustenabilita<U+021B>ii energetice utilizând sursele energetice regenerabile pentru 4 cladiri de institu<U+021B>ii publice din Alba Iulia",2011,2009,"","Romania","ro","Alba Iulia"
3030,420000,"Reabilitarea termica a blocurilor de apartamente prin programul na<U+021B>ional de reabilitare termica a cladirilor",2020,2012,"","Romania","ro","Alba Iulia"
35,170000,"Masuri de eficien<U+021B>a energetica <U+0219>i asigurarea energiei durabile utilizând panouri foto-voltaice <U+0219>i energie solara pentrru Bazinul Olimpic",2013,2011,"","Romania","ro","Alba Iulia"
142.36,91098,"Installations of Renewable Energies in buildings (Ongoing)
",2020,2011,"","Spain","en","Albánchez de Mágina"
427.5,30975,"Energetically efficient installations in buildings (ongoing)",2020,2011,"","Spain","en","Albánchez de Mágina"
836,NA,"SONO STATI REALIZZATI TRE MERCATI SETTIMANALI PERMANENTI AGROALIMENTARI PER LA DIFFUSIONE DEI PRODOTTI A KM 0",2020,2013,"","Italy","it","Albano Laziale"
3617,20000,"SOSN STATE ACQUISTATE 12 BICI ELETTRICHE UBICATE IN TRE AREE DELLA CITTà COMPLETE DI COLONNINE DI RICARICA",2020,2013,"","Italy","it","Albano Laziale"
NA,12400,"Lo Sportello virtuale offre info e supporto normativo ai cittadini sui temi legati all'energia. al risparmio energetico. alle fonti rinnovabili, con particolare attenzione ai contributi e sgravi fiscali di cui poter usufruire",2013,2013," http://www.comune.albanolaziale.rm.it/flex/cm/pages/ServeBLOB.php/L/IT/IDPagina/66 ","Italy","it","Albano Laziale"
32.25,25000,"L'Amministrazione Comunale ha provveduto, tramite una concessione a Uniacque, ad installare una casetta dell'acqua",2015,2011,"","Italy","it","Albano Sant'Alessandro"
