,name,country,emissions_baseline_year,percent_emissions_municipal,percent_emissions_tertiary,percent_emissions_residential,percent_emissions_public lighting,percent_emissions_transport,tons_co2_municipal,tons_co2_tertiary,tons_co2_residential,tons_co2_public lighting,tons_co2_transport,energy_consumption_baseline_year,percent_energy_consumption_municipal,percent_energy_consumption_tertiary,percent_energy_consumption_residential,percent_energy_consumption_public lighting,percent_energy_consumption_transport,mwh_energy_consumption_municipal,mwh_energy_consumption_tertiary,mwh_energy_consumption_residential,mwh_energy_consumption_public lighting,mwh_energy_consumption_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,emissions_factor,tons_co2_per_capita,mwh_per_capita,percent_emissions_non-energy related,tons_co2_non-energy related,percent_energy_consumption_from_renewables,mwh_energy_consumption_from_renewables,percent_emissions_industry,tons_co2_industry,percent_energy_consumption_industry,mwh_energy_consumption_industry,percent_emissions_other,tons_co2_other,percent_energy_consumption_other,mwh_energy_consumption_other,percent_energy_consumption_from_heat/cold,mwh_energy_consumption_from_heat/cold
1167,Biella,Italy,2010,2.98,26.26,43.72,1.25,25.79,6970.815,61428.24,102270.084,2926.014,60318.1,2010,3.66,20.03,46.60,0.75,28.96,29361,160845,374337,6058,232612,19.79,74.99,158920,602297,IPCC,5.13,17.62,,,3.37,27057,,,,,,,,,1.86,14939
1168,Bielsko-Biala,Poland,1990,4.33,15.69,53.22,0.81,20.16,44549.99,161566.818,548089.81036,8292.9,207608.733,1990,5.13,10.63,57.49,0.25,26.50,157465,326526,1765099.61,7539,813765,6.39,65.88,196306,2022638.61,IPCC,5.86,17.48,5.81,59788,,,,,,,,,,,27.73,851450
1169,Bienno,Italy,2005,2.70,8.43,63.32,0.81,20.86,359.3346,1121.04538,8422.67315,108.1203,2775.41162,2005,2.44,5.32,70.26,0.40,18.47,1506.78,3278.84,43333.68,246.85,11393.69,10.69,65.31,6592.65,40276.45,IPCC,3.32,15.38,,,24.00,14803.29,,,0.00,0.020000000004075,3.88,516.1944,3.10,1912.53,,
1170,Bienvenida,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1171,Bierbeek,Belgium,2011,1.51,17.24,48.24,0.27,27.58,531.46908,6072.72498,16994.56704,94.34388,9717.56524,2011,1.64,18.42,50.74,0.29,24.00,2620.02,29514.41,81293.44,462.47,38454.64,22.08,72.39,35385.32,115987.45,IPCC,3.71,16.86,,,5.53,8854.09,1.40,492.26915,1.44,2308.43,3.77,1328.11648,3.48,5573.45,,
1172,Bigarello,Italy,2005,0.89,7.74,39.96,0.90,12.57,96.054,839.227,4333.619,97.2,1362.976,2005,0.89,6.31,43.34,0.54,11.87,402,2850,19569,243,5358,12.30,81.38,5553,36750,IPCC,5.48,22.83,,,6.32,2854.33,37.95,4114.989,37.06,16735,,,,,,
1173,Bigastro,Spain,2007,,,,,,,,,,,2007,1.38,2.68,17.55,0.59,77.80,1354.305,2629.84,17211.44,579.496,76298.75,18.64,81.36,18280.38,79793.46,IPCC,,,100.00,321.95,,,,,,,,,,,,
1174,Bigues i Riells,Spain,2005,0.86,11.37,28.86,1.91,49.51,338.2509,4490.0287,11394.378,755.17,19547.4613,2005,0.72,9.46,26.58,1.31,61.92,867.5,11340.5,31846.6,1570,74195.5,19.84,80.07,23771.3,95936.5,IPCC,5.52,16.75,7.50,2960.1,0.09,112.3,,,,,,,,,,
1175,Bihac,Bosnia-herzegovina,2010,,,,,8.87,,,,,18325.233,2010,,,,,14.28,,,,,69525,26.45,17.41,138706.96,91284.5,IPCC,3.37,8.56,,,56.15,294465.1,,,,,91.13,188234.51058,85.72,417403.9,,
1176,Biharkeresztes,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1177,Bijeljina,Bosnia-herzegovina,2004,1.35,15.96,63.16,0.59,18.95,6069.42893,71943.19808,284778.05128,2651.58855,85427.94719,2004,1.02,11.54,68.25,0.24,18.96,17668.56,200652.96,1186958.41,4110.99,329820.51,12.09,47.87,210237.05,832632.64,IPCC,2.95,11.37,,,39.39,685130.69,,,,,-0.00,-1.0091753210872E-11,0.00,4.1E-24,0.64,11211.05
1178,Bijelo Polje,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1179,Bikal,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180,Bila Tserkva,Ukraine,2013,14.78,0.64,77.94,0.66,5.98,80729.988,3493.429,425737.076,3627.913,32649.474,2013,10.23,0.87,80.85,0.20,7.86,156438,13283,1236550,3041,120177,13.06,50.40,199804,770933,IPCC,2.59,7.24,,,,,,,,,,,,,36.53,558752
1181,Bilbao,Spain,2005,1.11,17.32,18.60,0.84,37.75,18026.907,280267.68,300989.22326,13542.90975,610677.659,2005,1.24,17.18,28.59,0.68,52.32,53868,749398.25,1246670,29505,2281409,25.15,74.85,1096947.5,3263903.14,IPCC,4.55,12.26,17.53,283678,,,,,,,6.84,110620.61733,,,,
1182,Bilhorod-Dnistrovskyy,Ukraine,2015,15.94,,49.88,0.47,33.70,28422.95,,88919.498,844.512,60082.478,2015,20.78,,24.83,0.22,54.18,89310,,106724,926,232908,25.69,74.31,110424,319444,IPCC,3.10,7.47,,,,,,,,,,,,,,
1183,Billund,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1184,Bilokurakinska  Amalgamated Community,Ukraine,2016,8.29,7.18,66.06,0.36,18.11,3011.55632,2607.04148,23998.16502,130.36128,6580.78267,2016,6.86,6.30,69.65,0.10,17.10,10245.26,9411.54,104029.56,142.94,25534.37,4.46,95.54,6667.05,142696.62,IPCC,2.70,11.11,,,,,,,,,,,,,,
1185,Bilopilska amalgamated territorial community,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1186,Bilotserkivka,Ukraine,2013,2.38,,23.10,0.26,10.82,569.211,,5516.234,62.016,2584.334,2013,2.35,,39.49,0.08,11.48,2129,,35788,68,10403,13.35,66.09,12098,59897,IPCC,5.85,17.64,,,20.56,18631,63.43,15147.664,46.61,42238,,,,,,
1187,Bilozerske,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1188,Bilyayivka,Ukraine,2010,6.87,4.48,88.65,0.00,,1465.1547,956.0488,18908.8348,0.88,,2010,6.55,3.62,89.82,0.00,,6790.5,3754.3,93054.4,1,,0.02,99.98,16.7,103583.5,IPCC,1.44,7.00,,,,,,,,,,,,,,
1189,Bilytske,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1190,Bilzen,Belgium,2011,0.29,7.22,36.59,0.25,33.89,442.2953,10978.88526,55615.40867,382.9393,51502.35399,2011,0.34,8.13,38.61,0.29,29.71,2327.87,55600.42,264049.73,2015.47,203199.59,15.29,79.00,104586.13,540256.14,IPCC,4.87,21.90,,,4.74,32446.7,18.18,27635.86354,19.73,134949.69,3.57,5418.60295,3.18,21767.62,0.97,6621.43
1191,Binissalem,Spain,2005,2.90,17.86,37.94,1.20,38.27,997.084835,6147.598624,13058.320228,413.320895,13172.0410525,2005,1.10,13.75,24.26,0.51,60.38,923.78,11524.93,20342.01,428.09,50617.42,20.49,79.51,17208.3,66790.36,IPCC,5.44,13.28,1.83,631.12,,,,,,,,,,,,
1192,Birkirkara,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1193,Birmingham,United Kingdom,2005,,,36.79,,24.08,,,166559,,109012.2,2005,,,37.90,,27.52,,,603100,,437800,22.08,76.45,351300,1216400,IPCC,0.44,1.52,,,1.47,23400,39.14,177198.3,33.11,526800,,,1.47,23400,,
1194,Birori,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1195,Bisaccia,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1196,Bisacquino,Italy,2011,8.48,15.71,41.58,2.46,31.77,723.276,1339.673,3546.278,210.105,2710.116,2011,6.46,12.46,37.33,1.68,42.07,1672,3223,9658,435,10884,39.10,59.55,10117,15408,IPCC,1.77,5.36,,,1.34,347,,,,,,,,,,
1197,Bisceglie,Italy,2010,3.27,,95.71,1.02,0.00,4469.0199,,130786.8462,1390.689,0.980681,2010,2.77,0.00,71.60,0.33,25.31,21940,0.001,567759,2619,200672,10.42,89.58,61825,531473.682,IPCC,2.49,10.82,,,,,,,0.00,0.001,0.00,2.0E-6,-0.00,-1.164153E-10,0.00,0.001
1198,Bisegna,Italy,2005,1.74,10.45,70.55,1.86,15.41,19.194,115.5386,780.0931,20.5275,170.4294,2005,1.69,7.04,77.06,0.87,13.33,82.5,343,3755.6,42.5,649.8,11.75,77.86,572.5,3794.4,IPCC,3.21,14.13,,,10.39,506.5,,,,,,,,,,
1199,Bisenti,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1200,Bisignano,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,Bisley with Lypiatt Parish Council,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1202,Bistriţa,Romania,2008,3.47,,46.32,0.87,49.34,6985.41102,,93305.96219,1752.5,99402.615,2008,3.84,,45.22,0.33,50.61,29319.51,,344878.48,2500,386037,6.82,93.18,52005.77,710729.22,IPCC,2.41,9.13,,,,,,,,,,,,,,
1203,Bitonto,Italy,2010,1.16,15.10,28.69,0.78,48.29,2118.82334,27532.21453,52324.81596,1424.35734,88055.70976,2010,1.04,12.46,27.89,0.45,52.44,6889.8,82449.9,184634.3,2948.98,347095.74,15.08,83.68,99809.48,553941.45,IPCC,3.23,11.72,,,1.24,8194.11,,,,,5.98,10902.05256,5.73,37926.32,,
1204,Biure,Spain,2005,1.84,10.21,16.27,0.65,62.48,30.80324,171.13192,272.724,10.89465,1047.19518,2005,1.24,7.75,14.00,0.44,76.57,64.04,401.24,724.54,22.65,3961.86,14.96,85.04,774.28,4400.05,IPCC,7.07,21.83,8.54,143.21,,,,,,,,,,,,
1205,Biurrun-Olcoz,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1206,Bivona,Italy,2011,1.40,7.99,26.60,2.03,33.91,206.7891,1179.0858,3926.9937,299.8464,5006.4547,2011,1.10,6.89,26.75,1.22,37.56,559.3,3518.6,13652.5,620.8,19168.5,16.70,82.09,8525.5,41892.9,IPCC,3.80,13.15,,,1.21,617.3,28.08,4146.149,26.48,13516,,,,,,
1207,Bièvre,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,Bjelovar,Croatia,2010,1.42,31.15,43.96,0.82,22.65,1698.24556,37141.06526,52414.45474,976.38701,27009.328578,2010,1.40,29.46,49.71,0.55,18.88,7691.68,161976.69,273328.82,3022.87,103836.563,20.03,67.04,110156.79,368636.663,IPCC,2.80,11.25,,,12.92,71063.17,,,,,-0.00,-4.7002686187625E-12,,,,
1209,Blanca,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,Blancafort,Spain,2005,2.90,4.58,24.26,1.56,63.09,63.9012,101.01813,535.43833,34.49732,1392.37385,2005,2.18,4.76,21.23,0.96,70.86,163.18,356.23,1587.89,71.72,5298.93,11.45,88.23,856.56,6597.89,IPCC,5.24,17.76,3.61,79.75,0.31,23.5,,,,,,,,,,
1211,Blanes,Spain,2005,0.42,29.99,21.77,0.54,32.45,907.04676,65351.52373,47454.99543,1183.07241,70729.59933,2005,0.39,28.30,26.17,0.41,44.73,2334.41,170429.4,157573.64,2459.61,269385.09,27.85,72.15,167723.79,434458.36,IPCC,5.94,16.40,14.82,32308.28,,,,,,,,,,,,
1212,Blato,Croatia,2012,2.17,16.54,23.08,1.06,57.15,227.323,1730.033,2414.602,110.36,5977.872,2012,1.71,13.37,30.72,0.83,53.37,735,5743,13195,356,22926,29.62,58.39,12723,25082,IPCC,2.91,11.96,,,11.99,5150,,,,,,,,,,
1213,Bled,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,Bleiburg,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,Blello,Italy,2005,,16.38,49.94,1.78,28.74,,37.64129,114.76007,4.08534,66.04681,2005,,5.18,84.21,0.38,9.44,,134.71,2190.99,9.94,245.47,6.54,25.68,170.12,668.14,IPCC,2.55,9.29,,,67.78,1763.43,3.17,7.27514,0.79,20.58,0.00,1.0516032489249E-14,-0.00,-2.0E-27,,
1216,Blufi,Italy,2011,0.45,77.66,13.51,1.82,6.56,38.7454,6676.5992,1161.2272,156.6406,563.8474,2011,0.55,74.38,15.44,1.22,8.41,145.9,19906.4,4132,327.7,2250.6,41.72,58.28,11165.9,15596.7,IPCC,8.00,24.90,,,,,,,,,,,,,,
1217,Boadella i les Escaules,Spain,2005,1.03,8.56,18.48,1.77,61.03,20.17314,167.29155,361.01091,34.57909,1192.26879,2005,0.70,6.34,16.14,1.21,75.61,41.94,377.39,961.45,71.89,4503.04,15.77,84.23,939.1,5016.6,IPCC,12.94,39.44,9.12,178.24,,,,,,,,,,,,
1218,Boadilla,Spain,2013,0.72,18.97,17.02,0.41,62.88,1748.38806,45790.02908,41085.5879,977.9488,151757.33434,2013,0.84,24.27,19.97,0.57,54.34,9033.48,259979.75,213866.54,6112.18,582058.27,23.48,76.52,251512.23,819537.99,IPCC,5.07,22.51,,,,,,,,,,,,,,
1219,Boara Pisani,Italy,2007,0.60,15.17,27.84,1.44,36.94,94.182,2385.642,4378.564,226.527,5808.105,2007,0.72,13.53,32.20,0.88,41.82,380,7175,17082,469,22185,21.90,78.10,11619,41424,IPCC,6.04,20.38,1.85,291,,,14.83,2331.34,9.36,4967,1.33,209.595,1.48,785,,
1220,Bobrynets,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,Bocairent,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,Bocchigliero,Italy,2010,0.72,,82.11,2.68,14.49,37.424852,,4272.34888,139.699931,753.680293,2010,0.46,,83.60,1.44,14.51,90.518,,16497.04,283.367,2862.416,11.75,88.25,2319.035,17414.305,IPCC,3.36,12.75,,,,,,,,,-0.00,-2.2419044398702E-13,,,,
1223,Bocenago,Italy,2007,1.79,34.73,39.02,2.05,22.42,52.18707,1015.13063,1140.61572,59.91132,655.46253,2007,1.54,32.51,41.23,1.15,23.57,165.29,3493.27,4430.27,124.04,2532.71,12.13,81.14,1302.94,8718.47,IPCC,7.20,24.68,,,6.74,724.17,,,,,,,,,,
1224,Bocholt,Belgium,2011,0.70,11.76,73.90,0.51,13.13,234.919711,3975.6673294,24974.1400862,172.6855312,4436.4813303568,2011,0.81,13.19,73.63,0.59,11.78,1158.163,18826.005,105119.537,840.728,16816.574235,23.29,76.06,33242.105530565,108589.07912229,IPCC,2.65,11.14,,,0.65,929.822,,,,,0.00,0.00036685039859439,0.00,9.22353822E-18,,
1225,Bodajk,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,Boden,Sweden,2005,4.09,8.77,24.28,,44.39,5238.911,11243.306,31135.912,,56931.6586,2005,5.05,10.41,30.12,,32.84,44120,91021,263245,,287061.6,50.72,24.47,443375,213917.6,IPCC,4.55,30.95,,,0.22,1957,3.94,5054.388,4.81,42028,14.53,18635.446,16.78,146642,24.58,214868
1227,Bodø ,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,Boechout,Belgium,2012,0.52,17.38,21.87,0.19,17.10,434.238,14593.231,18361.788,159.39,14359.776,2012,0.56,16.66,25.67,0.18,15.23,2107,62453,96251,693,57102,17.89,45.38,67082,170139,IPCC,6.60,29.46,,,3.15,11794,4.25,3567.025,4.29,16087,38.69,32479.352,37.40,140219,33.58,125897
1229,Boffalora Sopra Ticino,Italy,2011,2.39,9.77,41.76,1.32,16.57,476.475946,1944.564336,8311.54943,262.713176,3297.160789,2011,2.56,8.91,47.36,0.73,18.28,1827.305,6369.836,33849.222,519.196,13061.93,21.82,75.96,15593.365,54282.275,IPCC,4.69,16.73,,,2.22,1590.03,28.19,5609.59055,22.16,15838.18,-0.00,-9.6588337328287E-13,-0.00,-2.95E-26,,
1230,Boffalora d'Adda,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,Bognanco,Italy,2009,1.36,12.60,35.45,0.03,50.55,18.7638,173.2594,487.4947,0.368,695.1463,2009,1.43,23.59,39.84,0.46,34.68,115.4,1904.5,3216.1,36.8,2799.7,17.77,71.11,1434.7,5740.3,IPCC,5.41,31.78,,,11.12,897.5,,,,,,,,,,
1232,Bohodukhiv,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,Bogács,Hungary,2008,7.50,,75.36,1.87,8.52,399.2918,,4014.5729,99.6442,453.6777,2008,14.30,,75.41,0.69,9.61,2647,,13963,127,1779,16.68,64.80,3088,11998,IPCC,2.60,7.36,6.76,360,18.52,3430,,,,,,,,,,
1234,Boimorto,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,Bojano,Italy,2005,0.97,32.27,21.01,1.59,44.16,230.30712,7662.48607,4989.42873,377.80472,10485.78671,2005,1.15,29.15,18.36,0.98,50.37,911.49,23128.71,14569.55,774.19,39963.42,23.42,76.40,18583.57,60620.09,IPCC,2.87,9.57,,,0.18,143.7,,,,,0.00,2.5092141697769E-12,-0.00,-5.0E-28,,
1236,Bokod,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,Bolano,Italy,2008,1.20,23.79,60.02,2.50,12.49,183.42,3646.136,9198.1453774,383.356,1913.478,2008,1.27,19.39,64.52,1.42,13.39,714,10921,36332,802,7542,26.51,68.42,14926,38531.1162,IPCC,1.98,6.92,,,5.07,2855,,,,,,,,,,
1238,Bolbaite,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,Bolgare,Italy,2005,3.37,6.18,66.28,1.47,22.70,497.57312,913.4233,9793.63382,217.476,3354.97094,2005,2.82,5.17,70.41,0.86,20.75,1792.67,3281.47,44722.91,543.69,13176.97,11.64,83.78,7393.83,53212.91,IPCC,3.04,12.45,,,4.58,2910.97,,,,,,,-0.00,-7.2759576141834E-12,,
1240,Bollate,Italy,2006,3.48,16.38,54.76,1.36,24.02,3313.53644,15584.752592,52112.736869,1289.8564,22862.501525,2006,3.62,13.58,57.41,0.88,24.50,13265.142,49761.717,210332.341,3224.641,89766.152,21.96,77.19,80445.484,282769.705,IPCC,2.55,9.72,,,0.86,3134.802,,,,,0.00,5.1613824325613E-14,0.00,5.8207660913468E-11,,
1241,Bolgrad,Ukraine,2012,10.03,6.45,81.45,0.48,1.59,3680.8395,2367.64992,29890.61848,175.11312,585.03648,2012,8.61,4.02,85.31,0.16,1.91,10520.2,4909.96,104248.29,192.01,2331.92,13.72,86.28,16761.11,105441.27,IPCC,2.35,7.83,,,,,,,,,,,,,,
1242,Bollington Town Council,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,Bollullos del Condado,Spain,2007,0.53,11.79,13.49,1.41,51.81,317.25,7080.3,8097.3,846.9,31106.77104,2007,,,,,61.59,,,,,119102.78,20.18,77.22,39030,149325.95,IPCC,4.34,13.63,6.14,3684,2.60,5028.77,2.03,1221.75,,,12.81,7689.6248,38.41,74281.94,,
1244,Bolnisi,Georgia,2014,0.32,0.75,67.46,0.14,26.38,328.83092,784.93488,70321.58352,145.28176,27496.79983,2014,0.34,0.67,55.82,0.38,29.33,1234.98,2443.09,204347.01,1396.94,107375.68,19.56,40.97,71624.52,149986.86,IPCC,1.32,4.64,,,39.46,144475,,,,,4.95,5158.79152,13.46,49288.68,,
1245,Bologna,Italy,2005,1.18,28.08,35.04,0.64,21.81,26915.4128,641183.5319,799996.1202,14719.316,497998.1413,2005,1.22,23.65,38.99,0.37,23.36,101499.2,1968828.4,3246792.4,30538,1945391.3,20.61,78.95,1715671,6573240.9,IPCC,6.11,22.28,,,,,12.17,277951.5268,11.21,933020.3,1.06,24280.7752,1.20,100271.6,0.45,37429
1246,Bolognano,Italy,2010,1.31,11.03,60.33,4.06,23.27,52.396301,442.086103,2417.091698,162.632379,932.29752,2010,1.11,9.84,53.81,1.74,33.49,215.779,1907.68,10430.18,336.713,6492.001,8.80,91.20,1702.617,17639.737,IPCC,3.39,13.83,,,,,,,,,0.00,3.6743585951627E-13,0.00,1.8189894035459E-12,,
1247,Bolognetta,Italy,2011,0.68,16.53,25.43,2.10,54.01,67.6867,1648.476,2535.2158,209.7007,5385.53,2011,0.51,12.70,23.73,1.59,60.42,179.2,4428,8271.8,553.3,21060,25.75,71.39,8975,24881,IPCC,2.54,8.86,,,2.85,994,1.25,124.6843,1.04,361.3,-0.01,-0.7674999999997,0.00,1.54E-12,,
1248,Bolotana,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,Bolu ,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,Bolulla,Spain,2007,7.33,10.31,73.15,4.68,4.52,31.856,44.78526,317.74254,20.3412,19.64775,2007,3.04,5.06,86.85,1.94,3.11,72.4,120.69,2070.97,46.23,74.15,27.28,25.95,650.49,618.75,IPCC,1.09,3.18,,,46.77,1115.2,,,,,,,,,,
1251,Bolvir,Spain,2005,1.03,16.60,42.79,1.22,31.35,55.4112,895.9242,2309.7687,65.9932,1692.2832,2005,0.81,14.30,38.78,0.97,45.15,115.2,2032,5511.9,137.2,6416.8,41.75,58.25,5933.8,8279.3,IPCC,18.81,49.52,7.01,378.29,,,,,,,,,,,,
1252,Bolzano Vicentino,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,Bolzano/Bozen,Italy,2010,2.36,32.63,47.50,0.84,16.67,12265.7952,169926.8653,247327.4663,4398.7736,86791.2449,2010,2.52,24.83,54.67,0.51,17.47,48340.1,476508.4,1049284.1,9731.8,335276.8,24.05,70.13,461589.9,1345970.4,IPCC,5.01,18.45,,,0.59,11228.3,,,,,,,,,5.23,100352.6
1254,Bomba,Italy,2005,1.65,12.40,56.01,3.75,22.64,44.17652,331.74247,1498.95849,100.35774,605.95578,2005,1.49,12.16,60.98,2.07,23.29,149.85,1218.79,6112.4,207.78,2334.61,14.70,85.30,1473.91,8549.54,IPCC,2.83,10.60,3.55,95.14,,,,,,,0.00,3.7942982089589E-15,0.00,9.0949470177293E-13,,
1255,Bombarral,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1256,Bompensiere,Italy,2011,7.99,15.15,54.97,5.79,16.11,61.921,117.4471,426.1596,44.919,124.8759,2011,6.62,13.22,53.39,4.37,22.40,141,281.6,1137.5,93,477.3,52.53,47.47,1119,1011.4,IPCC,1.27,3.49,,,,,,,,,,,,,,
1257,Bompietro,Italy,2011,2.45,16.74,43.59,8.38,28.85,74.8878,511.2103,1331.4159,256.0383,881.1779,2011,2.90,14.75,43.83,5.23,33.29,294.5,1495.8,4444.9,530.1,3376.1,29.10,69.85,2950.7,7083.5,IPCC,2.07,6.88,,,1.06,107.2,,,,,,,,,,
1258,Bonares,Spain,2007,0.51,8.22,2.06,,62.07,94.05,1511.1,378.45,,11413.295,2007,,,,,67.32,,,,,44231.84,6.80,88.07,4469,57861.73,IPCC,3.24,10.97,8.31,1528,5.13,3372.65,0.15,27.45,,,18.68,3435.3092,32.68,21471.54,,
1259,Bonassola,Italy,2008,0.95,34.25,54.94,2.26,7.59,20.402,733.358,1176.285,48.48,162.4574,2008,1.43,26.02,62.06,1.43,9.06,101,1841,4390,101,641,35.51,61.44,2511,4345.2,IPCC,2.19,7.02,,,3.05,216,,,,,,,,,,
1260,Bonastre,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
1261,Bonate Sopra,Italy,2005,2.54,9.14,60.42,0.89,27.01,467.2322,1682.096,11117.592,164,4968.921,2005,2.62,7.67,63.85,0.53,25.33,2017.84,5914,49226,410,19529,13.84,82.46,10667.27,63575.6,IPCC,2.55,10.28,,,3.70,2855,,,,,,,,,,
1262,Bonate Sotto,Italy,2005,2.90,9.67,60.35,1.04,26.04,469.564,1565.235,9764.208,168,4213.031,2005,3.07,7.64,64.32,0.62,24.35,2085,5190,43691,420,16539,13.99,81.76,9503,55538,IPCC,2.68,10.76,,,4.25,2884,,,,,,,,,,
1263,Bonavigo,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
1264,Bondeno ,Italy,2007,0.54,16.44,20.58,0.44,43.52,653.1133,19936.3682,24954.9253,531.7048,52760.8158,2007,0.62,18.17,25.83,0.30,43.30,2993.49,87095.01,123782.75,1437.04,207512.83,13.64,82.79,65390.01,396767.24,IPCC,7.84,31.00,4.49,5448.9,3.57,17105.32,13.98,16952.922,11.78,56441.45,,,,,,
1265,Bondone,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1266,Bonea,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1267,Bonefro,Italy,2005,0.70,9.45,31.84,4.90,53.11,23.54964,315.69461,1063.93761,163.75328,1774.93356,2005,0.87,8.50,27.87,2.95,59.81,99.21,967.1,3169.99,335.56,6803.09,19.30,80.48,2195.41,9154.9,IPCC,1.89,6.41,,,0.22,24.62,,,,,-0.00,-4.5929482439532E-14,,,,
1268,Bonheiden,Belgium,2011,1.32,18.41,53.28,0.56,23.42,682,9528.96,27569.29,291.2,12119.16,2011,1.42,19.50,55.65,0.61,19.79,3410,46719,133370,1456,47420,21.76,73.44,52151,176003,IPCC,3.52,15.51,,,4.79,11490,1.60,829.26,1.65,3954,1.41,727.33,1.38,3315,,
1269,Bonemerse,Italy,2005,2.45,6.37,50.92,0.06,18.60,110.744,288.262,2304.586,2.898,841.818,2005,2.23,6.03,58.13,0.03,18.33,397,1075,10363,6,3267,14.42,82.60,2571,14725,IPCC,2.97,11.69,,,2.97,530,21.60,977.72,15.26,2720,,,,,,
1270,Bonn,Germany,1990,2.99,30.33,29.28,0.42,25.10,82226.129,832672.978,804019.566,11417.784,689224.328,1990,2.90,26.59,30.06,0.21,29.82,227947,2091102,2364104,16644,2344641,18.67,75.99,1468475,5975591,LCA,9.02,25.84,,,0.41,32562,11.88,326121.103,10.42,819183,-0.00,-2.28,,,4.92,386803
1271,Bonnanaro,Italy,2010,0.80,4.07,21.50,2.63,62.32,30.37596932,154.65188906,816.911762735,100.095344356,2367.523189332,2010,0.51,2.65,21.09,1.64,67.70,61.0099984,314.570159,2500.75518,194.800003,8028.327786,18.67,75.89,2214.3,8999.9,LCA,3.67,11.45,,,5.44,644.6,8.68,329.584931328,6.40,759.355216,-0.00,-2.4073176518868E-14,0.00,4.5474735088647E-13,,
