,name,country,emissions_baseline_year,percent_emissions_municipal,percent_emissions_tertiary,percent_emissions_residential,percent_emissions_public lighting,percent_emissions_transport,tons_co2_municipal,tons_co2_tertiary,tons_co2_residential,tons_co2_public lighting,tons_co2_transport,energy_consumption_baseline_year,percent_energy_consumption_municipal,percent_energy_consumption_tertiary,percent_energy_consumption_residential,percent_energy_consumption_public lighting,percent_energy_consumption_transport,mwh_energy_consumption_municipal,mwh_energy_consumption_tertiary,mwh_energy_consumption_residential,mwh_energy_consumption_public lighting,mwh_energy_consumption_transport,percent_energy_consumption_from_electricity,percent_energy_consumption_from_fossil fuels,mwh_energy_consumption_from_electricity,mwh_energy_consumption_from_fossil fuels,emissions_factor,tons_co2_per_capita,mwh_per_capita,percent_emissions_non-energy related,tons_co2_non-energy related,percent_energy_consumption_from_renewables,mwh_energy_consumption_from_renewables,percent_emissions_industry,tons_co2_industry,percent_energy_consumption_industry,mwh_energy_consumption_industry,percent_emissions_other,tons_co2_other,percent_energy_consumption_other,mwh_energy_consumption_other,percent_energy_consumption_from_heat/cold,mwh_energy_consumption_from_heat/cold
27,AGIA PARASKEVI,Greece,2014,2.18,26.84,58.40,1.05,11.53,5254.2032,64689.05907,140741.4315,2518.75737,27793.07481,2014,1.32,19.52,56.57,0.45,22.15,6519.86,96138.51,278618.66,2192.13,109084.57,25.53,74.47,125765.91,366787.82,IPCC,4.04,8.25,,,,,,,,,,,,,,
28,AGOLADA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,National/sub-national,,,,,,,,,,,,,,,,
29,AGRINIO,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,6.91,15.79,,,,,,,,,,,,,,
30,AGULLENT,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AIELO DE MALFERIT,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AIELO DE RUGAT,Spain,2010,1.03,9.17,18.07,2.73,55.71,3.08616,27.34865,53.89615,8.14125,166.16152,2010,1.33,11.04,21.49,3.51,46.76,18.48,153.27,298.25,48.75,649.01,44.52,55.48,617.91,770.03,IPCC,1.63,7.58,,,,,13.28,39.60122,15.86,220.18,,,,,,
33,AIGIALEIA,Greece,2013,10.52,2.96,50.24,0.91,35.36,17276.53608,4867.451,82516.34926,1499.1424,58081.55238,2013,6.45,2.52,46.34,0.53,44.16,32873.62,12853,236134.54,2677.04,225063.42,21.95,70.46,111866.82,359090.04,IPCC,3.29,10.22,,,7.58,38644.76,,,,,,,,,,
34,AINZÓN,Spain,2010,3.09,73.96,,2.92,20.03,104.90512,2512.67061,,99.352,680.46432,2010,2.34,73.22,,1.95,22.48,270.41,8465.59,,225.8,2599.3,33.10,64.19,3826.48,7421.39,IPCC,9.79,33.32,,,2.71,313.23,,,,,,,,,,
35,AJUNTAMENT D'ARGELAGUER,Spain,2005,0.72,3.01,16.11,0.28,71.39,16.13256,67.88541,363.27338,6.39756,1609.73691,2005,0.97,5.46,22.02,0.64,70.91,83.37,467.93,1888.28,54.68,6080.23,11.35,88.65,973.19,7601.3,IPCC,5.53,21.02,8.48,191.28,,,,,,,-0.00,-0.0034400000000001,0.00,0.010000000000204,,
36,AJUNTAMENT DE PORTBOU,Spain,2005,1.40,16.82,21.95,1.62,41.70,95.17173,1141.84127,1490.61134,109.94698,2831.25894,2005,1.33,15.77,23.20,1.24,58.46,246.01,2911.77,4285.6,228.58,10797.7,22.17,77.83,4095.6,14374.06,IPCC,4.94,13.44,16.51,1121.12,,,,,,,,,,,,
37,AJUNTAMENT DE TIRVIA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AJUNTAMENT DES CASTELL,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,ALADREN,Spain,2010,5.31,,65.38,7.96,21.36,8.69,,107.01867,13.024,34.95825,2010,3.63,,66.32,5.44,24.61,19.75,,360.56,29.6,133.78,35.80,61.74,194.66,335.68,IPCC,2.73,8.84,,,2.45,13.34,,,,,,,,,,
40,ALAQUÀS,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ALBAIDA,Spain,2010,0.84,9.75,15.36,0.77,25.75,129.74305,1505.92312,2371.96139,119.62043,3977.26776,2010,0.98,11.19,17.03,0.93,20.27,758.97,8654.34,13175.73,716.29,15678.65,40.93,59.07,31664.9,45692.35,IPCC,2.44,12.21,,,,,47.53,7342.36001,49.61,38373.27,,,,,,
42,ALBALAT DELS SORELLS,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,ALBERITE DE SAN JUAN,Spain,2010,5.83,69.01,,6.37,18.79,15.72097,185.96472,,17.1732,50.62353,2010,5.30,69.07,,4.30,21.33,48.04,626.54,,39.03,193.45,33.98,63.46,308.26,575.62,IPCC,3.13,10.55,,,2.56,23.18,,,,,,,,,,
44,ALBETA,Spain,2010,4.27,,67.00,6.63,22.10,16.908,,265.1686,26.224,87.465,2010,3.82,,66.93,4.46,24.80,51.1,,895.23,59.6,331.66,32.80,64.73,438.74,865.76,IPCC,2.66,8.76,,,2.47,33.09,,,,,,,-0.00,-1.1368683772162E-13,,
45,ALBIGNASEGO,Italy,2012,1.23,11.07,23.16,0.59,41.55,1876.57538,16940.12392,35438.43108,904.48125,63590.28128,2012,1.10,10.07,28.33,0.42,41.15,6387.02,58223.64,163841.85,2411.95,237983.76,19.78,78.05,114431.84,451438.51,IPCC,6.34,23.96,1.04,1597,2.16,12515.18,19.38,29663.77173,17.05,98599.14,1.97,3018.36578,1.89,10938.17,,
46,ALBORACHE,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,ALBORAYA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,ALBUDEITE,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,ALBUIXECH,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,ALCALA DE MONCAYO,Spain,2013,14.80,,62.62,2.06,20.51,81.3744,,344.24088,11.3256,112.76295,2013,12.50,,62.76,1.39,23.35,230.98,,1159.8,25.74,431.46,33.41,63.90,617.4,1180.96,IPCC,2.85,9.32,,,2.69,49.64,,,,,,,,,,
51,ALCALÁ DE EBRO,Spain,2010,3.49,,74.95,4.77,16.79,23.479,,504.97,32.12,113.13,2010,3.02,,74.92,3.21,18.85,68.7,,1705,73,429,34.67,62.56,789,1423.7,IPCC,2.29,7.53,,,2.77,63,,,,,,,,,,
52,ALCANTARILLA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,ALCÀSSER,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,ALCÁNTARA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
55,ALDAIA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ALEXANDRIA,Greece,2011,2.98,16.76,46.45,2.20,31.62,6346.0497,35744.7802,99068.0048,4682.175,67446.0894,2011,1.65,5.72,45.07,0.71,46.84,9473.3,32754,258193.1,4075,268319.4,16.82,69.00,96371.4,395269.3,IPCC,5.13,13.78,,,14.17,81174.12,,,,,,,,,,
57,ALFAFAR,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ALFAMEN,Spain,2010,5.86,,67.57,2.90,23.67,295.5229,,3407.021,146.2692,1193.6871,2010,6.15,,93.85,,,751.98,,11479,,,32.14,65.38,5506.1,11199.2,IPCC,3.13,10.38,,,2.48,425,,,,,,,,,,
59,ALFARA DE LA BARONIA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ALFARA DEL PATRIARCA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ALFARRASÍ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ALFAUIR,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ALFORQUE,Spain,2010,3.58,71.34,,5.78,19.29,7.60493,151.36668,,12.2672,40.92399,2010,2.90,71.33,,3.90,21.87,20.74,509.98,,27.88,156.33,34.32,63.04,245.35,450.71,IPCC,3.03,10.21,,,2.64,18.87,,,,,,,,,,
64,ALFOZ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
65,ALGERRI,Spain,2005,8.13,8.64,21.45,1.30,50.51,192.32637,204.32769,507.10576,30.80805,1194.38946,2005,6.03,7.45,20.66,0.92,64.94,419.93,519.25,1439.22,64.05,4523.1,20.35,79.65,1417.58,5547.97,IPCC,4.91,14.45,9.97,235.69,,,,,,,,,,,,
66,ALGUAIRE,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
67,ALLARIZ,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,IPCC,,,,,,,,,,,,,,,,
68,ALMATRET,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ALMENAR,Spain,2005,1.68,14.07,25.16,0.58,46.19,261.2711,2189.21071,3915.81276,91.0052,7188.31401,2005,1.26,11.30,26.76,0.42,60.27,568.52,5111.83,12103.42,189.2,27262.63,20.87,79.13,9439.47,35796.13,IPCC,4.32,12.57,12.31,1916.03,,,,,,,,,,,,
70,ALMENARA,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ALMOHARIN,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ALMOINES,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ALMONACID DE LA CUBA,Spain,2010,8.31,,62.36,5.25,24.08,47.2275,,354.21837,29.8276,136.78862,2010,6.30,,67.01,3.81,22.88,112.25,,1193.42,67.79,407.39,36.41,61.11,648.49,1088.2,IPCC,2.25,6.89,,,2.48,44.16,,,,,,,,,,
