,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
,,,,,,Food and Beverage Processing,United States of America,,Company,Kellogg Company,,Responsible corporate engagement in climate policy,,/company/kellogg-company,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Air Transportation - Airlines,France,,Company,Air France - KLM,,Responsible corporate engagement in climate policy,,/company/air-france--klm,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,United Kingdom of Great Britain and Northern Ireland,,Investor,Alliance Trust,,Responsible corporate engagement in climate policy,,/company/alliance-trust,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Aerospace and Defense,United Kingdom of Great Britain and Northern Ireland,,Company,Senior Plc,,Responsible corporate engagement in climate policy,,/company/senior-plc,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Electrical Equipment and Machinery,France,,Company,Schneider Electric,,Responsible corporate engagement in climate policy,,/company/schneider-electric,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Consumer Durables, Household and Personal Products",Japan,,Company,KAO Corporation,,Responsible corporate engagement in climate policy,,/company/kao-corporation,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Telecommunication Services,Spain,,Company,Telefonica,,Responsible corporate engagement in climate policy,,/company/telefonica,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Gas Utilities,Spain,,Company,Gas Natural SDG SA,,Responsible corporate engagement in climate policy,,/company/gas-natural-sdg-sa,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,United Kingdom of Great Britain and Northern Ireland,,Investor,RSA Insurance Group,,Responsible corporate engagement in climate policy,,/company/rsa-insurance-group,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,,Turkey,,Investor,T.SINAİ KALKINMA BANKASI A.Ş.,,Responsible corporate engagement in climate policy,,/company/t-sinai-kalkinma-bankasi-a-s-,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Technology Hardware and Equipment,Japan,,Company,"Konica Minolta, Inc.",,Responsible corporate engagement in climate policy,,"/company/konica-minolta,-inc-",,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,"Textiles, Apparel, Footwear, and Luxury Goods",Germany,,Company,PUMA SE,,Responsible corporate engagement in climate policy,,/company/puma-se,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
,,,,,,Food and Beverage Processing,United States of America,,Company,Happy Family Brands,,Responsible corporate engagement in climate policy,,/company/happy-family-brands,,,,,,,,,,,,1,,,,,,Corporate Engagement in Climate Policy
