id,attr_Emissions_reduction,attr_Energy_access_&_efficiency,attr_Renewable_energy,baseline_year,cdp,company_classification,country,dollar_value,entity_type,name,percent_reduction,raw_commitment,target_year,url,attr_Use_of_carbon_price,attr_Building,attr_Private_finance,climatebonds,green_bond,carbonn,community_wide,covenant_of_mayors,attr_Resilience,attr_Forest,attr_Transport,attr_Other,attr_Short_term_pollutants,climategroup,investorsclimatechange,globalcompact,attr_Agriculture,cooperative-initiative,attr_Innovation
12,1.0,1.0,,2010.0,1.0,Water Transportation,Denmark,,Company,A.P. Moller - Maersk,30,Reduce operational CO2e emissions intensity of all business units by 30% per unit specific metric from 2010 to 2020 through increased energy efficiency and tanker retrofits,2020.0,/company/a-p-moller--maersk,,,,,,,,,,,,,,,,,
13,1.0,1.0,,2007.0,1.0,Water Transportation,Denmark,,Company,A.P. Moller - Maersk,60,Reduce the operational CO2e emissions intensity of their Maersk Line business unit by 60% per TEU/kilometer from 2007 to 2020 through increased energy efficiency and tanker retrofits,2020.0,/company/a-p-moller--maersk,,,,,,,,,,,,,,,,,
14,1.0,,1.0,2012.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,67,Reduce direct CO2e emissions at the Brindisi thermoelectric plant by 67% from 2012 to 2017 through use of renewable fuels,2017.0,/company/a2a,,,,,,,,,,,,,,,,,
15,1.0,,,2012.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,,Reduce direct CO2e emissions intensity of the Monfalcone thermoelectric plant by 14.6% per MWh from 2012 to 2020 through advanced exhaust purification technologies,2020.0,/company/a2a,,,,,,,,,,,,,,,,,
16,1.0,,,2014.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,48,Reduce CO2e emissions from fuel- and energy-related activities by 48% from 2014 to 2015 through increased energy efficiency,2015.0,/company/a2a,,,,,,,,,,,,,,,,,
17,1.0,,,2014.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,33,Reduce direct CO2e emissions from their San Filippo del Mela thermoelectric plant by 33% from 2014 to 2019,2019.0,/company/a2a,,,,,,,,,,,,,,,,,
18,,1.0,,2014.0,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,48,Reduce CO2e emissions from fuel- and energy-related activities by 48% from 2014 to 2015 through increased energy efficiency,2015.0,/company/a2a,,,,,,,,,,,,,,,,,
19,,,,,1.0,"Electric Utilities, Independent Power Producers, and Energy Traders",Italy,,Company,A2A,,Use an internal carbon price,,/company/a2a,1.0,,,,,,,,,,,,,,,,
20,1.0,,,1990.0,,,Germany,,City,Aachen,40,Reduce community-wide CO2 emissions by 40% from 1990 to 2020,2020.0,/city/aachen/germany,,,,,,,1.0,1.0,,,,,,,,,
21,1.0,,,2009.0,,,Norway,,City,Aalesund,20,Reduce community-wide CO2e emissions by 20% from 2009 to 2020,2020.0,/city/aalesund/norway,,,,,,,1.0,1.0,,,,,,,,,
22,,1.0,,2005.0,1.0,Food and Staples Retailing,Sweden,,Company,AB Anders Lofberg,40,Reduce operational CO2e emissions by 40% per tonne of product from 2005 to 2020 through increased energy efficiency and renewable energy procurement for their offices,2020.0,/company/ab-anders-lofberg,,,,,,,,,,,,,,,,,
23,1.0,,1.0,,1.0,Food and Staples Retailing,Sweden,,Company,AB Anders Lofberg,,Achieve 100% renewable energy procurement for their coffee roasting facilities in Sweden and Denmark,,/company/ab-anders-lofberg,,1.0,,,,,,,,,,,,,,,
24,1.0,,1.0,2005.0,1.0,Food and Staples Retailing,Sweden,,Company,AB Anders Lofberg,40,Reduce operational CO2e emissions by 40% per tonne of product from 2005 to 2020 through increased energy efficiency and renewable energy procurement for their offices,2020.0,/company/ab-anders-lofberg,,,,,,,,,,,,,,,,,
25,1.0,,,2007.0,,,Spain,,City,Abanto-Zierbena,22,Reduce community-wide CO2e emissions by 22% from 2007 to 2020,2020.0,/city/abanto-zierbena/spain,,,,,,,1.0,1.0,,,,,,,,,
