"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","X","file_iso","name","continent"
"54",54,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,54,"ITA","Italy","Europe"
"55",55,0.00793985848461099,0.00971460256565676,0.0892640917847646,0.888553656592051,0.00452779057291717,55,"JAM","Jamaica","Americas"
"56",56,0.0926004311016256,0.00108303654922345,0.512886373010278,0.0230091943304888,0.370420965008384,56,"JOR","Jordan","Asia"
"57",57,0.00659605686370655,0.233167242785552,0.0092022332134832,0.747036070377685,0.00399839675957312,57,"JPN","Japan","Asia"
"58",58,0.00140251532964388,0.000511903581785373,0.551570019875537,0.0193399687157411,0.427175592497293,58,"KEN","Kenya","Africa"
"59",59,0.217555057602769,0.424474521527514,0.309229121099845,0.0457091241148694,0.00303217565500248,59,"KGZ","Kyrgyzstan","Asia"
"60",60,0.000209555772602531,2.92207014330094e-05,0.000172998941280542,5.62884377539042e-05,0.99953193614693,60,"KHM","Cambodia","Asia"
"61",61,0.110108840925079,0.00123150435230157,0.390058342226409,0.0385412134961504,0.460060099000061,61,"KNA","St. Kitts & Nevis","Americas"
"62",62,0.000830272128877201,0.000915036290134748,0.00177040932590445,0.995843121473132,0.000641160781952107,62,"KOR","South Korea","Asia"
"63",63,0.00560095720450679,0.00284287119117605,0.0598922533995652,0.926840632988002,0.00482328521674942,63,"KOR","South Korea","Asia"
"64",64,0.107170066311345,0.0351846433362608,0.282333177992711,0.488248182002808,0.0870639303568748,64,"KWT","Kuwait","Asia"
"65",65,0.462608175723092,0.00175190212125013,0.221683124926968,0.00210120517862787,0.311855592050062,65,"LAO","Laos","Asia"
"66",66,0.0379153820819014,0.063953065222617,0.55451556034314,0.115684264392906,0.227931727959436,66,"LBN","Lebanon","Asia"
"67",67,0.0340702997067758,0.505270767583433,0.0756520455363208,0.122071584494955,0.262935302678515,67,"LBR","Liberia","Africa"
"68",68,0.110972012116844,0.071862585932744,0.100783452543059,0.498362614621494,0.21801933478586,68,"LCA","St. Lucia","Americas"
"69",69,0.499309879151063,0.061488581064013,0.22125344941343,0.00123260066545063,0.216715489706043,69,"LKA","Sri Lanka","Asia"
"70",70,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,70,"LTU","Lithuania","Europe"
"71",71,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,71,"LUX","Luxembourg","Europe"
"72",72,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,72,"LVA","Latvia","Europe"
"73",73,0.296975175002765,0.0164024594124984,0.498943482881162,0.0797486974686277,0.107930185234947,73,"MAR","Morocco","Africa"
"74",74,0.287585141562498,0.00190252154267208,0.66008252104263,0.00238103593836424,0.0480487799138357,74,"MCO","Monaco","Europe"
"75",75,0.00166660038715959,0.00122739327080273,0.907565076069147,0.000189969565214818,0.0893509607076753,75,"MDA","Moldova","Europe"
"76",76,0.113632422471709,0.0036296193478869,0.0108453639320708,0.790455901141452,0.0814366931068817,76,"MDV","Maldives","Asia"
"77",77,0.00184576437830328,0.0188331059508276,0.679639183618209,0.289192111646065,0.0104898344065955,77,"MEX","Mexico","Americas"
"78",78,0.752540595744902,0.0134046841577227,0.0958121619646256,0.115832133557611,0.022410424575139,78,"MHL","Marshall Islands","Oceania"
"79",79,0.181001282225332,0.061628583985226,0.340983203290187,0.392374299309721,0.0240126311895345,79,"MKD","North Macedonia","Europe"
"80",80,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,80,"MLT","Malta","Europe"
"81",81,0.772983714267718,0.000587834668243385,0.224364589150275,0.000480984615719733,0.00158287729804367,81,"MMR","Myanmar (Burma)","Asia"
"82",82,0.0772741354324807,0.00923531708231484,0.568443759285028,0.166261902393697,0.178784885806479,82,"MNE","Montenegro","Europe"
"83",83,0.095788135709725,0.00152344245896611,0.639101356090571,0.00114733383986979,0.262439731900868,83,"MNG","Mongolia","Asia"
"84",84,0.395634369736708,0.341482303992628,0.00406599196040847,0.105346098166741,0.153471236143514,84,"MUS","Mauritius","Africa"
"85",85,0.999464341493228,8.27918121281654e-05,0.000186685254046735,6.37477262767108e-05,0.000202433714320289,85,"MWI","Malawi","Africa"
"86",86,0.0132861965948951,0.00418393699294238,0.18945736913073,0.484181292082233,0.308891205199199,86,"MYS","Malaysia","Asia"
"87",87,0.00911806363162404,0.575808993070654,0.368164912332739,0.0095189182322885,0.0373891127326945,87,"NAM","Namibia","Africa"
"88",88,0.059977393924027,0.101271415919613,0.831603109139144,0.00265109582140835,0.00449698519580706,88,"NIC","Nicaragua","Americas"
"89",89,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,89,"NLD","Netherlands","Europe"
"90",90,0.00152018550920244,0.00132556032649311,0.00258928042531964,0.993380476265226,0.00118449747375945,90,"NOR","Norway","Europe"
"91",91,0.181792025769813,0.0655277930279738,0.146570290077086,0.575732433914797,0.0303774572103302,92,"NZL","New Zealand","Oceania"
"92",92,0.000579923846187595,0.000532908425819327,0.994362746651876,0.00398132074894064,0.000543100327175888,93,"PAN","Panama","Americas"
"93",93,0.000891633834561531,0.00123318019969651,0.980109586548654,0.0166089170680089,0.00115668234907914,94,"PER","Peru","Americas"
"94",94,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,95,"POL","Poland","Europe"
"95",95,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,96,"PRT","Portugal","Europe"
"96",96,0.000138900631081689,0.998929861604968,0.000653640736025127,0.000189938229750483,8.76587981738176e-05,97,"PRY","Paraguay","Americas"
"97",97,0.294282076492572,0.00362174384527588,0.466943512544554,0.20264957085267,0.0325030962649275,98,"PSE","Palestinian Territories","Asia"
"98",98,0.73890024403047,0.00138869975230356,0.223150605158787,0.00161945045927433,0.0349410005991646,99,"QAT","Qatar","Asia"
"99",99,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,100,"ROU","Romania","Europe"
"100",100,0.000139433561345086,0.999440699582625,0.000186208019096402,0.000157308627534499,7.63502093977518e-05,101,"RWA","Rwanda","Africa"
"101",101,0.950633883402611,0.00170858034149669,0.0381909944591913,0.00240502580152327,0.00706151599517791,102,"SAU","Saudi Arabia","Asia"
"102",102,0.27769448496674,0.00543534253192053,0.0161436540787506,0.682224439119941,0.0185020793026474,103,"SGP","Singapore","Asia"
"103",103,0.504578856083696,0.0025600759168648,0.364110734344055,0.0209741463417139,0.107776187313671,104,"SLB","Solomon Islands","Oceania"
"104",104,0.176883193317661,0.0101016660057179,0.0893304815561828,0.000222353654822113,0.723462305465616,105,"SLE","Sierra Leone","Africa"
"105",105,0.0910755945081144,0.084200458705284,0.363811729867057,0.151488831943233,0.309423384976312,106,"SOM","Somalia","Africa"
"106",106,0.0058249969974301,0.0948038215595012,0.612645531449667,0.201586330383161,0.085139319610241,107,"STP","São Tomé & Príncipe","Africa"
"107",107,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,108,"SVK","Slovakia","Europe"
"108",108,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,109,"SVN","Slovenia","Europe"
"109",109,0.000564611592946953,0.000669580463862713,0.00108709080119647,0.997212283083857,0.000466434058136824,110,"SWE","Sweden","Europe"
"110",110,0.00547998356542861,0.000927795988108865,0.00702717864497712,0.0978404949487519,0.888724546852734,111,"SWZ","Eswatini","Africa"
"111",111,0.0475926577344604,0.00117040631685635,0.434251322306214,0.090250317004509,0.426735296637961,112,"SYC","Seychelles","Africa"
"112",112,0.033517806356369,0.0335817610565112,0.848891583921735,0.00371394625963005,0.0802949024057544,113,"THA","Thailand","Asia"
"113",113,0.123043905883773,0.00255013555394677,0.541646018458907,0.0863386267791354,0.246421313324238,114,"TJK","Tajikistan","Asia"
"114",114,0.000833812387352034,0.992118706465095,0.00364371159811364,0.00291221049742956,0.000491559052009223,115,"TZA","Tanzania","Africa"
"115",115,0.00905104975075021,0.517052343986066,0.0112806839478222,0.458085445723828,0.00453047659153392,116,"UGA","Uganda","Africa"
"116",116,0.190816723800553,0.00208273799634692,0.17654650313475,0.627487911366947,0.0030661237014031,117,"UKR","Ukraine","Europe"
"117",117,0.000581107693113346,0.00058152902669599,0.00101721405934499,0.997392079478377,0.00042806974246855,118,"USA","United States","Americas"
"118",118,0.0730313704996417,0.00170971995291042,0.828082253757414,0.0106475946229986,0.0865290611670351,119,"UZB","Uzbekistan","Asia"
"119",119,0.0231462699564344,0.000551758485585987,0.157359981394629,0.00182375535691253,0.817118234806439,120,"VNM","Vietnam","Asia"
"120",120,0.0159433834374391,0.900483217241698,0.00249154676233206,0.0753023026156348,0.00577954994289531,121,"VUT","Vanuatu","Oceania"
"121",121,0.129111556456805,0.00217047929998759,0.334790332161731,0.425185831941196,0.108741800140281,122,"ZAF","South Africa","Africa"
"122",122,0.00685309872338694,0.102944398335537,0.197607768549374,0.685307760259792,0.00728697413191074,123,"ZMB","Zambia","Africa"
"123",123,0.00407838880486867,0.217701246623226,0.0966016927841209,0.676067709244875,0.005550962542909,124,"ZMB","Zambia","Africa"
"124",124,0.272272384325631,0.639157061494412,0.0027201306941733,0.0377638844943329,0.048086538991451,125,"ZWE","Zimbabwe","Africa"
