,original_language
ENGLISH,5313
FRENCH,239
SPANISH,227
GERMAN,17
PORTUGUESE,16
ITALIAN,14
DUTCH,8
SWEDISH,7
Japanese,6
DANISH,5
Chinese,3
HEBREW,2
CATALAN,2
INUKTITUT,1
Korean,1
FINNISH,1
ARMENIAN,1
NORWEGIAN,1
UKRAINIAN,1
ChineseT,1
TURKISH,1
BENGALI,1
PASHTO,1
