name,entity_type,coordinator,city,country
Pacific Islands Forum Secretariat,Intergovernmental organizations,Mr. Scott Hook,Suva,Fiji
Parliamentary Assembly of the Mediterranean,Intergovernmental organizations,Mr. Valerio Carafa,St. Julians,Malta
Permanent Court of Arbitration,Intergovernmental organizations,Ms. Judith Levine,The Hague,Netherlands
Permanent Secretariat of the Alpine Convention,Intergovernmental organizations,Ms. Nathalie Morelle,Innsbruck,Austria
Secrétariat général de l'union du Maghreb Arabe,Intergovernmental organizations,Mme Faouzia Chakiri,Rabat,Morocco
Secretariat of the Pacific Community,Intergovernmental organizations,Ms. Sylvie Michelle Goyet,Noumea,France
Secretariat of the Union for the Mediterranean,Intergovernmental organizations,Mr. Nasser Kamel,Barcelona,Spain
South Asia Co-operative Environment Programme,Intergovernmental organizations,Ms. Jacintha Silverine Tissera,Colombo 06,Sri Lanka
South Centre,Intergovernmental organizations,Mr. Luis Fernando Rosales,Geneva,Switzerland
Technical Centre for Agricultural and Rural Cooperation EU-ACP,Intergovernmental organizations,Mr. Oluyede Clifford Ajayi,Wageningen,Netherlands
The Regional Organization for the Conservation of the Environment of the Red Sea and Gulf of Aden,Intergovernmental organizations,Mr. Ziad Abu Gararah,Jeddah 21583,Saudi Arabia
Union Economique et Monétaire Ouest Africaine,Intergovernmental organizations,Mme Zourata Lompo Née Ouédraogo,Ouagadougou 01,Burkina Faso
University for Peace,Intergovernmental organizations,Sra. Maria Pia Carazo Ortiz,Ciudad Colón,Costa Rica
