"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","X","file_iso","name","continent"
"1",1,0.273501174931462,0.0639312605459402,0.320838189126851,0.0777691191618732,0.00393696163310421,0.260023294600769,1,"AGO","Angola","Africa"
"2",2,0.00159299114607865,0.441927251591882,0.116281054534274,0.16567081214094,0.00993339941333608,0.264594491173489,2,"ALB","Albania","Europe"
"3",3,0.0120918797575332,0.00806419784427656,0.754785518413803,0.216706735269504,0.00164948539167011,0.00670218332321338,3,"AND","Andorra","Europe"
"4",4,0.893552074329284,0.00219916152282314,0.0113718358476403,0.00344941019992562,0.0700658765058006,0.0193616415945266,4,"ARM","Armenia","Asia"
"5",5,0.985842254567156,0.000239177451179514,0.00026458564087668,0.000134023049587782,0.0121281294787922,0.00139182981240734,5,"ATG","Antigua & Barbuda","Americas"
"6",6,0.483748962639797,0.0267934601509815,0.0340315904793576,0.286056161875398,0.114964659270976,0.0544051655834903,6,"AUS","Australia","Oceania"
"7",7,0.462758566234136,0.00162190328534288,0.00320923723737854,0.00157623343510524,0.52777574035407,0.00305831945396724,7,"AUS","Australia","Oceania"
"8",8,0.00082940068528939,6.7807592629446e-05,0.00051034973805893,0.000157979362329007,0.998198487058858,0.000235975562835266,8,"AUT","Austria","Europe"
"9",9,0.000829400685289432,6.78075926294489e-05,0.000510349738058954,0.000157979362329014,0.998198487058858,0.000235975562835274,9,"BEL","Belgium","Europe"
"10",10,0.0075152513288838,0.0042104083270752,0.0927577976241985,0.87992606072091,0.0115140610152606,0.00407642098367207,10,"BGD","Bangladesh","Asia"
"11",11,0.0146821656389668,0.0756872021479491,0.00176849271553816,0.832332163225536,0.0741554419454317,0.00137453432657831,11,"BGD","Bangladesh","Asia"
"12",12,0.000829400685289409,6.78075926294462e-05,0.000510349738058941,0.000157979362329009,0.998198487058858,0.000235975562835269,12,"BGR","Bulgaria","Europe"
"13",13,0.225129035504739,0.00645803648683196,0.493074245993548,0.194519651228409,0.034558623275733,0.0462604075107377,13,"BHR","Bahrain","Asia"
"14",14,0.127741956876753,0.167016413341913,0.122408618937868,0.265312597005241,0.0490615258011911,0.268458888037034,14,"BIH","Bosnia & Herzegovina","Europe"
"15",15,0.719287554246146,0.00948520131428404,0.0178985581764821,0.00926759309190807,0.00581467511565357,0.238246418055526,15,"BLR","Belarus","Europe"
"16",16,0.421701201342778,0.21091114080883,0.130549417459593,0.140313259415221,0.0870002086490967,0.0095247723244814,16,"BLZ","Belize","Americas"
"17",17,0.100782226902116,0.010266445998408,0.0153629876967729,0.211667769476158,0.652258157487607,0.00966241243893754,17,"BRA","Brazil","Americas"
"18",18,0.723734390870247,0.00289904972335098,0.0384783730679348,0.16910755736873,0.0506756849099343,0.0151049440598032,18,"BRB","Barbados","Americas"
"19",19,0.510517045058295,0.0049302765798063,0.134462032086432,0.191650121960668,0.153382371863458,0.0050581524513404,19,"CAN","Canada","Americas"
"20",20,0.00554733853237982,0.00121309965762066,0.115155164400124,0.00304987045615758,0.869420567085658,0.00561395986806008,20,"CHE","Switzerland","Europe"
"21",21,0.00560475071699422,0.00123253933387866,0.11698178636799,0.00308952278215804,0.867379418429655,0.00571198236932365,21,"CHE","Switzerland","Europe"
"22",22,0.108904611806548,0.00151257984169469,0.821047699348943,0.00607138359089655,0.0329678161837512,0.0294959092281662,22,"CHL","Chile","Americas"
"23",23,0.0150163639773807,0.0313270250881303,0.0643814694400075,0.873653226068194,0.00333156848786144,0.0122903469384255,23,"CHN","China","Asia"
"24",24,0.00230286512453968,0.241733360404206,0.663052755759174,0.0497338288621355,0.0019969395432033,0.0411802503067415,24,"COG","Congo - Brazzaville","Africa"
"25",25,0.000636223763283743,0.000682223577595119,0.960734316779343,0.00955155030515517,0.00102967107810597,0.0273660144965173,25,"COL","Colombia","Americas"
"26",26,0.0974075810874298,0.138373944101196,0.594417396093979,0.158236053627065,0.000238884931701943,0.011326140158629,26,"CPV","Cape Verde","Africa"
"27",27,0.0131612382352311,0.00321244347095432,0.662129338260382,0.00808465697812854,0.299277172225762,0.0141351508295426,27,"CRI","Costa Rica","Americas"
"28",28,0.00197063725345879,0.000668773248072931,0.805889194266762,0.00595982300439744,0.153668291727504,0.0318432804998045,28,"CRI","Costa Rica","Americas"
"29",29,0.0846008811946453,0.024659378929799,0.691699857677351,0.097053879216371,0.00257339318400626,0.0994126097978273,29,"CUB","Cuba","Americas"
"30",30,0.000829400685289393,6.78075926294452e-05,0.00051034973805893,0.000157979362329006,0.998198487058858,0.000235975562835267,30,"CYP","Cyprus","Asia"
"31",31,0.00082940068528939,6.78075926294435e-05,0.000510349738058929,0.000157979362329004,0.998198487058858,0.000235975562835266,31,"CZE","Czechia","Europe"
"32",32,0.000829400685289396,6.78075926294449e-05,0.00051034973805893,0.000157979362329005,0.998198487058858,0.000235975562835266,32,"DEU","Germany","Europe"
"33",33,0.000829400685289403,6.78075926294434e-05,0.000510349738058935,0.000157979362329004,0.998198487058858,0.000235975562835267,33,"DNK","Denmark","Europe"
"34",34,0.0590687036047444,0.000528543389766042,0.86038348561094,0.000727685508996338,0.0253472684055771,0.0539443134799766,34,"DOM","Dominican Republic","Americas"
"35",35,0.000829400685289381,6.78075926294437e-05,0.000510349738058923,0.000157979362329003,0.998198487058858,0.000235975562835263,35,"ESP","Spain","Europe"
"36",36,0.000829400685289432,6.78075926294489e-05,0.000510349738058954,0.000157979362329014,0.998198487058858,0.000235975562835274,36,"EST","Estonia","Europe"
"37",37,0.000829400685289394,6.78075926294444e-05,0.000510349738058932,0.000157979362329006,0.998198487058858,0.000235975562835271,37,"EUU",NA,NA
"38",38,0.000829400685289412,6.78075926294453e-05,0.000510349738058942,0.000157979362329008,0.998198487058858,0.000235975562835271,38,"FIN","Finland","Europe"
"39",39,0.284984008668624,0.0432686543197732,0.218517842764798,0.00681821215652528,0.318698644451582,0.127712637638697,39,"FJI","Fiji","Oceania"
"40",40,0.000829400685289433,6.78075926294477e-05,0.000510349738058952,0.000157979362329012,0.998198487058858,0.000235975562835269,40,"FRA","France","Europe"
"41",41,0.304792396800605,0.00512786148786605,0.122869061985852,0.133013726539622,0.428442152257417,0.00575480092863797,41,"GBR","United Kingdom","Europe"
"42",42,0.863970755500269,0.0014821681294738,0.00564094725305336,0.00148625562193331,0.013826757264601,0.113593116230669,42,"GEO","Georgia","Asia"
"43",43,0.913773879995765,0.0404006923083876,0.0014414565961915,0.00234104506404188,0.0172176603083079,0.0248252657273064,43,"GHA","Ghana","Africa"
"44",44,0.111463882268569,0.00381109141784002,0.142861555632575,0.726174403390067,0.00538298412391374,0.0103060831670361,44,"GIN","Guinea","Africa"
"45",45,0.26256932719996,0.0153733453825538,0.324628943358265,0.165357807730358,0.156930705826394,0.0751398705024696,45,"GNB","Guinea-Bissau","Africa"
"46",46,0.000829400685289363,6.78075926294425e-05,0.000510349738058915,0.000157979362329001,0.998198487058858,0.000235975562835262,46,"GRC","Greece","Europe"
