,name,entity_type,country
3041,MAPFRE,Investor,Spain
3042,"Marsh & McLennan Companies, Inc.",Investor,United States of America
3043,Prosafe,Investor,Cyprus
3044,Prosafe,Investor,Cyprus
3045,Vodafone Group,Investor,United Kingdom of Great Britain and Northern Ireland
3046,3i Group,Investor,United Kingdom of Great Britain and Northern Ireland
3047,ABN Amro Holding,Investor,Netherlands
3048,ABN Amro Holding,Investor,Netherlands
3049,ABN Amro Holding,Investor,Netherlands
3050,ABN Amro Holding,Investor,Netherlands
3051,Adecco Group AG,Investor,Switzerland
3052,Adecco Group AG,Investor,Switzerland
3053,Adecco Group AG,Investor,Switzerland
