,name,entity_type,country
2575,News Corp,Investor,United States of America
2576,News Corp,Investor,United States of America
2577,News Corp,Investor,United States of America
2578,Dixons Carphone,Investor,United Kingdom of Great Britain and Northern Ireland
2579,Rinchem Company Inc,Supply Chain,United States of America
2580,Mainstream Renewable Power,Investor,Ireland
2581,Mainstream Renewable Power,Investor,Ireland
2582,Mainstream Renewable Power,Investor,Ireland
2583,Abertis Infraestructuras,Investor,Spain
2584,Abertis Infraestructuras,Investor,Spain
2585,Abertis Infraestructuras,Investor,Spain
2586,A2A,Investor,Italy
2587,A2A,Investor,Italy
2588,ACCIONA S.A.,Investor,Spain
2589,ACCIONA S.A.,Investor,Spain
2590,ACCIONA S.A.,Investor,Spain
2591,ACCIONA S.A.,Investor,Spain
2592,Adecco Group AG,Investor,Switzerland
2593,Adecco Group AG,Investor,Switzerland
2594,Adecco Group AG,Investor,Switzerland
2595,ACEA SpA,Investor,Italy
2596,ACEA SpA,Investor,Italy
2597,ACEA SpA,Investor,Italy
2598,Alten,Investor,France
2599,Alten,Investor,France
2600,Hitachi Rail STS,Investor,Italy
2601,AptarGroup,Investor,United States of America
2602,AptarGroup,Investor,United States of America
2603,AptarGroup,Investor,United States of America
2604,Asics Corporation,Investor,Japan
2605,Asics Corporation,Investor,Japan
2606,Astellas Pharma Inc.,Investor,Japan
2607,Atlantia,Investor,Italy
2608,Atos SE,Investor,France
2609,Atos SE,Investor,France
2610,"Autodesk, Inc.",Investor,United States of America
2611,"Autodesk, Inc.",Investor,United States of America
2612,"Autodesk, Inc.",Investor,United States of America
2613,"Autodesk, Inc.",Investor,United States of America
2614,"Automatic Data Processing, Inc.",Investor,United States of America
2615,Avaya,Supply Chain,United States of America
2616,Avaya,Supply Chain,United States of America
2617,Aviva plc,Investor,United Kingdom of Great Britain and Northern Ireland
2618,Aviva plc,Investor,United Kingdom of Great Britain and Northern Ireland
2619,Ball Corporation,Investor,United States of America
2620,Bank of America,Investor,United States of America
2621,Bank of America,Investor,United States of America
2622,Bank of America,Investor,United States of America
2623,Baxter International Inc.,Investor,United States of America
2624,Biogen Inc.,Investor,United States of America
2625,Biogen Inc.,Investor,United States of America
2626,BlackRock,Investor,United States of America
2627,Bristol-Myers Squibb,Investor,United States of America
2628,BT Group,Investor,United Kingdom of Great Britain and Northern Ireland
2629,Burberry Group,Investor,United Kingdom of Great Britain and Northern Ireland
2630,CA Technologies,Investor,United States of America
2631,Cap Gemini,Investor,France
2632,Cap Gemini,Investor,France
2633,Carlsberg Breweries A/S,Investor,Denmark
2634,Carlsberg Breweries A/S,Investor,Denmark
2635,Carrefour,Investor,France
2636,Carrefour,Investor,France
2637,"Casio Computer Co., Ltd.",Investor,Japan
2638,"Casio Computer Co., Ltd.",Investor,Japan
2639,"Casio Computer Co., Ltd.",Investor,Japan
2640,"Casio Computer Co., Ltd.",Investor,Japan
2641,"Casio Computer Co., Ltd.",Investor,Japan
2642,"Casio Computer Co., Ltd.",Investor,Japan
2643,"Casio Computer Co., Ltd.",Investor,Japan
2644,"Casio Computer Co., Ltd.",Investor,Japan
2645,Commerzbank AG,Investor,Germany
2646,"CommScope, Inc.",Investor,United States of America
2647,Constantia Flexibles,Supply Chain,Austria
2648,Constantia Flexibles,Supply Chain,Austria
2649,Covanta Energy Corporation,Investor,United States of America
2650,Credit Agricole,Investor,France
2651,Croda International,Investor,United Kingdom of Great Britain and Northern Ireland
2652,"Daikin Industries, Ltd.",Investor,Japan
2653,"Daikin Industries, Ltd.",Investor,Japan
2654,Danone,Investor,France
2655,Dentsu Inc.,Investor,Japan
2656,Deutsche Bank AG,Investor,Germany
2657,Diageo Plc,Investor,United Kingdom of Great Britain and Northern Ireland
2658,Diageo Plc,Investor,United Kingdom of Great Britain and Northern Ireland
2659,The Dow Chemical Company,Investor,United States of America
2660,E.ON SE,Investor,Germany
2661,eBay Inc.,Investor,United States of America
2662,Electrolux,Investor,Sweden
2663,Electrolux,Investor,Sweden
2664,EDF,Investor,France
2665,EDF,Investor,France
2666,Eni SpA,Investor,Italy
2667,Eni SpA,Investor,Italy
2668,ERG S.p.A,Investor,Italy
2669,ERG S.p.A,Investor,Italy
2670,ERG S.p.A,Investor,Italy
2671,Ericsson,Investor,Sweden
2672,Ericsson,Investor,Sweden
2673,Estee Lauder Companies Inc.,Investor,United States of America
2674,Leonardo,Investor,Italy
