iso,doc_name,doc_type,X1,X2,X3,X4,X5,X6,X7,X8,X9,top_topic
AGO,AGO-revised_first_ndc-EN.html,NDC,0.11676446218012787,0.3727688663618231,0.2668392090506032,0.02220627195042593,0.008725303999298918,0.03764491824002315,0.13862369583836182,0.004915161739791105,0.03151211063954473,2
ALB,ALB-revised_first_ndc-EN.html,NDC,0.0015905142408073774,0.8465226740545394,1.0624800195043232e-4,0.06805563062324264,0.008727091976180648,1.5967713147854048e-4,3.9795535888682837e-4,1.0301514825865596e-4,0.0743371934646554,2
AND,AND-revised_first_ndc-EN_TR.html,NDC,0.010286206324336277,0.023456695433105156,0.008114355997076095,0.0034524076568565364,0.042464585952074446,0.5800235338262123,0.3295669087150163,0.0015955372481962769,0.0010397688471264445,6
ARM,ARM-revised_first_ndc-EN.html,NDC,0.08030478675605911,0.008264162776041695,0.1136357251039418,0.647409883589635,0.08829288966792244,0.003363795544591615,0.005730414183856988,0.008858353672519527,0.0441399887054318,4
ATG,ATG-revised_first_ndc-EN.html,NDC,0.7952001397452381,5.51995371447379e-4,3.4554307274368425e-4,0.03772912735224888,3.058250433175247e-4,7.618214826810905e-4,3.591889036356891e-5,0.034997460866149147,0.13007216817581055,1
AUS,AUS-archived_revised_first_ndc-EN.html,NDC,0.02510210867219805,0.017648248902006513,0.005132395620243922,0.07244624018369411,0.00815529336906925,0.01936806368112919,0.0014355507659450455,0.8460092854551694,0.004702813350544064,8
AUS,AUS-revised_first_ndc-EN.html,NDC,0.04164578165788722,0.001027736729353635,6.949949986490713e-4,0.5249233369631696,0.0018571235812673106,4.435790898119798e-4,2.718323725735135e-4,0.4282257100813452,9.099045259422275e-4,4
AUT,AUT-revised_first_ndc-EN.html,NDC,2.7383714489077584e-4,3.9151623920574084e-4,5.957778681645651e-5,0.9977939317755449,3.4641409919779247e-4,8.301009701911233e-6,3.4535451715317095e-4,3.4428415238262116e-4,4.367832751068617e-4,4
BEL,BEL-revised_first_ndc-EN.html,NDC,2.7383714489077584e-4,3.9151623920574084e-4,5.957778681645651e-5,0.9977939317755449,3.4641409919779247e-4,8.301009701911233e-6,3.4535451715317095e-4,3.4428415238262116e-4,4.367832751068617e-4,4
BGD,BGD-archived_revised_first_ndc-EN.html,NDC,0.004836051267210755,0.39377886993310546,0.016485479325782867,0.014874454224126855,0.0059131821433928,0.03086951733054895,0.005157067077741751,0.5220111312133218,0.00607424748476875,8
BGD,BGD-revised_first_ndc-EN.html,NDC,0.007109082587611446,0.8019493423989995,5.748102607552794e-4,0.09249588025993459,0.0014262062660014053,9.553968796012787e-4,5.667412306326901e-4,0.0636175331595678,0.03130500695689588,2
BGR,BGR-revised_first_ndc-EN.html,NDC,2.7383714489077584e-4,3.9151623920574084e-4,5.957778681645651e-5,0.9977939317755449,3.4641409919779247e-4,8.301009701911233e-6,3.4535451715317095e-4,3.4428415238262116e-4,4.367832751068617e-4,4
BHR,BHR-revised_first_ndc-EN.html,NDC,0.006890398229015094,0.2837430142251249,0.006006947577348859,0.11626763249556417,0.03698762175632359,0.015286116787230603,0.21683533258428195,0.31543082707413245,0.002552109270978099,8
