,Constituency,Count
2,Constituency - Business and Industry,117
12,Constituency - Business and Industry2,9
5,Constituency - ENGO,37
0,Constituency - Environmental,311
3,Constituency - Environmental CAN,109
10,Constituency - Environmental CJN,12
11,Constituency - Farmers,12
6,Constituency - Indigenous peoples,29
8,Constituency - Local government and Municipal authorities,20
1,Constituency - Research and independent,299
13,Constituency - Trade Unions,7
7,Constituency - Women and Gender,21
4,Constituency - Youth,44
9,not yet affiliated/no data,19
