,Constituency,Count
3,Constituency - Business and Industry,119
13,Constituency - Business and Industry2,2
5,Constituency - ENGO,47
1,Constituency - Environmental,271
2,Constituency - Environmental CAN,135
9,Constituency - Environmental CJN,18
11,Constituency - Farmers,10
7,Constituency - Indigenous peoples,28
8,Constituency - Local government and Municipal authorities,24
0,Constituency - Research and independent,310
12,Constituency - Trade Unions,8
10,Constituency - Women and Gender,12
6,Constituency - Youth,41
4,not yet affiliated/no data,53
