,Constituency,Count
0,Constituency - Business and Industry,186
13,Constituency - Business and Industry2,0
1,Constituency - ENGO,24
2,Constituency - Environmental,558
3,Constituency - Environmental CAN,118
4,Constituency - Environmental CJN,16
5,Constituency - Farmers,19
6,Constituency - Indigenous peoples,47
7,Constituency - Local government and Municipal authorities,36
8,Constituency - Research and independent,434
9,Constituency - Trade Unions,10
10,Constituency - Women and Gender,32
11,Constituency - Youth,89
12,not yet affiliated/no data,28
