,Constituency,Count
2,BINGO,116
0,ENGO,407
8,Farmers,9
5,IPO,29
6,LGMA,20
1,RINGO,277
9,TUNGO,7
7,Women and Gender,19
3,Youth,39
4,not yet affiliated/no data,30
