,Constituency,Count
2,BINGO,126
0,ENGO,469
8,Farmers,12
4,IPO,29
6,LGMA,20
1,RINGO,299
9,TUNGO,7
5,Women and Gender,21
3,Youth,44
7,not yet affiliated/no data,19
