,Constituency,Count
2,BINGO,186
0,ENGO,716
8,Farmers,19
4,IPO,47
5,LGMA,36
1,RINGO,434
9,TUNGO,10
6,Women and Gender,32
3,Youth,89
7,not yet affiliated/no data,28
