,Country,Count,ISO3,Continent,Income_Group
0,United States of America,231,USA,North America,High income
1,United Kingdom of Great Britain and Northern Ireland,83,GBR,Europe,High income
2,Germany,76,DEU,Europe,High income
3,France,56,FRA,Europe,High income
4,Canada,50,CAN,North America,High income
5,China,43,CHN,Asia,Upper middle income
6,Belgium,40,BEL,Europe,High income
7,Switzerland,39,CHE,Europe,High income
8,Japan,35,JPN,Asia,High income
9,Nigeria,23,NGA,Africa,Lower middle income
10,Netherlands,22,NLD,Europe,High income
11,Spain,22,ESP,Europe,High income
12,Australia,21,AUS,Oceania,High income
13,Brazil,21,BRA,South America,Upper middle income
14,India,21,IND,Asia,Lower middle income
15,Peru,20,PER,South America,Upper middle income
16,Italy,19,ITA,Europe,High income
17,Denmark,18,DNK,Europe,High income
18,Sweden,13,SWE,Europe,High income
19,Morocco,11,MAR,Africa,Lower middle income
20,Bangladesh,11,BGD,Asia,Lower middle income
21,Norway,10,NOR,Europe,High income
22,Nepal,9,NPL,Asia,Lower middle income
23,Austria,8,AUT,Europe,High income
24,Republic of Korea,8,KOR,Asia,High income
25,South Africa,8,ZAF,Africa,Upper middle income
26,Philippines,8,PHL,Asia,Lower middle income
27,Kenya,8,KEN,Africa,Lower middle income
28,Mexico,7,MEX,North America,Upper middle income
29,Argentina,7,ARG,South America,Upper middle income
30,Malaysia,5,MYS,Asia,Upper middle income
31,Turkey,5,TUR,Asia,Upper middle income
32,Israel,5,ISR,Asia,High income
33,Colombia,4,COL,South America,Upper middle income
34,Ukraine,4,UKR,Europe,Lower middle income
35,Singapore,4,SGP,Asia,High income
36,Ecuador,4,ECU,South America,Upper middle income
37,Thailand,4,THA,Asia,Upper middle income
38,Russian Federation,4,RUS,Europe,Upper middle income
39,New Zealand,4,NZL,Oceania,High income
40,Panama,4,PAN,North America,Upper middle income
41,Ghana,3,GHA,Africa,Lower middle income
42,Finland,3,FIN,Europe,High income
43,Lebanon,3,LBN,Asia,Upper middle income
44,Guatemala,3,GTM,North America,Upper middle income
45,Togo,2,TGO,Africa,Low income
46,Bolivia (Plurinational State of),2,BOL,South America,Lower middle income
47,United Republic of Tanzania,2,TZA,Africa,Lower middle income
48,Pakistan,2,PAK,Asia,Lower middle income
49,Czechia,2,CZE,Europe,High income
50,Ireland,2,IRL,Europe,High income
51,Nicaragua,2,NIC,North America,Lower middle income
52,Luxembourg,2,LUX,Europe,High income
53,Cameroon,2,CMR,Africa,Lower middle income
54,Saudi Arabia,1,SAU,Asia,High income
55,Democratic Republic of the Congo,1,COD,Africa,Low income
56,Cuba,1,CUB,North America,Upper middle income
57,Poland,1,POL,Europe,High income
58,Côte d'Ivoire,1,CIV,Africa,Lower middle income
59,Sri Lanka,1,LKA,Asia,Lower middle income
60,Libya,1,LBY,Africa,Upper middle income
61,Armenia,1,ARM,Asia,Upper middle income
62,Iran (Islamic Republic of),1,IRN,Asia,Lower middle income
63,El Salvador,1,SLV,North America,Lower middle income
64,Dominican Republic,1,DOM,North America,Upper middle income
65,Senegal,1,SEN,Africa,Lower middle income
66,Holy See,1,VAT,Europe,
67,San Marino,1,SMR,Europe,High income
68,Uruguay,1,URY,South America,High income
69,Uganda,1,UGA,Africa,Low income
70,Costa Rica,1,CRI,North America,Upper middle income
71,Chile,1,CHL,South America,High income
72,Kazakhstan,1,KAZ,Asia,Upper middle income
73,Chad,1,TCD,Africa,Low income
74,Honduras,1,HND,North America,Lower middle income
