,Constituency,Count
2,BINGO,121
0,ENGO,471
8,Farmers,10
5,IPO,28
6,LGMA,24
1,RINGO,310
9,TUNGO,8
7,Women and Gender,12
4,Youth,41
3,not yet affiliated/no data,53
