,Topic4,Topic7,Topic8,Topic9,Topic10,Topic11,Topic13,Topic14,Topic15,Topic16,Topic18,const
0,0.0132145602256059,8.873186743585393e-05,0.1414437741041183,0.0158874932676553,0.0001775656128302,9.437919652555138e-05,0.0947492569684982,0.2483295649290084,0.2500976324081421,0.004390190821141,0.2222041636705398,RINGO
1,0.0743503049015998,0.1890056878328323,0.0001440122141502,0.0071275625377893,0.0154662784188985,6.848495831945911e-05,0.0522699132561683,0.3978439271450043,0.0002634520642459,0.2462540119886398,0.0134106772020459,ENGO
2,0.0001440573105355,0.060152992606163,9.433302329853176e-05,0.0474462956190109,0.216386467218399,4.5170861994847655e-05,0.0210281871259212,0.286142885684967,0.1114770770072937,0.2569975554943084,4.3670595914591104e-05,ENGO
3,0.0081898728385567,3.325989382574335e-05,7.344017649302259e-05,0.0230826139450073,0.1995863318443298,0.0299672614783048,0.5222289562225342,0.0846371799707412,0.1219684034585952,0.006106964778155,3.419666245463304e-05,ENGO
4,0.0279900133609771,0.0471128486096859,0.0346494503319263,0.0027252703439444,0.0407517775893211,0.0056913909502327,0.0002158792631234,0.62108314037323,0.1728828847408294,0.0467974245548248,5.135776154929772e-05,ENGO
5,0.0241184551268816,0.0310051366686821,0.0002272094134241,0.1228883937001228,0.2003867030143737,0.001105475006625,0.0004552005848381,0.4560236930847168,0.084311805665493,0.0792741253972053,0.0001047396435751,ENGO
6,0.0011855117045342,0.0003591644635889,0.0189487859606742,0.0014544491423293,0.0535897985100746,0.0003819308185484,0.0014613883104175,0.3291113376617431,0.0839700773358345,0.508819043636322,0.0003693741455208,ENGO
7,0.0007065848913043,0.0002151058579329,0.0004744320758618,0.0008434911142103,0.1277806162834167,0.0002287936076754,0.08418969810009,0.2734411358833313,0.0009021483710967,0.3124025166034698,0.0198259875178337,ENGO
8,0.211018219590187,3.405462484806776e-05,0.0007507095579057,0.0001535070477984,0.1957418024539947,0.0909291431307792,0.0471667349338531,0.2829985916614532,0.0533037818968296,0.1132788732647895,3.501614628476091e-05,ENGO
9,0.0028170163277536,0.0049525815993547,5.917833186686039e-05,0.0001092637830879,0.0382966287434101,0.0569133758544921,0.0001103815375245,0.2303877472877502,0.6243102550506592,0.041990365833044,2.7326570489094596e-05,not yet affiliated/no data
10,0.012664295732975,4.463374716578983e-05,0.0172545332461595,0.1207859069108963,8.947135211201385e-05,4.746743070427328e-05,0.0007001541671343,0.3706402778625488,0.1510840207338333,0.0002208328805863,0.0517354123294353,RINGO
11,0.2129519283771515,6.241326627787203e-05,0.0925854966044426,0.019131327047944,0.0435492880642414,6.636998296016827e-05,0.0002511426864657,0.583631694316864,0.0313619785010814,0.016283493489027,6.417487747967243e-05,ENGO
12,0.0020791324786841,0.0090119391679763,0.0001783867191988,0.0734839886426925,0.3034426271915436,0.0871540382504463,0.1160663142800331,0.2800208926200866,0.0871412754058837,0.0280561167746782,8.270787657238543e-05,ENGO
13,0.0003439899592194,0.2230111509561538,0.0002211182145401,0.0259361062198877,0.2267447859048843,0.0625732764601707,0.0354105271399021,0.3097171187400818,0.1111549735069274,0.0046868184581398,0.0001028719125315,Youth
14,0.000126276834635,0.0038573665078729,8.35144892334938e-05,0.0873283222317695,0.0074408967047929,0.1406970173120498,0.0001527057902421,0.1896629333496093,0.5212833881378174,0.0027184558566659,0.0103212585672736,ENGO
15,0.0002156353730242,6.25688408035785e-05,0.0137180490419268,0.0362853780388832,0.0020693333353847,0.0989654213190078,0.1434475183486938,0.2614544034004211,0.1402327567338943,0.3000762164592743,0.0024675149470567,not yet affiliated/no data
16,0.0307128895074129,0.0959498211741447,0.0166285689920187,0.0534638538956642,0.0023292386904358,0.0589374266564846,0.0001641127601033,0.4256440699100494,0.2913439869880676,0.0247549936175346,3.649627979029901e-05,RINGO
17,0.0163235198706388,0.0057292939163744,0.0042509022168815,0.0002321562787983,0.037052821367979,0.3674205839633941,0.021143976598978,0.147640198469162,0.2129682451486587,0.0715047642588615,0.1156780198216438,not yet affiliated/no data
