name,entity_type,constituency,coordinator,city,country,remarks
Asociación Ambiente y Sociedad,Non-governmental organizations,Constituency - Environmental CAN,Ms. Astrid Milena Bernal Rubio,Bogotá,Colombia,
Asociación Civil Oikos,Non-governmental organizations,Constituency - Environmental,Mr. Eric Chavez,Lima,Peru,
Asociación Coordinadora Latinoamericana y del Caribe de Pequeños Productores de Comercio Justo,Non-governmental organizations,Constituency - Business and Industry2,Ms. Xiomara J. Paredes,San Salvador,El Salvador,
Asociación Cubana de las Naciones Unidas,Non-governmental organizations,Constituency - Environmental,Ms. Soraya Elena Alvarez Nuñez,La Habana,Cuba,
Asociación de Comunidades Forestales de Petén,Non-governmental organizations,,Mr. Marcedonio Cortave,Petén,Guatemala,
Asociación Española de la Industria Eléctrica,Non-governmental organizations,,Ms. Marina Serrano,Madrid,Spain,completed manually
Asociación Interamericana para la Defensa del Ambiente,Non-governmental organizations,Constituency - Environmental CAN,Sra. Florencia Ortúzar,Oakland,United States of America,
Asociación Interétnica de Desarrollo de la Selva Peruana,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Roberto Alfonso Espinoza Llanos,Lima,Peru,
Asociación Nacional de Empresas de Agua y Saneamiento,Non-governmental organizations,Constituency - Business and Industry,Mr. Roberto Olivares,Distrito Federal,Mexico,
Asociación Nacional para la Conservación de la Naturaleza,Non-governmental organizations,Constituency - Environmental,Sra. Rita Spadafora Mejía,Panama,Panama,
Asociación para la Investigación y Desarrollo Integral,Non-governmental organizations,Constituency - Environmental,Mr. Jaime Nalvarte Armas,Lima,Peru,
Asociacion para la Naturaleza y Desarrollo Sostenible,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Alejandro Argumedo,Cusco,Peru,
Asociación Proteger,Non-governmental organizations,Constituency - Environmental,Sr. Juan H. Ortiz Burgos,Buenos Aires,Argentina,
Asociación Regional de Pueblos Indígenas de la Selva Central,Non-governmental organizations,Constituency - Indigenous peoples,Sr. Lyndon Pishagua Chinchuya,Satipo,Peru,
Assemblée des départements de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Benjamin Eloire,Paris,France,
Association Actions Vitales Pour Le Developpement Durable,Non-governmental organizations,Constituency - Youth,Mr. Affana Affana Jean Paul Brice,Yaounde,Cameroon,completed manually from UNFCCC website
Association Climate-KIC,Non-governmental organizations,Constituency - Business and Industry,Ms. Julia Franchi Scarselli,London,United Kingdom of Great Britain and Northern Ireland,
Association des clubs des amis de la nature du Cameroun,Non-governmental organizations,Constituency - Environmental,Mr. Raphaël Hanmbock,Douala,Cameroon,
Association des communautés urbaines de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Philippe Angotti,Paris,France,
Association des maires de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Gwenola Rabier Stephan,Paris,France,
Association des Regions de France,Non-governmental organizations,Constituency - Local government and Municipal authorities,M. Guilhem Isaac-Georges,Paris,France,
Association des Scientifiques Environnementalistes pour un Développement Intégré,Non-governmental organizations,Constituency - Environmental,Mr. Mohamed-Awali Ouro-Djeri Djobo,Lome,Togo,
Association for Development and Research of Sustainable Habitats,Non-governmental organizations,,,New Delhi,India,completed manually
Association Française des Entreprises pour l'Environnement,Non-governmental organizations,Constituency - Environmental,Mr. David Laurent,Paris,France,
Association française des entreprises privées,Non-governmental organizations,,Mr. Laurent Burelle,Paris,France,completed manually
Association Française des Petits Debrouillards,Non-governmental organizations,,Ms. Ghislaine Hierso,Paris,France,completed manually
Association Française Pour les Nations Unies - Aix-en-Provence,Non-governmental organizations,Constituency - Research and independent,Ms. Marion Claire Eugénie Lemoine ep. Schonne,Aix-en-Provence,France,
Association Internationale des Maires et responsables entièrement ou partiellement Francophones,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mme Julie Guillaume,Paris,France,completed manually from UNFCCC website
Association La Voûte Nubienne,Non-governmental organizations,Constituency - Environmental,Mme Cécilia Rinaudo,Carrieres Sur Seine,France,
Association négaWatt,Non-governmental organizations,Constituency - Research and independent,Mr. Stéphane Chatelin,Alixan,France,
Association Noé 21,Non-governmental organizations,Constituency - Environmental,Mr. Jerome Strobel,Genéve,Switzerland,
Association of American Geographers,Non-governmental organizations,Constituency - Research and independent,Ms. Candida Livia Mannozzi,Washington,United States of America,
Association of Consulting Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. Clemens Marcel Kremer,Berlin,Germany,
Association of Overseas Countries and Territories of the European Union,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Nicolas Ferellec,Brussels,Belgium,
"Association of Science - Technology Centers, Inc",Non-governmental organizations,Constituency - Research and independent,Mr. Walter Staveloz,Washington,United States of America,
Association pour la promotion de la recherche sur l'economie de carbon,Non-governmental organizations,,,Paris,France,completed manually
Association pour la promotion et le développement international des éco-entreprises de France,Non-governmental organizations,Constituency - Business and Industry,Ms. Florence Jasmin,Paris,France,
Association Québécoise de Lutte contre la Pollution Atmosphérique,Non-governmental organizations,Constituency - Environmental CAN,Mr. Alain Francois Brunel,St. Léon -de-Standon,Canada,
Ateneo de Manila University,Non-governmental organizations,Constituency - Research and independent,Mr. Antonio Gabriel La Viña,Quezon City,Philippines,
Australian Climate Coolers Limited - 1 Million Women,Non-governmental organizations,Constituency - Environmental,Ms. Natalie Isaacs,The Rocks,Australia,
Australian Conservation Foundation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Kelly-Ann O'Shanassy,Carlton,Australia,
Australian Industry Greenhouse Network,Non-governmental organizations,Constituency - Business and Industry,Ms. Susan Smith,Kingston,Australia,
Australian Industry Group,Non-governmental organizations,Constituency - Business and Industry,Mr. Peter Burn,Sydney,Australia,
Australian National University,Non-governmental organizations,Constituency - Research and independent,Mr. Mark Howden,Acton,Australia,
Australian Youth Climate Coalition,Non-governmental organizations,Constituency - Youth,Ms. Hillary Eve Montague,Carlton,Australia,
Avaaz Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Risalat Khan,New York,United States of America,
Avelife (Ltd.),Non-governmental organizations,Constituency - Youth,Mr. Jin Quan Mark Cheng,Singapore,Singapore,
Avenir Climatique,Non-governmental organizations,Constituency - Youth,Ms. Léa Cruse,Paris,France,
Bangladesh Centre for Advanced Studies,Non-governmental organizations,Constituency - Research and independent,Mr. A. Atiq Rahman,Dhaka,Bangladesh,
Bangladesh Environmental Lawyers Association,Non-governmental organizations,Constituency - Environmental CAN,Ms. Syeda Hasan,Dhaka,Bangladesh,
Bangladesh Resource Centre for Indigenous Knowledge,Non-governmental organizations,Constituency - ENGO,Mr. Sukanta Kumar Sen,Dhaka,Bangladesh,
Basel Agency for Sustainable Energy,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Magallon,Basel,Switzerland,
Basque Centre for Climate Change,Non-governmental organizations,Constituency - Research and independent,Ms. Nerea Ortiz,Bilbao,Spain,
Bay Area Council Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Adrian Joseph Covert,San Francisco,United States of America,
BBC Media Action,Non-governmental organizations,Constituency - Research and independent,Ms. Lisa Robinson,London,United Kingdom of Great Britain and Northern Ireland,
Beijing Emissions Trading Association,Non-governmental organizations,Constituency - Environmental,Ms. Ling Shu Rao,Beijing,China,completed manually
Beijing NGO Association for International Exchanges,Non-governmental organizations,,Ms. Pu Jin,Beijing,China,
Bellona Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Olav Oye,Oslo,Norway,
Bianca Jagger Human Rights Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Bianca Jagger,London,United Kingdom of Great Britain and Northern Ireland,
BirdLife International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Julie Hammer-Monart,Cambridge,United Kingdom of Great Britain and Northern Ireland,
Bizi !,Non-governmental organizations,,,Bayonne,France,completed manually
Blue Green Alliance Foundation,Non-governmental organizations,Constituency - Trade Unions,Ms. Kelly Marie Schwinghammer,Minneapolis,United States of America,
Boston University,Non-governmental organizations,Constituency - Research and independent,Mr. John Prandato,Boston,United States of America,
Both ENDS Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Wiert Wiertsema,Amsterdam,Netherlands,
Boticário Group Foundation for Nature Protection,Non-governmental organizations,Constituency - Environmental,Mr. Andre Rocha Ferretti,Curitiba,Brazil,
Brahma Kumaris World Spiritual University,Non-governmental organizations,Constituency - Research and independent,Ms. Sonja Maria Ohlsson,Rajasthan,India,
Bread for the World,Non-governmental organizations,Constituency - Environmental CAN,Ms. Annika Rach,Berlin,Germany,
"Brighter Green, Inc.",Non-governmental organizations,Constituency - Environmental CAN,Ms. Mia MacDonald,New York,United States of America,
British Columbia Council for International Cooperation,Non-governmental organizations,Constituency - Environmental,Ms. Deborah Glaser,Vancouver,Canada,
British Council,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Carolyn Bardsley,London,United Kingdom of Great Britain and Northern Ireland,
Brown University - Watson Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Deborah Gordon,Providence RI,United States of America,
Buddhist Tzu Chi Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Debra Boudreaux,San Dimas,United States of America,
Business and Industry Advisory Committee to the OECD,Non-governmental organizations,Constituency - Business and Industry,Mr. Dominik Kummerle,Paris,France,
Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Lisa Jacobson,Washington,United States of America,
Business Council of Australia,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Kate Wilson,Melbourne,Australia,
Business for Social Responsibility,Non-governmental organizations,Constituency - Business and Industry,Ms. Samantha Harris,San Francisco,United States of America,
Business Unity South Africa,Non-governmental organizations,Constituency - Business and Industry,Ms. Corinna Gardner,Johannesburg,South Africa,
BUSINESSEUROPE,Non-governmental organizations,Constituency - Business and Industry,Ms. Jessica Britte,Brussels,Belgium,completed manually from UNFCCC website
C40 Cities Climate Leadership Group,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Agathe Cavicchioli,New York,United States of America,
"Ca' Foscari University, Venice",Non-governmental organizations,Constituency - Research and independent,Ms. Martina Marian,Venice,Italy,
Canadian Federation of Agriculture,Non-governmental organizations,Constituency - Farmers,Mr. Greg Warren Northey,Ottawa,Canada,
Carbon Capture and Storage Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Judith Shapiro-Kønigshøfer,London,United Kingdom of Great Britain and Northern Ireland,
Carbon Market Institute Limited,Non-governmental organizations,Constituency - Business and Industry,Mr. Bradley Kerin,Melbourne,Australia,
"Carbonfund.org Foundation, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Brian McFarland,Washington,United States of America,
CARE International,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sven Harmeling,Copenhagen N,Denmark,
Caritas Internationalis,Non-governmental organizations,Constituency - Research and independent,Ms. Martina Liebsch,Citta del Vaticano,Holy See,
Carnegie Institution for Washington,Non-governmental organizations,Constituency - Research and independent,Mr. Christopher Bower Field,Washington,United States of America,
Carre Geo & Environnement,Non-governmental organizations,Constituency - Environmental CAN,Mr. Ibrahim Mfondoun Mbamoko,Douala,Cameroon,
CDP Worldwide,Non-governmental organizations,Constituency - Business and Industry,Ms. Jennifer Verity Gleed,London,United Kingdom of Great Britain and Northern Ireland,
CECODHAS - European Liaison Committee for Social Housing,Non-governmental organizations,Constituency - Research and independent,Ms. Alice Pittini,Brussels,Belgium,
CEE Bankwatch Network,Non-governmental organizations,Constituency - Environmental,Mr. Petr Hlobil,Prague 9,Czechia,
Center for American Progress,Non-governmental organizations,Constituency - Research and independent,Mr. Alan Yu,Washington,United States of America,
Center for Biological Diversity,Non-governmental organizations,Constituency - Environmental CAN,Ms. Andrea Weber,Tucson,United States of America,
Center for Clean Air Policy,Non-governmental organizations,Constituency - Research and independent,Ms. Carolina Aguirre Echeverri,Washington DC,United States of America,
Center for Climate and Energy Solutions,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Huang,Arlington,United States of America,
"Center for Climate Strategies, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Scott Williamson,Washington,United States of America,
Center for Environment and Sustainable Development Studies and Application,Non-governmental organizations,Constituency - Environmental,Ms. Catherine Razavi,Tehran,Iran (Islamic Republic of),
"Center for Environmental Information, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Elizabeth Thorndike,Rochester,United States of America,
Center for Food Safety,Non-governmental organizations,Constituency - Environmental CJN,Ms. Debbie Barker,Washington,United States of America,
Center for Global Development,Non-governmental organizations,Constituency - Research and independent,Ms. Michele de Nevers,Washington DC,United States of America,
Center for International Climate and Environmental Research,Non-governmental organizations,Constituency - Research and independent,Mr. Christian Bjornaes,Oslo,Norway,
Center for International Environmental Law,Non-governmental organizations,Constituency - Environmental CAN,Mr. Sébastien Duyck,Washington,United States of America,
Center for Natural Resource Studies,Non-governmental organizations,Constituency - Environmental,Mr. Anisul M. Islam,Dhaka,Bangladesh,
Center for Policy Research,Non-governmental organizations,Constituency - Research and independent,Mr. Navroz Dubash,New Delhi,India,completed manually from UNFCCC website
Center for Sustainable Rural Development,Non-governmental organizations,Constituency - Farmers,Mr. Thuan Van Nguyen,Hanoi,Viet Nam,
Center of Life Institute,Non-governmental organizations,Constituency - Environmental,Ms. Alice Thuault,Cuiabá,Brazil,
