name,entity_type,constituency,coordinator,city,country,remarks
Climate Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Brian Reid Fowler,Washington,United States of America,
Climate Institute (Australia) Limited,Non-governmental organizations,Constituency - Research and independent,Mr. Erwin Jackson,Sydney,Australia,
Climate Justice Program,Non-governmental organizations,Constituency - Environmental CAN,Mr. Stephen Leonard,Stanwell Tops,Australia,
Climate Law and Policy Project,Non-governmental organizations,Constituency - Environmental CAN,Ms. Kristen Hite,Chevy Chase,United States of America,
Climate Markets and Investment Association Limited,Non-governmental organizations,Constituency - Business and Industry,Ms. Margaret-Ann Splawn,London,United Kingdom of Great Britain and Northern Ireland,
Climate Parliament,Non-governmental organizations,Constituency - Environmental,Mr. James Corre,Copenhagen,Denmark,
Climate Policy Center,Non-governmental organizations,Constituency - Environmental,Ms. Pamela Jean Pearson,Washington DC,United States of America,
"Climate Policy Initiative, Inc",Non-governmental organizations,Constituency - Research and independent,Ms. Kaye Michelle Bettney,San Francisco,United States of America,
Climate Strategies,Non-governmental organizations,Constituency - Environmental,Mr. Scott Williamson,Washington,United States of America,
ClimateNet,Non-governmental organizations,Constituency - Research and independent,Mr. Björn Dransfeld,Hamburg,Germany,
climatepolicy.net e.V.,Non-governmental organizations,Constituency - Research and independent,M. Niklas Eberhard Hohne,Cologne,Germany,completed manually from UNFCCC website
CliMates,Non-governmental organizations,Constituency - Youth,Ms. Sarah Bittner,Paris,France,
ClimateWorks Foundation,Non-governmental organizations,Constituency - ENGO,Mr. Charles McElwee,San Francisco,United States of America,
Club UNESCO du centre d'action femme et enfant,Non-governmental organizations,Constituency - Environmental,Ms. Georgette Bilonda Mpenda,Kinshasa,Democratic Republic of the Congo,
CO2GeoNet - The European Network of Excellence on Geological Storage of CO2,Non-governmental organizations,Constituency - Research and independent,Mr. Sergio Persoglia,Orleans,France,
Coastal Association for Social Transformation Trust,Non-governmental organizations,Constituency - Environmental CAN,Mr. Syed Aminul Hoque,Dhaka,Bangladesh,
Coastal Development Partnership,Non-governmental organizations,Constituency - Environmental CAN,Mr. Md. Atiqurrahman Tipu,Dhaka,Bangladesh,
"COBASE, Cooperativa Tecnico Scientifica di Base",Non-governmental organizations,Constituency - Environmental,Mr. Massimo Pieri,Rome,Italy,
Colegio de Abogados Especialistas en Derecho Ambiental de Colombia,Non-governmental organizations,Constituency - Research and independent,Mr. Gilberto Rincon,Bogotá,Colombia,
Collège des Directeurs du Développement Durable,Non-governmental organizations,Constituency - Environmental,Mme Sylvianne Villaudière,Paris,France,
College of Saint Benedict,Non-governmental organizations,Constituency - Research and independent,Ms. Corrie Grosse,St. Joseph,United States of America,
College of the Atlantic,Non-governmental organizations,Constituency - Research and independent,Ms. Doreen Stabinsky,Bar Harbor,United States of America,
Colorado State University,Non-governmental organizations,Constituency - Research and independent,Ms. Aleta Rudeen Weller,Fort Collins,United States of America,
Columbia University,Non-governmental organizations,Constituency - Research and independent,Ms. Pamela Ann Henderson,New York,United States of America,
Comité 21 / Club France Développement Durable,Non-governmental organizations,Constituency - ENGO,Mme Sarah Schönfeld,Paris,France,
Comité Catholique contre la Faim et pour le Développement – Terre solidaire,Non-governmental organizations,Constituency - Environmental,Mme Jeanne-Maureen Jorand,Paris,France,completed manually from UNFCCC website
Comité pour le développement durable en santé,Non-governmental organizations,Constituency - Environmental,Ms. Karine Chagnes,AMBOISE,France,
Comite pour les relations Nationales et internationales des Associations de Jeunesse et d'Education Populaire,Non-governmental organizations,Constituency - Youth,Ms. Irene Pequerul,Paris,France,
Committee for a Constructive Tomorrow,Non-governmental organizations,Constituency - Research and independent,Mr. Craig Rucker,Washington,United States of America,
Commonwealth Club of California,Non-governmental organizations,Constituency - ENGO,Mr. Greg Dalton,San Francisco,United States of America,
Community Forestry International,Non-governmental organizations,Constituency - Research and independent,Mr. Mark Poffenberger,Antioch,United States of America,
Competitive Enterprise Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Myron Ebell,Washington,United States of America,
Confederación de Nacionalidades Amazónicas del Perú,Non-governmental organizations,Constituency - ENGO,Mr. Gustavo Enrique Bustamante,Lima,Peru,
Confederación Española de Organizaciones Empresariales,Non-governmental organizations,Constituency - Business and Industry,Ms. Cristina Rivero Fernández,Madrid,Spain,
Confédération européenne des propriétaires forestiers,Non-governmental organizations,Constituency - Business and Industry,Mr. Aljoscha Requardt,Brussels,Belgium,
Confederation of Danish Industry,Non-governmental organizations,Constituency - Business and Industry,Mr. Lars Bach Jensen,Copenhagen V.,Denmark,
Confederation of European Paper Industries,Non-governmental organizations,Constituency - Business and Industry,Mr. Jori Ringman,Brussels,Belgium,
Confederation of Indian Industry,Non-governmental organizations,Constituency - Business and Industry,Ms. Seema Arora,New Delhi,India,
Conférence des Présidents d'Université,Non-governmental organizations,,Mr. Louis Vogel,Paris,France,completed manually
Congregation of Our Lady of Mount Carmel,Non-governmental organizations,Constituency - Research and independent,Mr. Eduardo Agosta Scarel,New Orleans,United States of America,
Conseil de la jeunesse de la communauté française de Belgique,Non-governmental organizations,Constituency - Youth,Ms. Charline Cauwe,Brussels,Belgium,completed manually from UNFCCC website
Conseil des Communes et Régions d'Europe,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Eva Banos de Guisasola,Brussels,Belgium,
"Consejo Civil Mexicano para la Silvicultura Sostinible, A. C.",Non-governmental organizations,Constituency - Environmental,Mr. José Iván Zúñiga Pérez Tejada,Mexico,Mexico,
Conservation International,Non-governmental organizations,Constituency - Environmental CAN,Ms. Carly Siege,Arlington,United States of America,
Consorcio para el Desarrollo Sostenible de la Ecorregión Andina,Non-governmental organizations,,Ms. María Argüello,Lima,Peru,
"Construction, Forestry, Mining and Energy Union",Non-governmental organizations,Constituency - Trade Unions,Mr. Peter Colley,Sydney,Australia,
Consultative Group on Biological Diversity,Non-governmental organizations,Constituency - Environmental,Ms. Paige Brown,San Francisco,United States of America,
Convergences,Non-governmental organizations,Constituency - Environmental,Ms. Emilie Poisson,Paris,France,
Cooperation internationale pour le développement et la solidarité,Non-governmental organizations,Constituency - Environmental CAN,Ms. Lydia Lehlogonolo Mogano Machake,Brussels,Belgium,completed manually from UNFCCC website
Coopération pour le développement et l'amélioration des transports urbains et périurbains,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Mael Martinie,Lyon,France,
Coordinadora Andina de Organizaciones Indígenas,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Norma Aguilar Alvarado,Lima,Peru,
Coordinadora de Desarrollo y Defensa de los Pueblos Indígenas de la Región San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Sr. Ely Tangoa,Lamas,Peru,
Coordinadora Rural de la Papa - Perú,Non-governmental organizations,Constituency - Business and Industry,Mr. Eduardo Calderón de la Barca Quiroz,Ayacucho,Peru,
Coordinating Body of Indigenous Organizations of the Amazon Basin,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Edwin Vasquez Campos,Quito,Ecuador,
Coordination SUD,Non-governmental organizations,Constituency - Environmental,Ms. Bénédicte Hermelin,Paris,France,
Cornell University,Non-governmental organizations,Constituency - Research and independent,Ms. Allison Morrill Chatrchyan,Ithaca,United States of America,
"Corporación Centro de Estudios de Derecho, Justicia y Sociedad",Non-governmental organizations,Constituency - Research and independent,Ms. Vivian Newman,Bogotá,Colombia,
Corporación Fiscalía del Medio Ambiente,Non-governmental organizations,Constituency - Environmental,Sra. Gabriela Burdiles Perucci,Santiago,Chile,
Corporación Grupo Tayrona,Non-governmental organizations,Constituency - Environmental,Sr. Juan Diego Valenzuela,Bogotá,Colombia,
Corporate Europe Observatory Foundation,Non-governmental organizations,Constituency - Research and independent,Mr. Pascoe Sabido,Brussels,Belgium,
Council on Foreign Relations,Non-governmental organizations,Constituency - Research and independent,Mr. Varun Srinivasan Sivaram,New York,United States of America,
CUTS International,Non-governmental organizations,Constituency - Research and independent,Ms. Leslie Debornes,Geneva,Switzerland,
Cœur de Forêt,Non-governmental organizations,Constituency - Environmental,Mme Charlotte Meyrueis,Noisy-le-Grand,France,completed manually from UNFCCC website
Dalhousie University - Marine and Environmental Law Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Meinhard Doelle,Halifax,Canada,
Danish 92 Group - Forum for Sustainable Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Troels Dam Christensen,Copenhagen,Denmark,
Danish Society of Engineers,Non-governmental organizations,Constituency - Trade Unions,Ms. Pernille Hagedorn-Rasmussen,Copenhagen V,Denmark,
Dartmouth College,Non-governmental organizations,Constituency - Research and independent,Ms. Hannah Payson,Hanover,United States of America,
David and Lucile Packard Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Walter Reid,Los Altos,United States of America,
David Suzuki Foundation,Non-governmental organizations,Constituency - Environmental CAN,Mr. Ian Bruce,Vancouver,Canada,
De Montfort University,Non-governmental organizations,Constituency - ENGO,Mr. Subhes Bhattacharyya,Leicester,United Kingdom of Great Britain and Northern Ireland,
"Deep South Center for Environmental Justice, Inc.",Non-governmental organizations,Constituency - Environmental CAN,Ms. Celeste Ann Cooper,New Orleans,United States of America,
Delta Electronics Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Wenkai Hsieh,Taipei,China,
Demand Response and Smart Grid Coalition,Non-governmental organizations,Constituency - Business and Industry,Mr. Dan Delurey,Washington,United States of America,
Derecho Ambiente y Recursos Naturales,Non-governmental organizations,Constituency - Environmental CAN,Ms. Aída Mercedes Gamboa Balbín,Pueblo Libre,Peru,
Designated Operational Entities and Independent Entities Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Werner Betzenbichler,Geneva,Switzerland,
Deutsche Gesellschaft fuer Internationale Zusammenarbeit,Non-governmental organizations,,Ms. Tanja Gönner,Bonn,Germany,completed manually
Development Alternatives,Non-governmental organizations,Constituency - Environmental CAN,Ms. K. Vijaya Lakshmi,New Delhi,India,
Development Fund Norway,Non-governmental organizations,Constituency - Environmental CAN,Sra. Rosalba Ortiz,Oslo,Norway,
Dharma Drum Mountain Buddhist Association,Non-governmental organizations,Constituency - Environmental,,Elmhurst,United States of America,
Diakonia,Non-governmental organizations,Constituency - Environmental,Ms. Anna Axelsson,Bromma,Sweden,
Dickinson College,Non-governmental organizations,Constituency - Research and independent,Mr. Cornelius Leary,Carlisle,United States of America,
Dossiers et Débats pour le Développement Durable,Non-governmental organizations,Constituency - Environmental CAN,Mme Vaia Tuuhia,Paris,France,
Drexel University,Non-governmental organizations,Constituency - Research and independent,Mr. Adam Zahn,Philadelphia,United States of America,
Duke University,Non-governmental organizations,Constituency - Research and independent,Mr. David Bjorkback,Durham,United States of America,
Earth Child Institute,Non-governmental organizations,Constituency - Youth,Ms. Donna Goodman,New York,United States of America,
Earth Council,Non-governmental organizations,Constituency - Environmental,Mr. Daniel Stauffacher,Geneva,Switzerland,
Earth Day Network,Non-governmental organizations,Constituency - Environmental CAN,Ms. Susan Bass,Washington,United States of America,
Earth Innovation Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Constance Visser Witman,San Francisco,United States of America,
"Earth Island Institute, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Terry Kelley-Farias,Berkeley,United States of America,
Earth Savers Movement,Non-governmental organizations,Constituency - Environmental,Ms. Resurreccion Palma Marinas,Manila,Philippines,
Earthjustice,Non-governmental organizations,Constituency - Environmental CAN,Mr. Martin Wagner,Oakland,United States of America,
Eberhard Karls Universitat Tubingen,Non-governmental organizations,Constituency - Research and independent,Mr. Frank Michael Grunwaldt,Tübingen,Germany,
Eberswalde University for Sustainable Development,Non-governmental organizations,Constituency - Environmental,Mr. Martin Welp,Eberswalde,Germany,
EcoArts Connections,Non-governmental organizations,Constituency - Research and independent,Ms. Marda Kirn,Boulder,United States of America,
EcoCarbon Incorporated,Non-governmental organizations,Constituency - Business and Industry,Mr. David Hodgkinson,Fremantle,Australia,
Ecologic Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Matthias Duwe,Berlin,Germany,
Ecologica Institute,Non-governmental organizations,Constituency - Business and Industry,Ms. Heloisa Garcia Mota,Sao Paulo,Brazil,
Ecological Youth of Angola,Non-governmental organizations,Constituency - Environmental,Mr. António Armando Manuel,Luanda,Angola,
Ecology Center,Non-governmental organizations,Constituency - Environmental CAN,Mr. Neil Tangri,Berkeley,United States of America,
ECONEXUS,Non-governmental organizations,Constituency - Research and independent,Ms. Helena Rachel Paul,London,United Kingdom of Great Britain and Northern Ireland,
Economic Development Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Ilge Kıvılcım,Istanbul,Turkey,
Ecumenical Advocacy Alliance,Non-governmental organizations,Constituency - Environmental,Ms. Christine Campeau,Geneva,Switzerland,
Edison Electric Institute,Non-governmental organizations,Constituency - Business and Industry,Mr. Eric Holdsworth,Washington,United States of America,
Eikosphere Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Catherine Ann Cunningham,Newport Coast,United States of America,
Ejecutor de Contrato de Administración de la Reserva Comunal Amarakaeri,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Walter Quertehuari,Puerto Maldonado,Peru,
Electric Power Research Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Tom Wilson,Palo Alto,United States of America,
Electriciens sans frontières,Non-governmental organizations,Constituency - ENGO,"Mme Laura, Claire Cornu",Bagnolet Cedex,France,
Emory University,Non-governmental organizations,Constituency - Research and independent,Ms. Stefanie Ebelt Sarnat,Atlanta,United States of America,
Energies 2050,Non-governmental organizations,Constituency - Environmental,Mr. Stéphane Jacques Henri Pouffary,Biot,France,
Energiewende Saarland e.V. (Energy Alternative Saarland),Non-governmental organizations,Constituency - ENGO,Ms. Marilyn Heib,Saarbrücken,Germany,
Energy and Climate Policy Institute for Just Transition,Non-governmental organizations,Constituency - Environmental CJN,Mr. Jin-Woo Lee,Seoul,Republic of Korea,
Energy Research Centre of the Netherlands,Non-governmental organizations,Constituency - Research and independent,Mr. Paul van Tilburg,Petten,Netherlands,
Energy-Cities,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Frédéric Boyer,Besancon,France,
Environment-People-Law,Non-governmental organizations,Constituency - Environmental CAN,Ms. Olena Kravchenko,Lviv,Ukraine,
"Environmental Business Council of New England, Inc.",Non-governmental organizations,Constituency - Business and Industry,Mr. Leo-Pierre Roy,Boston,United States of America,
Environmental Defense Fund,Non-governmental organizations,Constituency - Environmental CAN,Mr. Alex George Hanafi,Washington,United States of America,
Environmental Investigation Agency,Non-governmental organizations,Constituency - Environmental CAN,Ms. Jilian Claire Kuklinski,Washington,United States of America,
Environmental Law Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Meinhard Doelle,Halifax,Canada,
Environmental Management for Livelihood Improvement Bwaise Facility,Non-governmental organizations,Constituency - Environmental CAN,Mr. Robert Bakiika,Kampala,Uganda,
Environmental Monitoring Group Trust,Non-governmental organizations,Constituency - Environmental,Mr. Stephen Law,Cape Town,South Africa,
Environmental Quality Protection Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Ying-Shih Hsieh,Taipei,China,
Environmental Services Association of Nova Scotia,Non-governmental organizations,,,Dartmouth,Canada,completed manually
Environnement et Developpement du Tiers-Monde,Non-governmental organizations,Constituency - Environmental CAN,Mr. Libasse Ba,Dakar,Senegal,
Environnement Jeunesse,Non-governmental organizations,Constituency - Environmental CAN,Mme Catherine Gauthier,Montréal,Canada,
Equiterre,Non-governmental organizations,Constituency - Environmental CAN,Ms. Alice Feuillet,Montréal,Canada,
Erasmus University Rotterdam,Non-governmental organizations,Constituency - Research and independent,Mr. Steven Kennedy,Rotterdam,Netherlands,
ETC Foundation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Maria Johanna Meijboom,Leusden,Netherlands,
"ETC Group (Action Group on Erosion, Technology and Concentration)",Non-governmental organizations,Constituency - Research and independent,Ms. Justine Lisette Rastello,Ottawa,Canada,
Etc Terra,Non-governmental organizations,Constituency - Environmental,Mr. Matthieu Tiberghien,Paris,France,
EURELECTRIC,Non-governmental organizations,Constituency - Business and Industry,Mr. Henning Häder,Brussels,Belgium,completed manually from UNFCCC website
Euro-Mediterranean Center on Climate Change,Non-governmental organizations,Constituency - Research and independent,Ms. Lorella Reda,Lecce,Italy,
EURONATURA - Centre for Environmental Law and Sustainable Development,Non-governmental organizations,Constituency - Environmental,Ms. Rita Mafalda Dionísio de Sousa,Lisboa,Portugal,
European Association for Solar Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Irm Scheer-Pontenagel,Bonn,Germany,
European Bureau for Conservation and Development,Non-governmental organizations,Constituency - Environmental,Mr. Paolo Mattana,Brussels,Belgium,
European Business Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Mr. Kolja Kuse,Muenchen,Germany,
European Chemical Industry Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Peter Botschek,Brussels,Belgium,
European Climate Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Jorge Aguado Sánchez,The Hague,Netherlands,
European Federation of Regional Energy and Environment Agencies/Fédération Européenne des Agences Régionales de L'Energie et de L'Environnement,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Michael Geissler,Brussels,Belgium,
European Geothermal Energy Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Philippe Dumas,Brussels,Belgium,
European Landowners Organisation,Non-governmental organizations,Constituency - Environmental,Mr. Thierry de l'Escaille,Brussels,Belgium,
European Nuclear Society,Non-governmental organizations,Constituency - Business and Industry,Ms. Emilia Janisz,Brussels,Belgium,
European Round Table of Industrialists,Non-governmental organizations,Constituency - Business and Industry,Mr. Bert D'Hooghe,Brussels,Belgium,
European Union Chamber of Commerce in China,Non-governmental organizations,Constituency - Business and Industry,Ms. Cecilia Rovelli,Beijing,China,
European Water Partnership,Non-governmental organizations,Constituency - Environmental,Ms. Cristina Danielle Brabyn,Brussels,Belgium,
European Wind Energy Association,Non-governmental organizations,,Mr. Markus Tacke,Brussels,Belgium,completed manually
European Youth Forum,Non-governmental organizations,Constituency - Youth,Ms. Stephanie Anne Beecroft,Brussels,Belgium,
Ev-K2-CNR Committee,Non-governmental organizations,Constituency - Environmental,Ms. Elisa Maria Vuillermoz,Bergamo,Italy,
Excellent Development,Non-governmental organizations,Constituency - Research and independent,Mr. Jonny Otis McKay,Birmingham,United Kingdom of Great Britain and Northern Ireland,
FACE Foundation,Non-governmental organizations,Constituency - Business and Industry,Mr. Martijn Snoep,Utrecht,Netherlands,
Fairtrade Labelling Organizations International e.V.,Non-governmental organizations,Constituency - Research and independent,Ms. Lannette Kambole Chiti,Bonn,Germany,
Fairwatch Association,Non-governmental organizations,Constituency - Environmental CJN,Mr. Alberto Zoratti,Pisa,Italy,
Faith Association of the Rehabilitation of Street Children and Orphans,Non-governmental organizations,Constituency - Youth,Mr. David Edusah,Tema,Ghana,
Family Health International,Non-governmental organizations,Constituency - Research and independent,Mr. Nicholas Wedeman,Durham,United States of America,
Fauna & Flora International,Non-governmental organizations,Constituency - Environmental,Ms. Charlotte Alexandra Fisher,Cambridge,United Kingdom of Great Britain and Northern Ireland,
Feasta Ltd,Non-governmental organizations,Constituency - Research and independent,Mr. Michael Sandler,Cloughjordan Co. Tipperary,Ireland,
Federación de Pueblos Indígenas Kechwas de la Región de San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Janio Sangama Apagüeño,Lamas,Peru,
Federación Nativa del Río Madre de Dios y Afluentes,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Julio Cusurichi Palacios,Puerto Maldonado,Peru,
Federación Regional Indígena Shawi de San Martín,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Reydelinda Pizango Yumbato,Tarapoto,Peru,
Fédération des Elu-es Verts et Ecologistes,Non-governmental organizations,,,Paris,France,completed manually
Federation of Electric Power Companies,Non-governmental organizations,Constituency - Business and Industry,Mr. Shohei Hasebe,Tokyo,Japan,
Federation of German Industries,Non-governmental organizations,Constituency - Business and Industry,Mr. Joachim Dieter Erwin Hein,Berlin,Germany,
Federation of Indian Chambers of Commerce and Industry,Non-governmental organizations,Constituency - Business and Industry,Ms. Rita Roy Choudhury,New Delhi,India,
Federation of Young European Greens,Non-governmental organizations,Constituency - Environmental,Mr. Markus Drake,Brussels,Belgium,
Fermes d'Avenir,Non-governmental organizations,Constituency - Environmental,Ms. Lucie Rousselot,Montlouis-sur-Loire,France,
FERN,Non-governmental organizations,Constituency - Environmental CJN,Ms. Hannah Mowat,Moreton-in-Marsh,United Kingdom of Great Britain and Northern Ireland,
Fia Foundation for the Automobile and Society,Non-governmental organizations,,,London,United Kingdom of Great Britain and Northern Ireland,completed manually
Finnish Air Pollution Prevention Society,Non-governmental organizations,Constituency - Environmental,Ms. Essi Pauliina Haapaniemi,Helsinki,Finland,
Finnish Institute of International Affairs,Non-governmental organizations,Constituency - Research and independent,Mr. Antto Vihma,Helsinki,Finland,
Finnish NGO Platform KEPA,Non-governmental organizations,,,Helsinki,Finland,completed manually
Focus on the Global South,Non-governmental organizations,Constituency - Environmental CJN,Ms. Nicola Bullard,Quezon City,Philippines,
Fondation africaine (Farmapu-Inter & Cecotrap-rcogl),Non-governmental organizations,Constituency - Research and independent,Mr. Hibert Kirongozi,Kigali,Rwanda,
Fondation BNP Paribas,Non-governmental organizations,Constituency - ENGO,M. Sylvain Taboni,Paris,France,
Fondation Deserts du Monde,Non-governmental organizations,Constituency - Environmental,Ms. Sihem Medani,Ghardaia,Algeria,
Fondation Energies pour le Monde,Non-governmental organizations,Constituency - Environmental,Ms. Juliette Darlu,Paris,France,
Fondation Jean-Jaurès,Non-governmental organizations,Constituency - ENGO,Mr. Alexandre Cyrille Minet,Paris,France,
Fondation Nicolas Hulot,Non-governmental organizations,,Mr. Alain Grandjean,Boulogne-Billancourt,France,completed manually
Fondation pour le développement durable des régions de montagne,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Eric Alain Nanchen,Sion,Switzerland,completed manually from UNFCCC website
Fondation pour les etudes et recherches sur le developpement international,Non-governmental organizations,Constituency - Research and independent,Mr. Patrick Guillaumont,Clermont-Ferrand,France,completed manually from UNFCCC website
Fondazione Centro Studi Enel,Non-governmental organizations,Constituency - Research and independent,Mr. Mariano Morazzo,Rome,Italy,
Fondazione Eni Enrico Mattei,Non-governmental organizations,Constituency - Research and independent,Ms. Martina Marian,Milan,Italy,
Fondo de Promoción de la Areas Naturales Protegidas del Perú,Non-governmental organizations,,Mr. Antom Willems,Lima,Peru,completed manually
Fonds E7 pour le développement énergétique durable,Non-governmental organizations,Constituency - Business and Industry,Mr. Sidney Lambert,Paris,France,
"Food, Agriculture and Natural Resources Policy Analysis Network",Non-governmental organizations,Constituency - Research and independent,Mr. Tshilidzi Madzivhandila,Pretoria,South Africa,
Ford Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Penny Davies,New York,United States of America,
Forest Peoples' Programme,Non-governmental organizations,Constituency - Research and independent,Ms. Julia Overton,Moreton-in-Marsh,United Kingdom of Great Britain and Northern Ireland,
Forest Products Association of Canada,Non-governmental organizations,Constituency - ENGO,Mr. Robert Larocque,Ottawa,Canada,
Forest Stewardship Council,Non-governmental organizations,Constituency - ENGO,Ms. Pina Gervassi,Bonn,Germany,
Forest Trends Association,Non-governmental organizations,Constituency - Environmental,Ms. Julia Sue Granfors,Washington DC,United States of America,
Forestry and Forest Products Research Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Yasumasa Hirata,Tsukuba,Japan,
Forests of the World,Non-governmental organizations,Constituency - Environmental,Ms. Gry Helene Bossen,Aarhus,Denmark,
Forests Philanthropy Action Network,Non-governmental organizations,Constituency - Environmental,Mr. Edward Rumsey,Horbling,United Kingdom of Great Britain and Northern Ireland,
Foro Ciudades para la Vida,Non-governmental organizations,Constituency - Environmental,Ms. Liliana Miranda Sara,Lima,Peru,
Forum atomique européen,Non-governmental organizations,Constituency - ENGO,Ms. Ann Jessica Johnson,Brussels,Belgium,completed manually from UNFCCC website
Forum for Environment,Non-governmental organizations,Constituency - Environmental,Mr. Najib Saab,Beirut,Lebanon,
Forum for Reforms and Entrepreneurship,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Halla,Stockholm,Sweden,
Foundation DLO,Non-governmental organizations,,,Wageningen,Netherlands,completed manually
Foundation Environment - Law Society,Non-governmental organizations,Constituency - Research and independent,Mr. Michael Mehling,Greifswald,Germany,
Foundation for Strategic Environmental Research,Non-governmental organizations,Constituency - Environmental,Mr. Thomas Nilsson,Stockholm,Sweden,
Foundation for the Global Compact,Non-governmental organizations,Constituency - Business and Industry,Ms. Claire Kells,New York,United States of America,
Foundation for the Rights of Future Generations,Non-governmental organizations,Constituency - Research and independent,Ms. Anna Braam,Stuttgart,Germany,
Foundation of Taiwan Industry Service,Non-governmental organizations,Constituency - Environmental,Ms. Chen-Yu Yeh,"Taiwan, Province of China",China,
France Energie Eolienne,Non-governmental organizations,Constituency - Business and Industry,Mme Caroline Sawe,Paris,France,
France nature environnement,Non-governmental organizations,Constituency - Environmental,M. Jean-Baptiste Poncelet,Paris,France,
Franciscans International,Non-governmental organizations,Constituency - Environmental,Mr. Antonius Budi Tjahjono,Geneva 20,Switzerland,
Frankfurt School of Finance and Management GmbH,Non-governmental organizations,Constituency - Research and independent,Mr. Karsten Loeffler,Frankfurt am Main,Germany,completed manually from UNFCCC website
Fraunhofer Institute for Systems and Innovation Research,Non-governmental organizations,Constituency - Research and independent,Ms. Vicki Duscha,Munic,Germany,
"Free University Amsterdam, Institute for Environmental Studies",Non-governmental organizations,Constituency - Environmental,Mr. Oscar Widerberg,Amsterdam,Netherlands,completed manually from UNFCCC website
Freedom from Debt Coalition Inc.,Non-governmental organizations,Constituency - Research and independent,Mr. Samuel Cesar Gamboa,Quezon City,Philippines,
Freie Universität Berlin,Non-governmental organizations,Constituency - Research and independent,Mr. Stephan Pfahl,Berlin,Germany,
Fridtjof Nansen Institute,Non-governmental organizations,Constituency - Research and independent,Mr. Claes Ragner,Lysaker,Norway,
Friedrich Schiller University Jena,Non-governmental organizations,Constituency - Research and independent,Mr. Martin Herold,Jena,Germany,
Friedrich-Ebert-Stiftung e.V.,Non-governmental organizations,Constituency - Research and independent,Ms. Yvonne Blos,Berlin,Germany,
Friends of Environment and Humanity Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Wisdom Tettey,Tema,Ghana,
Friends of the Earth International,Non-governmental organizations,Constituency - Environmental CJN,Ms. Sara Shaw,Amsterdam,Netherlands,
Friends World Committee for Consultation,Non-governmental organizations,Constituency - Research and independent,Ms. Lindsey Fielder Cook,London,United Kingdom of Great Britain and Northern Ireland,
Fundação Getúlio Vargas,Non-governmental organizations,Constituency - Research and independent,Mr. Mario Prestes Monzoni,Sao Paulo,Brazil,
Fundación Ambiente y Recursos Naturales,Non-governmental organizations,Constituency - Environmental,Mr. Enrique Gabriel Maurtua Konstantinidis,Buenos Aires,Argentina,
Fundación Amigos de la Naturaleza,Non-governmental organizations,Constituency - Research and independent,Ms. Natalia Valentina Calderón Angeleri,Santa Cruz,Bolivia (Plurinational State of),
Fundación Argentina de Etoecología,Non-governmental organizations,Constituency - Environmental,Sra. Alcira Perlini Montiel,Buenos Aires,Argentina,
Fundación Avina,Non-governmental organizations,Constituency - Environmental,Ms. Paula Ellinger da Fonseca,"Panama City,",Panama,
Fundación Biosfera,Non-governmental organizations,Constituency - Environmental CAN,Mr. Horacio Pablo de Belaustegui,La Plata,Argentina,
Fundación Bosques para la Conservación,Non-governmental organizations,Constituency - Environmental,Mr. Xavier Enrique Elizalde Romero,Quito,Ecuador,
Fundación Cayetano Heredia,Non-governmental organizations,Constituency - Research and independent,Mr. Jahir Anicama Diaz,Lima,Peru,
