name,entity_type,TotalMembers,MaleMembers,FemaleMembers,coordinator,city,country
League of Arab States,Intergovernmental organizations,2,2,0,Ms. Fatma El-Mallah,Cairo,Egypt
Nordic Council,Intergovernmental organizations,4,2,2,Ms. Mette Gervin Damsgaard,Copenhagen,Denmark
Nordic Council of Ministers,Intergovernmental organizations,20,11,9,Ms. Anna Maria Gran,,Finland
Nordic Environment Finance Corporation,Intergovernmental organizations,5,5,0,Ms. Helle Lindegaard,Helsinki,Finland
Observatoire du Sahara et du Sahel,Intergovernmental organizations,4,3,1,Mr. Nabil Ben Khatra,Tunis,Tunisia
Organisation for Economic Co-operation and Development,Intergovernmental organizations,24,13,11,Ms. Wei-shiuen Ng,Paris,France
Organisation Internationale de la Francophonie,Intergovernmental organizations,1,1,0,Mr. Issa Bado,Quebec,Canada
Organization of American States,Intergovernmental organizations,2,1,1,Mr. Cletus Springer,Washington,United States of America
Organization of Arab Petroleum Exporting Countries,Intergovernmental organizations,2,2,0,Mr. AbdulKareem Kh Ayed,Kuwait,Kuwait
Organization of the Petroleum Exporting Countries,Intergovernmental organizations,4,3,1,Ms. Eleni Kaditi,Vienna,Austria
Pacific Islands Forum Secretariat,Intergovernmental organizations,1,0,1,Mr. Scott Hook,Suva,Fiji
Pan African Agency of the Great Green Wall,Intergovernmental organizations,2,2,0,Mr. Abakar Mahamat Zougoulou,Nouakchott,Mauritania
Parliamentary Assembly of the Mediterranean,Intergovernmental organizations,4,2,2,Mr. Valerio Carafa,St. Julians,Malta
Regional Center for Renewable Energy and Energy Efficiency,Intergovernmental organizations,1,0,1,Mr. Ahmed Badr,Cairo,Egypt
Regional Community Forestry Training Center for Asia and the Pacific,Intergovernmental organizations,4,2,2,Ms. Jennifer Jadin,Bangkok,Thailand
Secretaria General Iberoamericana,Intergovernmental organizations,7,3,4,Ms. Maria Salvadora Ortiz,Madrid,Spain
Secrétariat général de l’union du Maghreb Arabe,Intergovernmental organizations,1,0,1,Mme Faouzia Chakiri,Rabat,Morocco
Secretariat of the Pacific Community,Intergovernmental organizations,7,5,2,Ms. Sylvie Michelle Goyet,Noumea,France
Secretariat of the Union for the Mediterranean,Intergovernmental organizations,3,2,1,Mr. Nasser Kamel,Barcelona,Spain
