name,entity_type,constituency,coordinator,city,country
American Federation of Labor and Congress of Industrial Organizations,Non-governmental organizations,Constituency - ENGO,Mr. Brad Markell,Washington,United States of America
American Forests,Non-governmental organizations,Constituency - Environmental,Ms. Rebecca Turner,Washington,United States of America
American Nuclear Society,Non-governmental organizations,Constituency - Research and independent,Ms. Aubrey Whittington,La Grange Park,United States of America
American Psychological Association,Non-governmental organizations,Constituency - Research and independent,Mr. Gabriel Twose,Washington,United States of America
"American Society of Heating, Refrigerating and Air-Conditioning Engineers, Inc.",Non-governmental organizations,Constituency - Business and Industry,Mr. Jeff Littleton,Peachtree Corners,United States of America
American Sustainable Business Council,Non-governmental organizations,Constituency - Business and Industry,Mr. Michael Green,Washington DC,United States of America
American University,Non-governmental organizations,Constituency - Research and independent,Ms. Sikina Jinnah,Washington,United States of America
Amnesty International,Non-governmental organizations,Constituency - Research and independent,Mr. Ashfaq Khalfan,London,United Kingdom of Great Britain and Northern Ireland
An Organization for Socio-Economic Development,Non-governmental organizations,Constituency - Environmental CAN,Mr. Shamim Arfeen,Khulna,Bangladesh
Angel Support Foundation,Non-governmental organizations,Constituency - Environmental,Mme Mary Ugbaa,Makurdi,Nigeria
Anglican Consultative Council,Non-governmental organizations,,Mr. Jack Palmer-White,London,United Kingdom of Great Britain and Northern Ireland
Antarctic and Southern Ocean Coalition,Non-governmental organizations,Constituency - Environmental,Ms. Claire Christian,"Washington, DC",United States of America
Aotearoa Youth Leadership Institute,Non-governmental organizations,Constituency - Youth,Mr. Benjamin Brooking,Auckland,New Zealand
Appalachian State University,Non-governmental organizations,Constituency - Research and independent,Mr. David McEvoy,Boone,United States of America
AQOCI,Non-governmental organizations,Constituency - Women and Gender,Mr. Denis Côté,Montréal,Canada
Arab Network for Environment and Develoment,Non-governmental organizations,,,,
Arapyaú Institute,Non-governmental organizations,Constituency - Environmental,Ms. Renata Piazzon,Sao Paulo,Brazil
Architecture 2030 Inc.,Non-governmental organizations,Constituency - Environmental,Mr. Edward Mazria,Santa Fe,United States of America
Arctic Athabaskan Council,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Cynthia Rose Dickson,Whitehorse,Canada
Arizona State University,Non-governmental organizations,Constituency - Research and independent,Mr. Daniel Bodansky,Glendale,United States of America
Asabe Shehu Yar’adua Foundation,Non-governmental organizations,,,,
"Asheville-Buncombe Sustainable Community Initiatives, Inc.",Non-governmental organizations,Constituency - Environmental,Ms. Virginie Fayolle,Asheville,United States of America
Ashoka Trust for Research in Ecology and the Environment,Non-governmental organizations,Constituency - Environmental,Ms. Karishma Shelar,Bangalore,India
Asia Indigenous Peoples Pact Foundation,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Lakpa Nuri Sherpa,Chiang Mai,Thailand
Asia Society,Non-governmental organizations,Constituency - Research and independent,Ms. Debra Rachel Eisenman,New York,United States of America
Asia-Europe Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Grazyna Pulawska,Singapore,Singapore
Asian Pacific Resource and Research Centre for Women,Non-governmental organizations,Constituency - Women and Gender,Ms. Biplabi Shrestha,Kuala Lumpur,Malaysia
