name,entity_type,constituency,coordinator,city,country
Institution of Environmental Sciences,Non-governmental organizations,Constituency - Environmental,Mr. Joseph Lewis,London,United Kingdom of Great Britain and Northern Ireland
Institution of Mechanical Engineers,Non-governmental organizations,Constituency - Business and Industry,Mr. Matthew Rooney,London,United Kingdom of Great Britain and Northern Ireland
Institutional Investors Group on Climate Change Ltd.,Non-governmental organizations,Constituency - Business and Industry,Ms. Evagelia Emelia Holdaway,London,United Kingdom of Great Britain and Northern Ireland
Instituto Andino de Montaña,Non-governmental organizations,Constituency - Environmental,Mr. Jorge Recharte Bullard,"Miraflores, LIma",Peru
Instituto de Derecho y Economía Ambiental,Non-governmental organizations,Constituency - Environmental,Sr. Ezequiel Francisco Santagada,Asuncion,Paraguay
Instituto de Ecología y Antropología de Acción,Non-governmental organizations,Constituency - Environmental,Ms. Elke Falley-Rothkopf,Cologne,Germany
Instituto de Pesquisas Ecológicas,Non-governmental organizations,Constituency - Environmental,Mr. Eduardo Humberto Ditt,"Nazaré Paulista, SP",Brazil
Instituto Ethos de Empresas e Responsabilidade Social,Non-governmental organizations,Constituency - Business and Industry,Ms. Marina Vergueiro de Almeida,Sao Paulo,Brazil
Instituto Global Attitude,Non-governmental organizations,Constituency - Youth,Mr. Rodrigo Reis,São Paulo,Brazil
Instituto Internacional de Derecho y Medio Ambiente/International Institute for Law and the Environment,Non-governmental organizations,Constituency - Environmental,Mr. Gopal Shilpakar,Madrid,Spain
Instituto Socioambiental,Non-governmental organizations,Constituency - Indigenous peoples,Sra. Adriana Ramos,São Paulo,Brazil
Instituto Torcuato Di Tella,Non-governmental organizations,Constituency - Research and independent,Sr. Daniel Perczyk,Buenos Aires,Argentina
Insurance Bureau of Canada,Non-governmental organizations,Constituency - Business and Industry,Mr. Robin Edger,Toronto,Canada
Integrated Sustainable Energy and Ecological Development Association,Non-governmental organizations,Constituency - Environmental,Mr. Raymond Myles,New Delhi,India
"Intelligentsia International, Inc.",Non-governmental organizations,Constituency - Youth,Mr. Michal Fidler,LaBelle,United States of America
InterAcademy Partnership,Non-governmental organizations,Constituency - Research and independent,Mr. Peter McGrath,Trieste,Italy
Interchurch Organization for Development Cooperation,Non-governmental organizations,Constituency - Environmental,Ms. Regnera Catharina van der Geest,The Hague,Netherlands
InterEnvironment Institute,Non-governmental organizations,Constituency - Environmental,Mr. Thaddeus Trzyna,Sacramento,United States of America
International Air Transport Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Yue Huang,Montreal,Canada
International Alliance of Indigenous and Tribal Peoples of the Tropical Forests,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Estebancio Castro Diaz,Panama,Panama
International Aluminium Institute,Non-governmental organizations,Constituency - Business and Industry,Ms. Sarah Novell,London,United Kingdom of Great Britain and Northern Ireland
International Association for the Advancement of Innovative Approaches to Global Challenges,Non-governmental organizations,Constituency - Youth,Mr. Miroslav Polzer,Klagenfurt,Austria
International Association of Oil and Gas Producers,Non-governmental organizations,Constituency - Business and Industry,Mr. Daniel Walsh,London,United Kingdom of Great Britain and Northern Ireland
International Association of Public Transport,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Philip Turner,Brussels,Belgium
International Association of Schools of Social Work,Non-governmental organizations,Constituency - Research and independent,Ms. Lena Dominelli,Hong Kong,China
International Association of Students in Agricultural and Related Sciences,Non-governmental organizations,Constituency - Youth,Mr. Omar Farhate,Heverlee-Leuven,Belgium
International Biochar Initiative,Non-governmental organizations,Constituency - Business and Industry,Mr. Johannes Lehmann,Westerville,United States of America
International Center for Living Aquatic Resources Management,Non-governmental organizations,Constituency - Environmental,Mr. Essam Yassin Mohammed,Penang,Malaysia
"International Centre for Energy, Environment and Development Foundation",Non-governmental organizations,Constituency - Environmental,Mr. Ewah Eleri,Abuja,Nigeria
International Centre for Environment Education and Community Development,Non-governmental organizations,Constituency - Environmental,Mr. Fongoh Eric,Buea,Cameroon
International Chamber of Commerce,Non-governmental organizations,Constituency - Business and Industry,Ms. Sandra Maria Hanni,Paris,France
International Chamber of Shipping,Non-governmental organizations,Constituency - Business and Industry,Mr. Simon Bennett,London,United Kingdom of Great Britain and Northern Ireland
International Cleantech Network,Non-governmental organizations,Constituency - Environmental,Ms. Joan Juul,Copenhagen,Denmark
International Climate Change Partnership,Non-governmental organizations,Constituency - Environmental,Mr. Kevin Fay,Arlington,United States of America
International Climate Dialogue e.V.,Non-governmental organizations,Constituency - Research and independent,Mr. Björn Dransfeld,Hamburg,Germany
International Coastal and Ocean Organization,Non-governmental organizations,Constituency - Environmental,Ms. Miriam Balgos,Orleans,United States of America
International Committee of the Red Cross,Non-governmental organizations,Constituency - Environmental,Ms. Nathalie Waeber,Geneva,Switzerland
"International Copper Association, Ltd.",Non-governmental organizations,Constituency - ENGO,Mr. Steven Kukoda,New York,United States of America
International Coral Reef Society,Non-governmental organizations,Constituency - Research and independent,Mr. Rupert Ormond,Sarasota,United States of America
International Council for Mining and Metals,Non-governmental organizations,Constituency - Business and Industry,Ms. Meera Thankey,London,United Kingdom of Great Britain and Northern Ireland
International Council for Sustainable Energy,Non-governmental organizations,Constituency - Business and Industry,Ms. Laura Tierney,Washington DC,United States of America
International Council of Chemical Associations,Non-governmental organizations,Constituency - Business and Industry,Ms. Touria Lakchiri,Brussels,Belgium
International Council on Clean Transportation Inc.,Non-governmental organizations,Constituency - Environmental,Ms. Brigitte Bernal,Washington DC,United States of America
International Council on Monuments and Sites,Non-governmental organizations,Constituency - Research and independent,Mr. Andrew Potts,Charenton-le-Pont,France
International Cryosphere Climate Initiative,Non-governmental organizations,Constituency - Research and independent,Ms. Pamela Jean Pearson,Charlotte,United States of America
International Dairy Federation,Non-governmental organizations,Constituency - Business and Industry,Ms. Caroline Emond,Brussels,Belgium
International development enterprises,Non-governmental organizations,Constituency - Farmers,Mr. John Choptiany,Denver,United States of America
International Development Research Centre,Non-governmental organizations,Constituency - Research and independent,Ms. Marie-Eve Landry,"Ottawa, ON",Canada
International Dialogue for Environmental Action (IDEA),Non-governmental organizations,Constituency - Environmental,Mr. Surkhay Shukurov,Baku,Azerbaijan
International Disability Alliance,Non-governmental organizations,Constituency - Environmental,Ms. Elham Youssefian,New York,United States of America
International Education Institute of Brazil,Non-governmental organizations,Constituency - Environmental,Sra. Marcela Menezes,Brasília,Brazil
International Emissions Trading Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Stephanie Olegario,Geneva,Switzerland
International Environmental Communication Association,Non-governmental organizations,Constituency - Research and independent,Mr. Mark S. Meisner,Cincinnati,United States of America
International Federation of Environmental Health,Non-governmental organizations,Constituency - Environmental,Mr. Martin Fitzpatrick,London,United Kingdom of Great Britain and Northern Ireland
International Federation of Liberal Youth,Non-governmental organizations,Constituency - Youth,Mr. Sven Gerst,London,United Kingdom of Great Britain and Northern Ireland
International Federation of Medical Students’ Associations,Non-governmental organizations,,,,
International Fertilizer Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Margot Rose Clifford,Paris,France
International Food Policy Research Institute,Non-governmental organizations,Constituency - Farmers,Ms. Liangzhi You,Washington,United States of America
International Forestry Students’ Association,Non-governmental organizations,,,,
International Foundation for African Children,Non-governmental organizations,Constituency - Youth,Mr. Michael Ikechukwu Nwafejoku,Lagos,Nigeria
International Fund for Animal Welfare Inc.,Non-governmental organizations,Constituency - Environmental CAN,Ms. Megan O'Toole,Yarmouth Port,United States of America
International Gas Union,Non-governmental organizations,Constituency - Business and Industry,Mr. Paddy Blewer,"Egham, Surrey",United Kingdom of Great Britain and Northern Ireland
International Geothermal Association,Non-governmental organizations,Constituency - Business and Industry,Ms. Marit Brommer,Auckland,New Zealand
International Humanist and Ethical Union Inc,Non-governmental organizations,Constituency - Environmental,Ms. Lillie Ashworth,Washington DC,United States of America
International Hydropower Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Alex Campbell,London,United Kingdom of Great Britain and Northern Ireland
International Indian Treaty Council,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Alberto Saldamando,San Francisco,United States of America
International Institute for Applied Systems Analysis,Non-governmental organizations,Constituency - Research and independent,Mr. Iain Stewart,Laxenburg,Austria
International Institute for Environment and Development,Non-governmental organizations,Constituency - Research and independent,Ms. Marika Hannah Weinhardt,London,United Kingdom of Great Britain and Northern Ireland
International Institute for Sustainable Development,Non-governmental organizations,Constituency - Research and independent,Mr. Cameron Stuart Hunter,Winnipeg,Canada
International National Trusts Organisation,Non-governmental organizations,Constituency - Environmental,Ms. Catherine Leonard,London,United Kingdom of Great Britain and Northern Ireland
International Network for Sustainable Energy,Non-governmental organizations,Constituency - Environmental,Mr. Gunnar Boye Olesen,Hjortshoj,Denmark
International Network of Basin Organizations,Non-governmental organizations,Constituency - Environmental,Mr. Edouard Boinet,Paris,France
International Organization for Standardization,Non-governmental organizations,Constituency - Business and Industry,Mr. José Ignacio Alcorta,Vernier,Switzerland
International Organization of Employers,Non-governmental organizations,Constituency - Business and Industry,Mr. Robert Marinkovic,Geneva,Switzerland
International Panel of Experts on Sustainable Food Systems,Non-governmental organizations,Constituency - Research and independent,Ms. Chantal Clément,Brussels,Belgium
International Peatland Society,Non-governmental organizations,Constituency - Environmental,Ms. Susann Warnecke,Jyväskylä,Finland
International Planned Parenthood Federation,Non-governmental organizations,Constituency - Women and Gender,Ms. Raffaela Dattler,London,United Kingdom of Great Britain and Northern Ireland
International Plant Genetic Resources Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Helen Thompson,Maccarese (Fiumicino),Italy
International Polar Foundation,Non-governmental organizations,Constituency - Research and independent,Ms. Nighat Johnson-Amin,Brussels,Belgium
International Programme On the State of the Ocean,Non-governmental organizations,Constituency - Environmental,Ms. Mirella von Lindenfels,Haywards Heath,United Kingdom of Great Britain and Northern Ireland
International Rivers Network,Non-governmental organizations,Constituency - Environmental,Mr. Joshua Klemm,Berkeley,United States of America
International Science Council,Non-governmental organizations,Constituency - Environmental,Ms. Katsiaryna Paulavets,Paris,France
International Society for Ecological Economics,Non-governmental organizations,Constituency - Environmental,Ms. Heidi Brault,Boston,United States of America
International Society of City and Regional Planners,Non-governmental organizations,Constituency - Environmental,Mr. Frank D'hondt,The Hague,Netherlands
International Society of Doctors for the Environment,Non-governmental organizations,Constituency - ENGO,Ms. Cathey Eisner Falvo,Basel,Switzerland
International Solar Energy Society e.V.,Non-governmental organizations,Constituency - Environmental,Ms. Jennifer McIntosh,Freiburg,Germany
International Solid Waste Association,Non-governmental organizations,Constituency - Environmental,Mr. Jose Ignacio Uribe-Echevarria,Vienna,Austria
International Trade Union Confederation,Non-governmental organizations,Constituency - Trade Unions,Mr. Bert De Wel,Brussels,Belgium
International Union of Architects,Non-governmental organizations,Constituency - Trade Unions,Ms. Sonia Cela,Paris,France
International Union of Forest Research Organizations,Non-governmental organizations,Constituency - Research and independent,Mr. Alexander Buck,Vienna,Austria
International Union of Railways,Non-governmental organizations,Constituency - Business and Industry,Mr. Vincent VU,Paris,France
International Water Association,Non-governmental organizations,Constituency - Environmental,Ms. Daniela Bemfica,London,United Kingdom of Great Britain and Northern Ireland
International Water Resources Association,Non-governmental organizations,Constituency - Environmental,Mr. Callum Clench,Madison,United States of America
International Work Group for Indigenous Affairs,Non-governmental organizations,Constituency - Environmental,Mr. Stefan Thorsell,Copenhagen,Denmark
International Youth and Student Movement for the United Nations,Non-governmental organizations,Constituency - Environmental,Mr. Oluwole David Oshota,Geneva,Switzerland
International Youth Council - Yemen,Non-governmental organizations,Constituency - Youth,Mr. Tareq Hassan,Sana'a,Yemen
International Youth Nuclear Congress,Non-governmental organizations,Constituency - Youth,Ms. Theresa Mary Green,Berkeley,United States of America
International-Lawyers.Org,Non-governmental organizations,Constituency - Research and independent,Mr. Curtis Doebbler,Geneva,Switzerland
Interreligious Climate and Ecology Network,Non-governmental organizations,Constituency - Environmental,Ms. Junghee Min,Seoul,Republic of Korea
Interuniversity Research Centre for Sustainable Development,Non-governmental organizations,Constituency - Research and independent,Mr. Francesco Fantozzi,Valmontone Rome,Italy
Inuit Circumpolar Conference,Non-governmental organizations,Constituency - Indigenous peoples,Ms. Joanna MacDonald,Ottawa,Canada
Investment Company Institute,Non-governmental organizations,Constituency - Business and Industry,Ms. Anna Driggs,Washington,United States of America
Investor Group on Climate Change Australia / New Zealand Inc.,Non-governmental organizations,Constituency - Business and Industry,Ms. Rebecca Mikula Wright,Sydney,Australia
Investor Watch,Non-governmental organizations,Constituency - Research and independent,Mr. Dominic Lyle,London,United Kingdom of Great Britain and Northern Ireland
IPIECA Limited (IPIECA),Non-governmental organizations,Constituency - Business and Industry,Mr. James Herbertson,London,United Kingdom of Great Britain and Northern Ireland
Islamic Relief Worldwide,Non-governmental organizations,Constituency - Research and independent,Mme Shahin Ashraf,Birmingham,United Kingdom of Great Britain and Northern Ireland
"Islands First, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Mark Jariabka,New York,United States of America
Israel Union for Environmental Defense,Non-governmental organizations,Constituency - Environmental,Ms. Leehee Goldenberg,Tel Aviv,Israel
Italian Climate Network,Non-governmental organizations,Constituency - Youth,Mr. Jacopo Bencini,Milan,Italy
Janvikas,Non-governmental organizations,,Mr. Mahesh Pandya,Ahmedabad,India
"Japan Atomic Industrial Forum, Inc.",Non-governmental organizations,Constituency - Business and Industry,Ms. Yuko Wada,Tokyo,Japan
Japan Automobile Manufacturers Association Inc.,Non-governmental organizations,Constituency - Business and Industry,Mr. Shingo Kawaguchi,Tokyo,Japan
Japan Center for a Sustainable Environment and Society,Non-governmental organizations,Constituency - Environmental CAN,Mr. Jiro Adachi,Tokyo,Japan
Japan Economic Research Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Hiroko Hashimoto,Tokyo,Japan
Japan Environmental Council,Non-governmental organizations,Constituency - Environmental,Ms. Yukari Takamura,Tokyo,Japan
Japan Iron and Steel Federation,Non-governmental organizations,Constituency - Business and Industry,Mr. Masanobu Nakamizu,Tokyo,Japan
Jeunes Ambassadeurs pour le Climat,Non-governmental organizations,Constituency - Environmental,M. Titouan Rio,Paris,France
Jeunes Volontaires pour l’Environnement,Non-governmental organizations,,,,
Jeunesse Étudiante Catholique Internationale,Non-governmental organizations,Constituency - Youth,Mr. Innocent Odongo,Paris,France
Johns Hopkins University,Non-governmental organizations,Constituency - Research and independent,Mr. Irving Mintzer,Washington,United States of America
Joyce Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Edmund Jackson Miller,Chicago,United States of America
Jubilee Debt Campaign,Non-governmental organizations,Constituency - Research and independent,Ms. Sarah-Jayne Clifton,London,United Kingdom of Great Britain and Northern Ireland
"Jubilee South Asia Pacific Movement, Inc.",Non-governmental organizations,Constituency - Environmental CJN,Ms. Lydinyda Bunyi Nacpil,Quezon City,Philippines
Julie’s Bicycle,Non-governmental organizations,,,,
Juniata College,Non-governmental organizations,Constituency - Research and independent,Mr. Matthew Powell,Huntingdon,United States of America
Just Transition Alliance,Non-governmental organizations,Constituency - Environmental,Mr. José Bravo,San Diego,United States of America
"Kadikoyu Friends of Science, Culture and Art Association",Non-governmental organizations,Constituency - Environmental,Mr. Tanay Sıdkı Uyar,Istanbul,Turkey
Karlsruhe Institute of Technology,Non-governmental organizations,Constituency - Research and independent,Ms. Kirsten Hennrich,Karlsruhe,Germany
Karnali Integrated Rural Development and Research Centre,Non-governmental organizations,Constituency - Environmental,Mr. Gobinda Bahadur Shahi,Sanepa,Nepal
Karuna Foundation,Non-governmental organizations,Constituency - Environmental,Ms. Lindsay Skog,Portland,United States of America
Keidanren,Non-governmental organizations,Constituency - Business and Industry,Mr. Kiyoshi Tanigawa,Tokyo,Japan
Keio University,Non-governmental organizations,Constituency - Research and independent,Mr. Wanglin Yan,Tokyo,Japan
Kejibaus Youth Development Initiative,Non-governmental organizations,Constituency - Youth,Mr. Aderemi Austino Adetoro,Akure,Nigeria
Keren Kayemet LeIsrael/The Jewish National Fund,Non-governmental organizations,Constituency - Environmental,Ms. Karine Michelle Bolton,Jerusalem,Israel
KfW,Non-governmental organizations,Constituency - Business and Industry,Mr. Peter Hilliges,Frankfurt am Main,Germany
Khazer Ecological and Cultural NGO,Non-governmental organizations,Constituency - Environmental CAN,Ms. Amalia Hambartsumyan,Yerevan,Armenia
Kiko Network,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kenro Taura,Kyoto,Japan
KinderEnergy INC.,Non-governmental organizations,Constituency - Environmental,Ms. Elisabeth Anne Delgado,Los Angeles,United States of America
King Abdullah Petroleum Studies and Research Center,Non-governmental organizations,Constituency - Research and independent,Mr. Mohamad Issa Hejazi,Riyadh,Saudi Arabia
"King ’s College, School of Law",Non-governmental organizations,,,,
KlimAktiv,Non-governmental organizations,Constituency - Environmental,Mr. Stephan Schunkert,Tübingen,Germany
Konrad-Adenauer-Foundation,Non-governmental organizations,Constituency - Research and independent,Mr. Andre Algermißen,Berlin,Germany
Korea Chamber of Commerce and Industry,Non-governmental organizations,Constituency - Business and Industry,Mr. Hyun Kim,Seoul,Republic of Korea
Korea Research Institute on Climate Change,Non-governmental organizations,Constituency - Research and independent,Mr. Jihyun Kim,Chuncheon-si,Republic of Korea
Korean Business Council for Sustainable Development,Non-governmental organizations,Constituency - Business and Industry,Ms. Chai-un Hahn,Seoul,Republic of Korea
Korean Federation for Environmental Movement,Non-governmental organizations,Constituency - Environmental CJN,Mr. Jieon Lee,Seoul,Republic of Korea
Korean Standards Association,Non-governmental organizations,Constituency - Business and Industry,Mr. Hyunman Moon,Seoul,Republic of Korea
KR Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Brian Valbjoern Soerensen,Copenhagen,Denmark
Krasnoyarsk Regional Public Ecological Movement “Friends of the Siberian Forests”,Non-governmental organizations,,,,
Kyoto Club,Non-governmental organizations,Constituency - Business and Industry,Mr. Sergio Andreis,Roma,Italy
"Kyoto University, Institute of Economic Research",Non-governmental organizations,Constituency - Research and independent,Mr. Haruo Imai,Kyoto,Japan
La Brique,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Alouatchou Aoutene Akissita,Kara,Togo
La Fresque Du Climat (The Climate Fresk),Non-governmental organizations,,,,
Latin American Section of the American Nuclear Society,Non-governmental organizations,Constituency - Business and Industry,Mr. Jorge Spitalnik,Rio de Janeiro,Brazil
Laudes Foundation,Non-governmental organizations,,Ms. Kelly Clark,Zug,Switzerland
Le Centre québécois du droit de l’environnement,Non-governmental organizations,,,,
Leaders Club,Non-governmental organizations,Constituency - Youth,Mr. Younes Karrouk,Tanger,Morocco
Leadership for Environment and Development International,Non-governmental organizations,Constituency - Environmental,Mr. Hugh Maynard,"Epsom, Surrey",United Kingdom of Great Britain and Northern Ireland
Leadership Watch,Non-governmental organizations,Constituency - Environmental,Mr. Martins Paul Iwuanyanwu,Lagos,Nigeria
League of Women Voters of the United States,Non-governmental organizations,Constituency - Environmental,Ms. Robin Tokmakian,Washington,United States of America
Lean Management Systems Promotion Society,Non-governmental organizations,Constituency - Business and Industry,Mr. Sunil Singhania,Indore,India
Legal Response Initiative,Non-governmental organizations,Constituency - Environmental CAN,Ms. Pascale Evelyn Bird,,United Kingdom of Great Britain and Northern Ireland
Legambiente - League of Environment,Non-governmental organizations,Constituency - Environmental CJN,Mr. Maurizio Gubbiotti,Rome,Italy
Libélula Instituto para el Cambio Global,Non-governmental organizations,Constituency - Environmental,Ms. Maite Cigarán,Lima,Peru
Life and Environment,Non-governmental organizations,Constituency - Environmental,Ms. Moran Diment,Tel Aviv,Israel
LIFE e.V.,Non-governmental organizations,Constituency - Women and Gender,Ms. Nanna Birk,Berlin,Germany
Ligue pour la Protection des Oiseaux,Non-governmental organizations,Constituency - Environmental,Mr. Yves Verilhac,Rochefort,France
LINGO e.V.,Non-governmental organizations,Constituency - Environmental,Mr. Kjell Kühne,Radebeul,Germany
Linking Environment and Farming,Non-governmental organizations,,,,
Litus Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Mitja Hinderks,London,United Kingdom of Great Britain and Northern Ireland
Local Environment Development and Agricultural Research Society,Non-governmental organizations,Constituency - Environmental,Mr. Mohon Kumar Mondal,Upazila-Shyamnagar,Bangladesh
Lombardy Foundation for the Environment / Fondazione Lombardia per l’Ambiente,Non-governmental organizations,,,,
London School of Economics and Political Science,Non-governmental organizations,Constituency - Research and independent,Ms. Alina Averchenkova,London,United Kingdom of Great Britain and Northern Ireland
London School of Hygiene & Tropical Medicine,Non-governmental organizations,Constituency - Research and independent,Mr. Alan Dangour,London,United Kingdom of Great Britain and Northern Ireland
Lund University,Non-governmental organizations,Constituency - Research and independent,Mr. Roger Hildingsson,Lund,Sweden
Macalester College,Non-governmental organizations,Constituency - Research and independent,Ms. Ann Marie Esson,"St. Paul, Minnesota",United States of America
Macquarie University,Non-governmental organizations,Constituency - Research and independent,Ms. Lesley Hughes,Sydney,Australia
Make My Money Matter,Non-governmental organizations,Constituency - Business and Industry,Mr. Kenneth Green,London,United Kingdom of Great Britain and Northern Ireland
Malala Fund,Non-governmental organizations,Constituency - Women and Gender,Ms. Laura Denham,London,United Kingdom of Great Britain and Northern Ireland
Manchester Investment and Development Agency Services Limited,Non-governmental organizations,Constituency - Local government and Municipal authorities,Ms. Cherryanne Dawson,Manchester,United Kingdom of Great Britain and Northern Ireland
Manchester Metropolitan University,Non-governmental organizations,Constituency - Research and independent,Ms. Elizabeth Price (Brierley - married name on passport),Manchester,United Kingdom of Great Britain and Northern Ireland
Margaret Pyke Trust,Non-governmental organizations,Constituency - Women and Gender,Mr. David Allan Johnson,London,United Kingdom of Great Britain and Northern Ireland
Marine Alliance for Science and Technology for Scotland,Non-governmental organizations,Constituency - Research and independent,Ms. Emma Defew,St Andrews,United Kingdom of Great Britain and Northern Ireland
Marine Conservation Society,Non-governmental organizations,Constituency - Environmental,Ms. Anna Gelderd,Ross-on-Wye,United Kingdom of Great Britain and Northern Ireland
Marketing Manchester,Non-governmental organizations,Constituency - Environmental,Mme Louise Latham,Manchester,United Kingdom of Great Britain and Northern Ireland
Massachusetts Institute of Technology,Non-governmental organizations,Constituency - Research and independent,Mr. Thomas Reid Kiley,Cambridge,United States of America
Max Planck Society for the Advancement of Science e.V.,Non-governmental organizations,Constituency - Research and independent,Mr. Thomas Matthew Smith Sparks,München,Germany
McGill University,Non-governmental organizations,Constituency - Research and independent,Ms. Renée Sieber,Montréal,Canada
MCS Charitable Foundation,Non-governmental organizations,Constituency - Environmental,Mr. David Cowdrey,Warrington,United Kingdom of Great Britain and Northern Ireland
Medact,Non-governmental organizations,Constituency - Research and independent,Mr. Benjamin Walpole,London,United Kingdom of Great Britain and Northern Ireland
Médecins du Monde,Non-governmental organizations,,Mme Sandrine Simon,La Plaine Saint-Denis Cédex,France
Médecins Sans Frontières International,Non-governmental organizations,Constituency - Research and independent,Ms. Carol Lead,Geneva,Switzerland
Mediators Beyond Borders International,Non-governmental organizations,Constituency - Research and independent,Ms. Megan Casey,Arlington,United States of America
Mercy Corps,Non-governmental organizations,Constituency - Farmers,Ms. Elizabeth Whitehead,Portland,United States of America
Mercy International Association,Non-governmental organizations,Constituency - Research and independent,Ms. Angela Reed,Dublin,Ireland
Meridian Institute,Non-governmental organizations,Constituency - ENGO,Mr. John Ehrmann,Dillon,United States of America
Met Office Hadley Center,Non-governmental organizations,Constituency - Research and independent,Mr. Jason Lowe,Exeter,United Kingdom of Great Britain and Northern Ireland
Michael Succow Foundation for the Protection of Nature,Non-governmental organizations,Constituency - Environmental,Mr. Jan Peters,Greifswald,Germany
Michigan Technological University,Non-governmental organizations,Constituency - Research and independent,Ms. Sarah Green,Houghton,United States of America
Minderoo Foundation,Non-governmental organizations,Constituency - Environmental,Mme Davina Durgana,Perth,Australia
Minnesota Center for Environmental Advocacy,Non-governmental organizations,Constituency - Environmental,Mr. Kevin Lee,Saint Paul,United States of America
Minority Rights Group International,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Carl Soderbergh,London,United Kingdom of Great Britain and Northern Ireland
"MISEREOR, German Catholic Bishops ’ Organisation for Development Cooperation",Non-governmental organizations,,,,
Mississippi River Cities and Towns Initiative,Non-governmental organizations,Constituency - Local government and Municipal authorities,Mr. Brandt Thorington,St. Louis,United States of America
Mom Loves Taiwan Association,Non-governmental organizations,Constituency - Environmental,Ms. Shun-mei Yang,Taipei City,China
Monash University,Non-governmental organizations,Constituency - Research and independent,Mr. Abid Khan,Clayton,Australia
Monmouth University - Urban Coast Institute,Non-governmental organizations,,,,
Moravian University,Non-governmental organizations,Constituency - Research and independent,Ms. Hilde Binford,Bethlehem,United States of America
Mountain and Glacier Protection Organization,Non-governmental organizations,Constituency - Environmental,Mr. Tanweer Ahmad Bhutta,Islamabad,Pakistan
Mouvement International A.T.D Quart Monde,Non-governmental organizations,Constituency - Research and independent,Mr. Quyen Tran,Pierrelaye,France
Movement Strategy Center,Non-governmental organizations,Constituency - ENGO,Ms. Rachel Anne Burrows,Oakland,United States of America
Movimiento Ciudadano frente al Cambio Climático,Non-governmental organizations,Constituency - Environmental CAN,Sra. Rocío Valdeavellano Roca Rey,Lima,Peru
Munich Climate Insurance Initiative,Non-governmental organizations,Constituency - Business and Industry,Mr. Michael Zissener,Bonn,Germany
Munich Re Foundation,Non-governmental organizations,Constituency - Environmental,Mr. Christian Hermann Barthelt,Munich,Germany
Muslim Hands,Non-governmental organizations,,Mr. Irfan Khan,Nottingham,United Kingdom of Great Britain and Northern Ireland
"My Shelter Foundation, Inc.",Non-governmental organizations,Constituency - Environmental,Mr. Luca Bucken,Pasay City,Philippines
National Caucus of Environmental Legislators,Non-governmental organizations,Constituency - Environmental,Mr. Jeff Mauk,Washington,United States of America
National Farmers Union,Non-governmental organizations,Constituency - Farmers,Mr. Darrin Qualman,Saskatoon,Canada
National Federation of Women’s Institutes,Non-governmental organizations,,,,
National Geographic Society,Non-governmental organizations,,Mr. Enric Sala,Washington,United States of America
National Institute for Environmental Studies,Non-governmental organizations,Constituency - Research and independent,Mr. Atsuhiko Yoshimura,Tsukuba,Japan
National Oceanography Centre,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Jones,Southampton,United Kingdom of Great Britain and Northern Ireland
National Renewable Energy Laboratory/Alliance for Sustainable Energy,Non-governmental organizations,Constituency - Research and independent,Ms. Jessica Shaeffer,Golden,United States of America
National Research Council Nepal,Non-governmental organizations,Constituency - Environmental,Mr. Bhishma Karki,Kathmandu,Nepal
National Spiritual Assembly of the Baha’is of the United States,Non-governmental organizations,,,,
National Trust,Non-governmental organizations,Constituency - Environmental,Ms. Catherine Leonard,London,United Kingdom of Great Britain and Northern Ireland
National University of Singapore,Non-governmental organizations,Constituency - Research and independent,Ms. Melissa Yu Xing Low,Singapore,Singapore
National Wildlife Federation,Non-governmental organizations,Constituency - Environmental CAN,Ms. Nathalie Walker,Reston,United States of America
National Youth Achievement Award Association,Non-governmental organizations,Constituency - Youth,Ms. Aileen Yap,Singapore,Singapore
Native Amazon Operation,Non-governmental organizations,Constituency - Environmental,Sra. Andreia Fanzeres,Cuiabá,Brazil
Native American Rights Fund,Non-governmental organizations,Constituency - Indigenous peoples,Mr. Kim Jerome Gottschalk,Boulder,United States of America
Natural History Museum of the Adirondacks,Non-governmental organizations,Constituency - Research and independent,Ms. Jennifer Mary Kretser,Tupper Lake,United States of America
Natural Justice,Non-governmental organizations,Constituency - Environmental,Mr. Poovalingum Moodley,Cape Town,South Africa
Natural Resource Governance Institute,Non-governmental organizations,Constituency - Research and independent,Ms. Sarah Backstrand,New York,United States of America
Natural Resources Defense Council,Non-governmental organizations,Constituency - Environmental CAN,Mr. Jacob Schmidt,New York,United States of America
Nature and Biodiversity Conservation Union,Non-governmental organizations,Constituency - Environmental CAN,Mr. Kristian Kloeckner,Berlin,Germany
