name,entity_type,coordinator,city,country
International Development Law Organization,Intergovernmental organizations,Ms. Ilaria Bottigliero,Rome,Italy
International Energy Agency,Intergovernmental organizations,Ms. Jinsun Lim,Paris,France
International Federation of Red Cross and Red Crescent Societies,Intergovernmental organizations,Ms. Tessa Kelly,Geneva,Switzerland
International Livestock Research Institute,Intergovernmental organizations,Ms. Polly Ericksen,Nairobi,Kenya
International Network for Bamboo and Rattan,Intergovernmental organizations,Mr. Borja De La Peña Escardó,Beijing,China
International Renewable Energy Agency,Intergovernmental organizations,Ms. Elizabeth Press,Abu Dhabi,United Arab Emirates
International Solar Alliance,Intergovernmental organizations,Mr. Shishir Seth,"Gurugram, Haryana",India
"International Transport Forum, Organisation for Economic Co-operation and Development",Intergovernmental organizations,Ms. Wei-shiuen Ng,Paris,France
International Tropical Timber Organization,Intergovernmental organizations,Mr. Steven Johnson,Yokohama,Japan
International Union for Conservation of Nature,Intergovernmental organizations,Mr. Sandeep Sengupta,Gland,Switzerland
International Water Management Institute,Intergovernmental organizations,Ms. Rachael Andrea McDonnell,Colombo,Sri Lanka
Islamic Development Bank,Intergovernmental organizations,Mr. Olatunji Yusuf,Jeddah,Saudi Arabia
ITER International Fusion Energy Organization,Intergovernmental organizations,Ms. Sabina Griffith,Saint Paul les Durance,France
League of Arab States,Intergovernmental organizations,Ms. Fatma El-Mallah,Cairo,Egypt
Nordic Council,Intergovernmental organizations,Ms. Janni Sbeinati,Copenhagen,Denmark
Nordic Council of Ministers,Intergovernmental organizations,Ms. Anna Maria Gran,,Finland
Nordic Development Fund,Intergovernmental organizations,Ms. Aleksandra Reskalenko,Helsinki,Finland
Nordic Environment Finance Corporation,Intergovernmental organizations,Ms. Helle Lindegaard,Helsinki,Finland
Nordic Investment Bank,Intergovernmental organizations,Mr. Jukka Ahonen,Helsinki,Finland
Observatoire du Sahara et du Sahel,Intergovernmental organizations,Mr. Nabil Ben Khatra,Tunis,Tunisia
Organisation for Economic Co-operation and Development,Intergovernmental organizations,Ms. Wei-shiuen Ng,Paris,France
Organisation Internationale de la Francophonie,Intergovernmental organizations,Mr. Issa Bado,Quebec,Canada
Organization of Arab Petroleum Exporting Countries,Intergovernmental organizations,Mr. AbdulKareem Kh Ayed,Kuwait,Kuwait
Organization of the Petroleum Exporting Countries,Intergovernmental organizations,Ms. Eleni Kaditi,Vienna,Austria
Pacific Islands Forum Secretariat,Intergovernmental organizations,Mr. Exsley Taloiburi,Suva,Fiji
Parliamentary Assembly of the Mediterranean,Intergovernmental organizations,Mr. Giuseppe Belsito,San Marino,San Marino
Regional Community Forestry Training Center for Asia and the Pacific,Intergovernmental organizations,Mr. Ronnakorn Triraganon,Bangkok,Thailand
South Asia Co-operative Environment Programme,Intergovernmental organizations,Ms. Jacintha Silverine Tissera,COLOMBO 05,Sri Lanka
Union for the Mediterranean,Intergovernmental organizations,Ms. Cristina Moral Urra,Barcelona,Spain
