"","docnum","Topic1","Topic2","Topic3","Topic4","Topic5","Topic6","Topic7","Topic8","X","file_iso","name","continent"
"1",1,0.196321212938826,0.0326122201727251,0.227021446920405,0.00420585512274978,0.0235936556345482,0.239701438305675,0.0513643638537701,0.225179807051301,1,"AGO","Angola","Africa"
"2",2,0.902210814664794,0.000160373154012028,0.00349718660802612,0.0118608122626581,0.00110798990326292,0.000110822872476253,0.000237799608885881,0.080814200925885,2,"ALB","Albania","Europe"
"3",3,0.000256729945325813,0.000945431153380008,0.018294617539923,0.000854372212839983,0.00166251160620879,0.878755044321832,0.0955984527747085,0.00363284044578129,3,"AND","Andorra","Europe"
"4",4,0.00331976335974662,0.00110755127097925,0.909346317945625,0.064139544841684,0.000339191500374822,0.00440360950134997,0.00546184068792313,0.0118821808923173,4,"ARM","Armenia","Asia"
"5",5,2.94120944894331e-05,0.998149029899278,5.64576038663002e-05,0.00144877379737403,5.94964693955783e-05,3.59892965542589e-05,9.5968998947438e-05,0.000124871840094594,5,"ATG","Antigua & Barbuda","Americas"
"6",6,0.0173642916483917,0.0643493338269189,0.112234965782015,0.132034162127825,0.0250108108776455,0.0121333709078106,0.0276012020137347,0.609271862815658,6,"AUS","Australia","Oceania"
"7",7,0.0275629260501098,0.0174954773522657,0.148003183270069,0.581578939784293,0.00524683260487118,0.00589834872929893,0.0578527696228082,0.156361522586284,7,"AUS","Australia","Oceania"
"8",8,5.96729246447414e-05,0.000217319820696912,0.000530423418056975,0.998226696698693,0.00012443025752137,0.000265502328920231,7.06343536970126e-05,0.000505320197769447,8,"AUT","Austria","Europe"
"9",9,5.96729246447434e-05,0.000217319820696919,0.000530423418056994,0.998226696698693,0.000124430257521373,0.000265502328920241,7.06343536970154e-05,0.000505320197769462,9,"BEL","Belgium","Europe"
"10",10,0.00292422889254102,0.377283813004816,0.00508530086777905,0.0047101441436232,0.015922500638851,0.0588342647742731,0.013399599642594,0.521840148035523,10,"BGD","Bangladesh","Asia"
"11",11,0.00212619205290475,0.190657570098242,0.00200050457794669,0.0648294107936107,0.0333059061505978,0.00131844815740555,0.0719371102313382,0.633824857937954,11,"BGD","Bangladesh","Asia"
"12",12,5.96729246447435e-05,0.000217319820696921,0.000530423418056996,0.998226696698693,0.000124430257521375,0.000265502328920242,7.06343536970149e-05,0.000505320197769469,12,"BGR","Bulgaria","Europe"
"13",13,0.0907004687651913,0.00697868674439501,0.0972484712971283,0.0259484221660155,0.00585475807985059,0.244878259170341,0.0071885393209043,0.521202394456174,13,"BHR","Bahrain","Asia"
"14",14,0.203312836551919,0.00405418379042765,0.184973032631298,0.0162515972201937,0.177869258918888,0.101926717858533,0.0559729072238424,0.2556394658049,14,"BIH","Bosnia & Herzegovina","Europe"
"15",15,0.00519257377280952,0.000858824226334368,0.965413366783199,0.00526752242760467,0.000267864461158713,0.00896341649463106,0.00578425976724228,0.00825217206702031,15,"BLR","Belarus","Europe"
"16",16,0.0329964507161271,0.00244130342949257,0.00340977529633152,0.0908656495310817,0.0780542473835238,0.0035870810582754,0.107579018888352,0.681066473696816,16,"BLZ","Belize","Americas"
"17",17,0.00223205120051551,0.0383876320722037,0.0237375881293447,0.658093770698893,0.0109658557439751,0.101199480597098,0.104372168235366,0.0610114533226034,17,"BRA","Brazil","Americas"
"18",18,0.0023794615830831,0.389468660260368,0.10160271000297,0.0581595322972654,0.00244407593306853,0.010899702256782,0.0409351154875646,0.394110742178898,18,"BRB","Barbados","Americas"
"19",19,0.00128338725679119,0.0356291409267312,0.00706598982091423,0.170871659315693,0.0538152601776498,0.110442087893997,0.00152032161289026,0.619372152995333,19,"CAN","Canada","Americas"
"20",20,0.00022516370939713,0.00110072620033248,0.00513608485728065,0.86959355283401,0.00161585676055137,0.115060899256543,0.00103817277042713,0.00622954361145754,20,"CHE","Switzerland","Europe"
"21",21,0.000224303922614905,0.00111866911706488,0.00516222130995554,0.867615691687486,0.00168510273219393,0.116807110944115,0.00104028021706033,0.00634662006950987,21,"CHE","Switzerland","Europe"
"22",22,0.000720688208686241,0.000640000301371528,0.013176391745449,0.00966276143804322,0.00214721328643356,0.875655809392125,0.002425386199034,0.0955717494288579,22,"CHL","Chile","Americas"
